,,かなり激化した      ,やや激化した        ,変わらない          ,やや緩和した        ,かなり緩和した      ,３年前は未創業      ,無回答,ｎ
,今回調査（全体）,8.0 ,19.8 ,66.9 ,1.0 ,0.3 ,1.4 ,2.5 ,2348 
業種別,情報・コンテンツ業,7.7 ,20.6 ,68.0 ,0.9 ,0.2 ,1.4 ,1.3 ,640 
業種別,専門サービス業,8.9 ,19.8 ,66.2 ,0.5 ,0.4 ,1.7 ,2.6 ,820 
業種別,技術サービス業,6.8 ,18.8 ,68.2 ,2.1 ,0.6 ,0.6 ,2.9 ,340 
業種別,事業サービス業,7.9 ,19.9 ,66.7 ,1.0 ,0.2 ,1.4 ,3.0 ,507 
特定10業種,ソフトウェア業,5.2 ,16.8 ,74.8 ,1.0 ,0.0 ,1.4 ,0.7 ,286 
特定10業種,インターネット附随サービス業,12.9 ,29.0 ,48.4 ,1.6 ,1.6 ,4.8 ,1.6 ,62 
特定10業種,映像情報制作・配給業,5.9 ,27.9 ,63.2 ,0.0 ,0.0 ,0.0 ,2.9 ,68 
特定10業種,出版業,9.1 ,21.8 ,65.5 ,1.8 ,0.0 ,0.0 ,1.8 ,55 
特定10業種,税理士事務所,6.4 ,16.5 ,74.3 ,0.0 ,0.5 ,0.5 ,1.8 ,218 
特定10業種,デザイン業,13.5 ,22.1 ,60.6 ,1.0 ,0.0 ,0.0 ,2.9 ,104 
特定10業種,経営コンサルタント業,8.9 ,17.9 ,67.6 ,0.6 ,0.0 ,2.2 ,2.8 ,179 
特定10業種,建築設計業,3.3 ,18.3 ,73.3 ,1.7 ,0.0 ,0.6 ,2.8 ,180 
特定10業種,自動車整備業,1.9 ,14.8 ,72.2 ,1.9 ,1.9 ,0.0 ,7.4 ,54 
特定10業種,建物サービス業,2.7 ,23.4 ,73.0 ,0.0 ,0.0 ,0.0 ,0.9 ,111 
従業者規模別,1～2人,8.5 ,14.2 ,69.9 ,0.7 ,0.6 ,2.3 ,3.7 ,971 
従業者規模別,3～5人,8.6 ,21.1 ,66.1 ,1.2 ,0.2 ,1.2 ,1.6 ,573 
従業者規模別,6～9人,4.0 ,22.8 ,68.4 ,1.6 ,0.0 ,0.8 ,2.4 ,250 
従業者規模別,10～29人,6.6 ,27.8 ,62.7 ,0.9 ,0.0 ,0.3 ,1.6 ,316 
従業者規模別,30人以上,11.0 ,27.1 ,60.5 ,1.0 ,0.0 ,0.0 ,0.5 ,210 
年間売上高増減別（３年前）,大幅(10％以上)増加,6.4 ,20.5 ,69.2 ,2.1 ,0.0 ,0.0 ,1.7 ,234 
年間売上高増減別（３年前）,やや(10％未満)増加,5.0 ,21.0 ,71.4 ,1.7 ,0.0 ,0.0 ,0.8 ,238 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,3.8 ,16.2 ,78.5 ,0.5 ,0.2 ,0.0 ,0.9 ,662 
年間売上高増減別（３年前）,やや(10％未満)減少,6.8 ,23.7 ,66.2 ,1.0 ,0.3 ,0.0 ,1.9 ,308 
年間売上高増減別（３年前）,大幅(10％以上)減少,13.5 ,22.5 ,60.9 ,1.1 ,0.6 ,0.0 ,1.4 ,795 
売上高経常利益率別,黒字,6.5 ,19.7 ,68.9 ,1.3 ,0.2 ,1.1 ,2.3 ,1409
売上高経常利益率別,赤字,11.3 ,20.2 ,62.9 ,0.9 ,0.6 ,2.3 ,1.9 ,693
経常損益の変化別（３年前）,増益,6.4 ,17.9 ,74.0 ,1.1 ,0.0 ,0.0 ,0.6 ,469
経常損益の変化別（３年前）,横ばい,5.6 ,16.7 ,74.8 ,1.3 ,0.3 ,0.0 ,1.3 ,765
経常損益の変化別（３年前）,減益,10.8 ,24.7 ,61.7 ,0.9 ,0.5 ,0.0 ,1.4 ,973
