学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,4,x,x,x,-,-,-,-
学歴計,20～21歳,6,1.3,183833,2691450,3,x,x,x
学歴計,22～24歳,20,3.7,206089,3853175,2,x,x,x
学歴計,25～29歳,26,4.3,234842,3541513,13,5.3,232129,3000244
学歴計,30～34歳,51,6.8,269619,4766831,10,3.2,261417,3416367
学歴計,35～39歳,43,8.6,286837,4706823,17,8.9,272077,3936556
学歴計,40～44歳,48,12.4,358337,5649947,11,9.7,265451,3791010
学歴計,45～49歳,95,17.9,359742,5818532,16,8.1,284469,3746331
学歴計,50～54歳,73,19,346064,5166712,6,8.5,299515,4627860
学歴計,55～59歳,55,16,377809,5519490,17,13.8,276374,4239563
学歴計,60歳以上,88,9.5,271281,3438350,5,24.8,275500,4359100
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,3,x,x,x,1,x,x,x
中学卒,40～44歳,-,-,-,-,-,-,-,-
中学卒,45～49歳,-,-,-,-,-,-,-,-
中学卒,50～54歳,5,18.4,357268,5007860,1,x,x,x
中学卒,55～59歳,3,x,x,x,-,-,-,-
中学卒,60歳以上,-,-,-,-,-,-,-,-
高校卒,18～19歳,4,x,x,x,-,-,-,-
高校卒,20～21歳,6,1.3,183833,2691450,3,x,x,x
高校卒,22～24歳,12,4.8,185457,3527167,2,x,x,x
高校卒,25～29歳,8,6.9,227936,3582500,4,x,x,x
高校卒,30～34歳,22,7.1,263663,4620694,6,2.8,236000,2987460
高校卒,35～39歳,11,10.2,318315,4984440,1,x,x,x
高校卒,40～44歳,21,13.6,353786,5800017,7,12.6,250251,3392700
高校卒,45～49歳,36,16.5,344484,5249872,8,7.8,251024,3488150
高校卒,50～54歳,35,22.5,350856,5055044,3,x,x,x
高校卒,55～59歳,22,17.1,359052,5150133,10,12.3,295890,4698300
高校卒,60歳以上,15,15.5,286069,3907315,1,x,x,x
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,-,-,-,-
高専・短大卒,25～29歳,3,x,x,x,2,x,x,x
高専・短大卒,30～34歳,1,x,x,x,-,-,-,-
高専・短大卒,35～39歳,-,-,-,-,-,-,-,-
高専・短大卒,40～44歳,1,x,x,x,-,-,-,-
高専・短大卒,45～49歳,4,x,x,x,3,x,x,x
高専・短大卒,50～54歳,1,x,x,x,2,x,x,x
高専・短大卒,55～59歳,1,x,x,x,2,x,x,x
高専・短大卒,60歳以上,2,x,x,x,1,x,x,x
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,4,x,x,x,-,-,-,-
専門学校卒,25～29歳,9,2.1,226489,3336385,1,x,x,x
専門学校卒,30～34歳,16,7.1,263842,4541792,-,-,-,-
専門学校卒,35～39歳,9,8.4,276875,4705500,1,x,x,x
専門学校卒,40～44歳,18,12.8,347671,5328894,1,x,x,x
専門学校卒,45～49歳,33,20.8,375661,6453576,2,x,x,x
専門学校卒,50～54歳,19,15.6,356763,5414844,-,-,-,-
専門学校卒,55～59歳,4,x,x,x,3,x,x,x
専門学校卒,60歳以上,6,10,347167,4269233,-,-,-,-
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,3,x,x,x,-,-,-,-
大学卒,25～29歳,3,x,x,x,6,5.7,268633,3303050
大学卒,30～34歳,11,6.2,278745,5232250,4,x,x,x
大学卒,35～39歳,19,7.7,260920,4353337,14,8.4,268415,4021892
大学卒,40～44歳,6,9.7,385280,6484783,3,x,x,x
大学卒,45～49歳,18,16.6,385758,5982383,3,x,x,x
大学卒,50～54歳,6,16.2,367532,5912600,-,-,-,-
大学卒,55～59歳,12,12.4,428187,5697311,2,x,x,x
大学卒,60歳以上,14,6.6,321712,4639463,-,-,-,-
