表側１,表側２,表側３,回答企業数(件),販売先の新規開拓(％),支払条件交渉(％),営業活動(％),販売コスト(％),価格交渉力(％),同業他社との差別化(％),商品アイテム数が過大(％),商品アイテム数が過少(％),インターネット販売への対応(％),販売先の情報収集(％),販売先へのきめ細かいサービス・販促支援(％),商品価格の柔軟な変更(％),流行(トレンド)の把握(％),販売ロスの削減(％),返品削減に向けた販売先への対応(％),その他(％),特にない(％),無回答(％)
,,今回調査（全体）,760,60.1,8.7,41.4,16.8,15.5,36.1,4.5,3.9,24.6,16.3,17.9,8.4,13.4,15.1,4.5,1.8,7.8,2.6
業種別,,食料品卸売業,237,61.6,7.6,45.6,15.2,16,34.6,2.5,3.8,20.7,16.5,25.3,7.6,7.2,24.1,3.8,1.3,8,3
業種別,,生鮮食品卸売業,126,65.9,8.7,43.7,10.3,12.7,30.2,1.6,1.6,19.8,14.3,24.6,8.7,6.3,23.8,2.4,0.8,7.9,4
業種別,,加工食品等卸売業,111,56.8,6.3,47.7,20.7,19.8,39.6,3.6,6.3,21.6,18.9,26.1,6.3,8.1,24.3,5.4,1.8,8.1,1.8
業種別,,衣料品関連卸売業,145,69,11.7,35.9,15.9,14.5,42.1,2.8,4.8,37.2,15.9,12.4,7.6,22.1,11.7,4.8,1.4,4.1,2.8
業種別,,住関連卸売業,83,65.1,10.8,51.8,25.3,20.5,37.3,8.4,4.8,19.3,19.3,13.3,8.4,13.3,8.4,6,1.2,6,2.4
業種別,,その他卸売業,288,52.8,7.6,37.5,15.6,13.9,33.3,5.6,3.5,22.9,15.3,15.3,9,14.2,11.1,4.5,2.8,10.1,2.4
従業者規模別,,1～5人,399,53.1,7.3,36.1,14,12.3,30.3,2.3,5.8,20.1,11.5,15.3,9,9.8,11.8,3,2,12.8,3.3
従業者規模別,,6～9人,101,59.4,7.9,47.5,17.8,17.8,36.6,3,4,30.7,24.8,14.9,6.9,16.8,22.8,4,3,2,3
従業者規模別,,10～49人,208,72.6,10.1,46.6,19.7,19.7,44.2,7.2,1,29.3,20.2,23.1,8.2,19.2,17.3,4.3,0.5,1.9,1.9
従業者規模別,,50人以上,36,66.7,16.7,52.8,25,25,58.3,16.7,0,19.4,19.4,22.2,5.6,8.3,16.7,22.2,5.6,2.8,0
取引形態別,一次卸,小売直取引卸,219,63,11,41.1,18.3,15.1,37.4,4.1,5.9,27.9,15.1,15.5,6.8,16.9,16,6.4,2.3,6.8,1.4
取引形態別,一次卸,他部門直取引卸,50,62,6,50,30,20,46,4,0,24,22,22,10,10,8,0,2,4,2
取引形態別,一次卸,元卸,154,66.2,7.8,48.1,13.6,14.3,38.3,8.4,6.5,26.6,19.5,18.2,8.4,17.5,11.7,6.5,1.3,2.6,3.9
取引形態別,二次卸,中間卸,85,54.1,8.2,34.1,14.1,16.5,25.9,2.4,2.4,15.3,16.5,11.8,7.1,10.6,18.8,4.7,0,14.1,4.7
取引形態別,二次卸,最終卸,135,60,6.7,39.3,13.3,16.3,37.8,3,2.2,24.4,14.8,21.5,10.4,10.4,22.2,3,1.5,5.2,3
取引形態別,その他,製造問屋,19,63.2,5.3,36.8,21.1,10.5,47.4,0,5.3,26.3,21.1,21.1,10.5,5.3,31.6,5.3,0,10.5,5.3
取引形態別,その他,その他卸,77,53.2,13,36.4,20.8,16.9,29.9,5.2,1.3,24.7,11.7,19.5,10.4,10.4,6.5,1.3,5.2,20.8,0
売上高増減別(前年同期比),,増加,56,58.9,16.1,50,17.9,10.7,48.2,7.1,0,16.1,25,33.9,7.1,14.3,25,10.7,1.8,3.6,1.8
売上高増減別(前年同期比),,横ばい,108,61.1,8.3,41.7,17.6,21.3,44.4,5.6,3.7,23.1,15.7,16.7,11.1,17.6,14.8,5.6,0.9,8.3,0.9
売上高増減別(前年同期比),,減少,585,59.8,8.2,40.5,16.8,15.2,33.2,4.1,4.4,26,15.7,16.9,8.2,12.5,14.5,3.8,2.1,8.2,2.9
売上高増減別(３年前),,増加,136,63.2,12.5,46.3,20.6,16.2,44.9,2.2,1.5,26.5,25.7,23.5,9.6,22.1,16.9,5.1,1.5,5.1,1.5
売上高増減別(３年前),,横ばい,130,63.1,7.7,33.1,14.6,17.7,36.2,6.9,3.8,21.5,14.6,16.9,7.7,9.2,15.4,6.9,0.8,10,1.5
売上高増減別(３年前),,減少,443,58.5,7.7,41.5,17.6,15.1,34.1,4.3,4.7,25.1,14.9,17.2,8.8,12.9,14.7,4.1,2.3,7.7,3.6
経常損益の変化別(前年同期比),,増益,67,53.7,11.9,47.8,22.4,19.4,43.3,7.5,4.5,20.9,20.9,23.9,13.4,13.4,16.4,6,1.5,3,1.5
経常損益の変化別(前年同期比),,横ばい,124,60.5,10.5,38.7,17.7,20.2,37.1,4.8,3.2,25.8,18.5,20.2,8.9,16.1,16.9,7.3,1.6,7.3,0.8
経常損益の変化別(前年同期比),,減益,543,61,8.1,41.3,16,14.5,35,4.2,3.9,24.7,15.7,17.1,7.9,12.7,15.1,3.7,2,8.5,3.1
経常損益の変化別(３年前),,増益,128,57,11.7,50,19.5,14.1,39.8,1.6,3.9,25.8,18.8,25,10.2,15.6,14.1,3.9,0.8,4.7,1.6
経常損益の変化別(３年前),,横ばい,229,59.8,7,38,17.9,15.7,36.2,5.7,3.1,23.1,18.8,16.2,9.2,16.2,17.9,3.9,2.2,8.3,0.9
経常損益の変化別(３年前),,減益,351,61.8,8.8,40.5,16.5,16.2,35.9,5.1,4,24.5,14.8,17.9,7.4,11.7,14,5.4,1.4,8,4.6
