表側１,表側２,表側３,回答企業数(件),３％未満(%),３～10％未満(%),10～30％未満(%),30％以上(%),無回答(%)
,,"今回調査
（全体）",410,43.7,20.7,16.1,16.3,3.2
業種別,,総合商品小売業,60,78.3,13.3,1.7,0.0,6.7
業種別,,生鮮食品小売業,8,62.5,25.0,12.5,0.0,0.0
業種別,,食料品関連小売業,86,55.8,22.1,11.6,9.3,1.2
業種別,,衣料品関連小売業,73,28.8,30.1,20.5,20.5,0.0
業種別,,住関連小売業,20,15.0,40.0,15.0,30.0,0.0
業種別,,その他小売業,159,33.3,15.7,22.6,23.9,4.4
従業者規模別,,１～２人,129,27.1,22.5,24.0,24.8,1.6
従業者規模別,,３～５人,96,42.7,21.9,13.5,17.7,4.2
従業者規模別,,６～19人,103,50.5,20.4,15.5,11.7,1.9
従業者規模別,,20人以上,68,67.6,16.2,4.4,4.4,7.4
