表側１,表側２,表側３,回答企業数(件),正規従業員の賃金引上げ(%),非正規従業員の賃金引上げ(%),正規従業員の賃金以外の労働条件改善(%),非正規従業員の賃金以外の労働条件改善(%),正規従業員の採用(%),非正規従業員の採用(%),非正規従業員の正規従業員化(%),定年延長や再雇用による雇用継続(%),現従業員の配置転換や業務範囲の拡大(%),業務の効率化（機械化、自動化、ＩＣＴ・ＡＩ活用等を含む）(%),外部委託（アウトソーシング）の活用(%),事業の縮小・見直し(%),その他(%),特になし(%),無回答(%)
,,"今回調査
（全体）",119,52.1,17.6,24.4,5.9,45.4,13.4,5.0,19.3,10.9,31.1,26.9,3.4,0.8,5.0,2.5
業種別,,食料品卸売業,39,56.4,28.2,25.6,7.7,46.2,17.9,2.6,12.8,2.6,28.2,30.8,5.1,0.0,5.1,0.0
業種別,,生鮮食品卸売業,17,41.2,11.8,5.9,0.0,41.2,11.8,0.0,11.8,0.0,11.8,23.5,5.9,0.0,5.9,0.0
業種別,,加工食品等卸売業,22,68.2,40.9,40.9,13.6,50.0,22.7,4.5,13.6,4.5,40.9,36.4,4.5,0.0,4.5,0.0
業種別,,衣料品関連卸売業,13,46.2,15.4,0.0,0.0,46.2,7.7,7.7,23.1,23.1,30.8,15.4,7.7,7.7,7.7,7.7
業種別,,住関連卸売業,31,51.6,3.2,35.5,6.5,51.6,0.0,3.2,29.0,6.5,32.3,19.4,0.0,0.0,3.2,3.2
業種別,,その他卸売業,35,48.6,20.0,22.9,5.7,40.0,22.9,8.6,17.1,20.0,34.3,34.3,2.9,0.0,5.7,2.9
従業者規模別,,１～５人,25,24.0,8.0,8.0,0.0,20.0,12.0,0.0,8.0,8.0,24.0,40.0,4.0,4.0,20.0,0.0
従業者規模別,,６～９人,23,69.6,17.4,26.1,4.3,30.4,8.7,0.0,17.4,0.0,30.4,13.0,8.7,0.0,0.0,8.7
従業者規模別,,10～49人,60,58.3,25.0,28.3,6.7,58.3,15.0,8.3,18.3,15.0,33.3,23.3,0.0,0.0,1.7,1.7
従業者規模別,,50人以上,10,50.0,0.0,30.0,10.0,70.0,20.0,10.0,60.0,20.0,40.0,50.0,10.0,0.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,43,46.5,18.6,18.6,7.0,46.5,11.6,2.3,14.0,9.3,20.9,25.6,2.3,2.3,4.7,2.3
取引形態別,一次卸,他部門直取引卸,15,60.0,13.3,46.7,6.7,73.3,20.0,26.7,26.7,13.3,60.0,26.7,0.0,0.0,6.7,0.0
取引形態別,一次卸,元卸,24,45.8,29.2,16.7,4.2,41.7,25.0,4.2,20.8,20.8,41.7,41.7,8.3,0.0,4.2,0.0
取引形態別,二次卸,中間卸,6,66.7,0.0,50.0,0.0,83.3,0.0,0.0,16.7,16.7,50.0,16.7,0.0,0.0,0.0,0.0
取引形態別,二次卸,最終卸,17,52.9,11.8,17.6,0.0,23.5,11.8,0.0,35.3,0.0,29.4,23.5,5.9,0.0,11.8,0.0
取引形態別,その他,製造問屋,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
取引形態別,その他,その他卸,7,71.4,0.0,57.1,28.6,42.9,0.0,0.0,14.3,14.3,14.3,14.3,0.0,0.0,0.0,14.3
年間売上高増減別（3年前）,,大幅増加（10％以上）,36,61.1,27.8,33.3,13.9,47.2,13.9,5.6,8.3,5.6,27.8,27.8,2.8,2.8,2.8,0.0
年間売上高増減別（3年前）,,やや増加（10％未満）,27,48.1,22.2,18.5,3.7,37.0,11.1,0.0,40.7,11.1,44.4,29.6,0.0,0.0,7.4,3.7
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,14,64.3,7.1,35.7,0.0,64.3,21.4,7.1,14.3,7.1,21.4,7.1,0.0,0.0,7.1,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,15,26.7,0.0,13.3,0.0,66.7,13.3,6.7,13.3,20.0,13.3,33.3,13.3,0.0,0.0,0.0
年間売上高増減別（3年前）,,大幅減少（10％以上）,26,50.0,15.4,19.2,3.8,30.8,11.5,7.7,19.2,15.4,38.5,30.8,3.8,0.0,7.7,7.7
売上高経常利益率別,,黒字（プラス）,88,55.7,21.6,26.1,5.7,44.3,17.0,3.4,20.5,10.2,36.4,26.1,3.4,1.1,3.4,2.3
売上高経常利益率別,,赤字（マイナス）,26,42.3,7.7,23.1,7.7,50.0,0.0,11.5,19.2,15.4,15.4,30.8,3.8,0.0,7.7,3.8
経常損益の変化別（3年前）,,増益,54,51.9,22.2,27.8,11.1,51.9,16.7,3.7,20.4,11.1,31.5,22.2,0.0,1.9,9.3,0.0
経常損益の変化別（3年前）,,横ばい,25,52.0,16.0,20.0,0.0,44.0,8.0,0.0,24.0,0.0,28.0,32.0,4.0,0.0,0.0,4.0
経常損益の変化別（3年前）,,減益,39,51.3,12.8,23.1,2.6,38.5,12.8,10.3,15.4,17.9,33.3,30.8,7.7,0.0,2.6,5.1
