区分,集計企業数（社）,平均所定外実労働時間（時間:分）,なし（社）,５時間未満（社）,５時間以上１０時間未満（社）,１０時間以上１５時間未満（社）,１５時間以上２０時間未満（社）,２０時間以上２５時間未満（社）,２５時間以上３０時間未満（社）,３０時間以上３５時間未満（社）,３５時間以上４０時間未満（社）,４０時間以上（社）,無回答（社）
調査産業計,876,14:40,211,112,70,70,63,68,30,21,17,43,171
労組有,63,17:07,9,9,9,6,5,2,2,1,3,5,12
労組無,813,14:28,202,103,61,64,58,66,28,20,14,38,159
建設業,71,21:41,8,5,9,10,7,6,2,2,4,7,11
製造業,207,15:27,46,41,19,17,16,17,11,3,5,9,23
情報通信業,58,15:28,4,7,4,9,7,8,3,1,1,1,13
運輸業，郵便業,42,17:42,10,5,2,2,1,4,2,0,2,5,9
卸売業，小売業,180,12:20,50,26,16,11,7,8,4,5,0,7,46
金融業，保険業,27,17:54,1,3,2,0,4,4,2,0,1,1,9
不動産業，物品賃貸業,16,13:55,3,1,2,0,3,2,2,1,0,0,2
学術研究，専門・技術サービス業,57,13:54,15,2,3,2,4,8,2,3,0,2,16
宿泊業，飲食サービス業,43,10:17,15,4,2,2,1,2,1,4,1,1,10
生活関連サービス業，娯楽業,34,7:07,9,5,1,4,2,3,0,0,0,0,10
教育，学習支援業（学校教育を除く）,30,15:12,11,3,3,1,2,0,0,2,1,2,5
医療，福祉,57,15:43,21,7,2,7,2,4,0,0,1,3,10
サービス業（他に分類されないもの）,54,11:32,18,3,5,5,7,2,1,0,1,5,7
10～49人,585,12:30,163,83,48,37,32,40,14,16,9,26,117
50～99人,188,17:02,35,17,14,22,23,14,7,3,3,12,38
100～299人,103,22:11,13,12,8,11,8,14,9,2,5,5,16
