職種別～４系列職種+１１職種,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
全職種[合計],18,0,503,190873,100,-,-,-,-,-,-,-,-,-,-,-,-
全職種[合計],20,0,174,197129,103.3,0,477,201389,100,0,493,201938,100,-,-,-,-
全職種[合計],22,0,175,204882,107.3,0,168,209742,104.1,0,184,210542,104.3,0,673,215809,100
全職種[合計],25,0,172,222460,116.5,0,160,224690,111.6,0,172,225816,111.8,0,267,233634,108.3
全職種[合計],30,2,171,252002,132,2,158,257600,127.9,2,167,259959,128.7,2,257,272125,126.1
全職種[合計],35,3,161,280082,146.7,3,149,286204,142.1,3,161,287916,142.6,3,239,308755,143.1
全職種[合計],40,3,160,305551,160.1,3,142,313187,155.5,3,149,316820,156.9,3,237,344993,159.9
全職種[合計],45,3,152,332336,174.1,3,135,345390,171.5,3,147,346854,171.8,3,214,383085,177.5
全職種[合計],50,3,150,358465,187.8,3,135,376033,186.7,3,140,377741,187.1,3,212,417395,193.4
全職種[合計],55,2,146,375257,196.6,2,132,394478,195.9,2,135,397696,196.9,2,202,436296,202.2
全職種[合計],60,1,140,384880,201.6,1,131,403271,200.2,1,135,405356,200.7,1,193,444233,205.8
[営業販売系],18,0,258,188679,100,-,-,-,-,-,-,-,-,-,-,-,-
[営業販売系],20,0,92,194711,103.2,0,257,201147,100,0,261,200864,100,-,-,-,-
[営業販売系],22,0,92,200687,106.4,0,89,208224,103.5,0,95,207327,103.2,0,367,216276,100
[営業販売系],25,0,90,220358,116.8,0,83,222882,110.8,0,87,221924,110.5,0,150,233441,107.9
[営業販売系],30,2,90,252292,133.7,2,86,255242,126.9,2,88,255527,127.2,2,146,273393,126.4
[営業販売系],35,3,88,282568,149.8,3,81,285746,142.1,3,85,284022,141.4,3,136,312018,144.3
[営業販売系],40,3,86,314164,166.5,3,80,317813,158,3,83,317514,158.1,3,137,354339,163.8
[営業販売系],45,3,81,342035,181.3,3,75,349305,173.7,3,79,348457,173.5,3,121,395864,183
[営業販売系],50,3,82,371410,196.8,3,78,380067,188.9,3,79,379257,188.8,3,123,428576,198.2
[営業販売系],55,2,79,389038,206.2,2,75,397476,197.6,2,74,399772,199,2,115,450833,208.5
[営業販売系],60,1,77,398736,211.3,1,74,408616,203.1,1,74,409388,203.8,1,111,459640,212.5
[(１)営業],18,0,222,187964,100,-,-,-,-,-,-,-,-,-,-,-,-
[(１)営業],20,0,83,193019,102.7,0,223,201366,100,0,227,201081,100,-,-,-,-
[(１)営業],22,0,82,202817,107.9,0,79,207819,103.2,0,85,207642,103.3,0,326,217116,100
[(１)営業],25,0,80,220060,117.1,0,72,222775,110.6,0,76,222666,110.7,0,140,234334,107.9
[(１)営業],30,2,80,253800,135,2,74,258399,128.3,2,77,257957,128.3,2,136,275670,127
