表側(年),DI／全体,DI／卸売業,DI／小売業
2008Ⅰ,-24.7,-19.1,-45
2008Ⅱ,-28.1,-26.7,-43.9
2008Ⅲ,-33.6,-27.8,-51.9
2008Ⅳ,-37.7,-36.3,-50.6
2009Ⅰ,-39.9,-37.1,-45.3
2009Ⅱ,-37.8,-36,-40.1
2009Ⅲ,-39.2,-34.2,-48.5
2009Ⅳ,-39.1,-30.8,-54
2010Ⅰ,-35,-30.8,-43.9
2010Ⅱ,-33,-24.7,-47.5
2010Ⅲ,-33.7,-26.5,-57.6
2010Ⅳ,-30.3,-23.4,-48.4
2011Ⅰ,-33.6,-28.4,-50.2
2011Ⅱ,-32.6,-26.4,-46.8
2011Ⅲ,-33.4,-26.2,-52.8
2011Ⅳ,-28.7,-21.8,-46.4
2012Ⅰ,-28.7,-23.8,-42.4
2012Ⅱ,-28.7,-22.3,-45.5
2012Ⅲ,-30.1,-21.8,-51.3
2012Ⅳ,-23.8,-20.2,-39.1
2013Ⅰ,-25.1,-20.5,-37.5
2013Ⅱ,-24.2,-17.9,-37.6
2013Ⅲ,-23.6,-17.1,-42.5
2013Ⅳ,-21.8,-12.9,-38
2014Ⅰ,-22.9,-15.5,-36
2014Ⅱ,-22.6,-15.5,-40.8
2014Ⅲ,-23.1,-16.7,-38.1
2014Ⅳ,-22.3,-19.9,-38.8
2015Ⅰ,-20.7,-13.8,-41.4
2015Ⅱ,-17.8,-11.4,-36.8
2015Ⅲ,-22,-17.7,-36.7
2015Ⅳ,-20.5,-14.1,-30.7
2016Ⅰ,-19.7,-14.4,-32.6
2016Ⅱ,-21,-16.8,-35
2016Ⅲ,-19.6,-10,-35.8
2016Ⅳ,-15.7,-10.7,-27.4
2017Ⅰ,-17,-10.4,-32.3
2017Ⅱ,-16.1,-11.5,-31.9
2017Ⅲ,-15.6,-9.6,-31.2
2017Ⅳ,-12.9,-7.5,-26.2
2018Ⅰ,-14.6,-7.3,-36.8
2018Ⅱ,-12.9,-5.5,-30.7
2018Ⅲ,-14.3,-7.2,-35.2
2018Ⅳ,-15.6,-7.3,-33.4
2019Ⅰ,-15.3,-8.3,-30.8
2019Ⅱ,-17.1,-10.5,-32.5
2019Ⅲ,-15.9,-3.9,-32.6
2019Ⅳ,-15.7,-8.1,-32.3
2020Ⅰ,-31.1,-19.3,-51.6
2020Ⅱ,-36.1,-25,-49.9
2020Ⅲ,-28.8,-20,-42.8
2020Ⅳ,-23.4,-16.5,-39
