表側１,表側２,表側３,回答企業数(件),小売店の減少(%),商慣行の変化(%),価格競争の激化(%),輸入品の増加(%),卸売業者間での競争の激化(%),卸売業の転廃業の増加(%),卸売業の規模格差の拡大(%),仕入コストの高騰(%),支払いサイト（期間）の短縮(%),物流の多様化（自動化対応等）(%),物流コストの高騰(%),人手不足(%),プライベートブランドの増加(%),メーカーと小売業・消費者との直取引の増加(%),インターネット等を活用した販売形態の拡大(%),情報通信技術「５Ｇ」への対応(%),環境問題への対応(%),その他(%),無回答(%)
,,"今回調査
（全体）",767,27.2,13.7,41.5,6.8,25.4,12.0,13.3,58.0,6.4,3.4,48.4,16.6,5.5,13.3,18.0,0.5,6.1,1.7,1.7
業種別,,食料品卸売業,213,29.6,15.5,40.8,3.8,25.8,11.3,16.4,57.7,7.0,4.7,55.9,26.3,6.6,11.3,12.2,0.5,2.8,0.9,2.3
業種別,,生鮮食品卸売業,91,42.9,11.0,38.5,2.2,30.8,9.9,14.3,53.8,5.5,1.1,46.2,31.9,2.2,11.0,7.7,0.0,1.1,0.0,2.2
業種別,,加工食品等卸売業,122,19.7,18.9,42.6,4.9,22.1,12.3,18.0,60.7,8.2,7.4,63.1,22.1,9.8,11.5,15.6,0.8,4.1,1.6,2.5
業種別,,衣料品関連卸売業,111,42.3,9.9,36.9,7.2,20.7,13.5,12.6,61.3,7.2,3.6,47.7,10.8,8.1,11.7,27.0,1.8,6.3,0.9,0.9
業種別,,住関連卸売業,155,14.8,14.8,41.9,7.7,22.6,10.3,10.3,52.3,6.5,1.3,45.2,16.8,5.2,16.1,18.1,0.6,9.0,2.6,2.6
業種別,,その他卸売業,270,26.3,13.3,43.7,8.1,28.1,12.2,12.6,59.3,5.9,3.7,44.1,11.1,3.7,14.1,18.9,0.0,7.0,2.2,1.1
従業者規模別,,１～５人,406,28.3,12.6,37.2,7.1,19.7,13.8,12.3,53.0,4.4,2.0,38.7,7.6,3.7,12.6,16.3,0.5,4.4,1.7,2.7
従業者規模別,,６～９人,119,22.7,13.4,47.1,6.7,30.3,13.4,19.3,57.1,5.9,2.5,55.5,24.4,4.2,14.3,10.9,0.8,5.9,1.7,0.8
従業者規模別,,10～49人,192,28.6,16.7,45.3,4.7,34.4,9.4,11.5,68.8,10.4,6.8,63.0,29.2,9.9,13.5,25.0,0.5,9.9,1.0,0.0
従業者規模別,,50人以上,28,17.9,10.7,57.1,14.3,32.1,0.0,7.1,64.3,10.7,7.1,64.3,28.6,10.7,7.1,28.6,0.0,7.1,3.6,0.0
取引形態別,一次卸,小売直取引卸,229,38.4,12.2,37.6,6.6,18.8,14.0,10.0,58.5,6.1,3.1,48.0,15.7,7.9,17.9,24.5,0.4,6.6,1.7,1.7
取引形態別,一次卸,他部門直取引卸,67,4.5,13.4,41.8,7.5,26.9,7.5,9.0,70.1,16.4,3.0,61.2,16.4,3.0,9.0,13.4,1.5,9.0,3.0,1.5
取引形態別,一次卸,元卸,127,22.8,7.1,47.2,9.4,26.8,8.7,11.0,64.6,7.1,3.9,57.5,14.2,5.5,3.1,12.6,0.0,3.1,2.4,0.8
取引形態別,二次卸,中間卸,93,28.0,19.4,45.2,8.6,38.7,12.9,16.1,53.8,9.7,2.2,47.3,16.1,4.3,12.9,14.0,0.0,6.5,2.2,3.2
取引形態別,二次卸,最終卸,131,28.2,19.8,43.5,2.3,29.8,10.7,21.4,50.4,4.6,6.1,40.5,23.7,3.8,19.1,16.8,0.8,6.1,0.8,0.8
取引形態別,その他,製造問屋,20,15.0,5.0,50.0,5.0,20.0,25.0,20.0,55.0,0.0,0.0,25.0,20.0,5.0,15.0,15.0,0.0,5.0,0.0,0.0
取引形態別,その他,その他卸,65,21.5,16.9,35.4,9.2,18.5,10.8,10.8,52.3,0.0,0.0,41.5,9.2,6.2,7.7,16.9,0.0,6.2,1.5,4.6
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,18.3,10.0,43.3,6.7,30.8,10.0,10.0,65.0,7.5,5.0,55.8,26.7,5.0,8.3,21.7,0.0,9.2,0.8,0.0
年間売上高増減別（3年前）,,やや増加（10％未満）,108,26.9,10.2,39.8,10.2,26.9,11.1,14.8,55.6,11.1,5.6,49.1,22.2,10.2,18.5,21.3,0.0,8.3,0.9,0.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,24.0,13.6,43.5,5.2,21.4,7.8,9.1,59.1,5.2,0.6,46.8,17.5,5.8,13.0,14.3,0.6,4.5,3.2,1.3
年間売上高増減別（3年前）,,やや減少（10％未満）,124,33.9,19.4,39.5,9.7,25.8,12.9,14.5,57.3,7.3,4.8,42.7,12.1,5.6,9.7,19.4,0.8,4.8,0.8,3.2
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,30.5,13.7,42.1,4.7,24.9,15.5,16.7,54.5,4.7,3.0,47.6,9.9,3.4,16.3,16.7,0.9,5.6,2.1,2.6
売上高経常利益率別,,黒字（プラス）,462,24.7,13.9,40.9,8.0,27.9,10.0,12.6,59.7,6.7,3.7,52.8,19.7,7.4,12.6,16.5,0.0,6.9,1.7,1.3
売上高経常利益率別,,赤字（マイナス）,271,30.6,13.3,43.5,4.8,21.0,14.4,14.8,55.7,6.3,2.6,41.0,10.7,2.6,14.4,20.7,1.5,5.2,1.8,2.6
経常損益の変化別（3年前）,,増益,197,24.4,14.7,36.0,8.1,26.9,8.6,9.6,65.0,8.1,5.1,48.2,22.3,8.1,15.7,25.4,0.5,6.6,0.5,1.5
経常損益の変化別（3年前）,,横ばい,240,31.7,10.8,40.8,7.5,21.7,12.1,13.8,50.4,4.2,4.6,43.8,13.3,2.9,10.4,15.0,0.8,7.1,2.9,2.1
経常損益の変化別（3年前）,,減益,305,25.6,15.4,46.2,5.2,26.9,13.4,15.4,59.0,7.5,1.3,51.5,15.1,5.9,14.4,15.1,0.3,5.2,1.6,1.6
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
