区分,集計企業数（社）,制度あり（社）,制度あり／退職一時金のみ（社）,制度あり／退職一時金と退職年金の併用（社）,制度あり／退職年金のみ（社）,制度なし（社）,無回答（社）
調査産業計,1012,724,525,164,35,286,2
労組有,75,63,36,23,4,11,1
労組無,937,661,489,141,31,275,1
建設業,85,74,51,23,0,11,0
製造業,274,242,169,62,11,31,1
情報通信業,50,32,15,13,4,18,0
運輸業，郵便業,55,33,24,8,1,21,1
卸売業，小売業,195,127,101,22,4,68,0
金融業，保険業,43,33,14,14,5,10,0
不動産業，物品賃貸業,30,21,15,3,3,9,0
学術研究，専門・技術サービス業,58,40,30,7,3,18,0
宿泊業，飲食サービス業,49,17,14,2,1,32,0
生活関連サービス業，娯楽業,33,20,16,4,0,13,0
教育，学習支援業(学校教育を除く）,32,18,17,0,1,14,0
医療，福祉,43,19,17,1,1,24,0
サービス業（他に分類されないもの）,65,48,42,5,1,17,0
10～49人,642,415,330,72,13,226,1
50～99人,225,186,141,34,11,38,1
100～299人,145,123,54,58,11,22,0
