表側１,表側２,表側３,回答企業数(件),創業者(％),創業者親族出身（二代目以降）(％),従業員出身（二代目以降）(％),企業外からの就任（二代目以降）(％),その他(％),無回答(％)
,,"今回調査
（全体）",767,41.9,40.2,10.8,3.5,2.1,1.6
,,前回調査,760,38.9,44.5,8.4,4.9,1.1,2.2
業種別,,食料品卸売業,213,39.4,46.0,7.5,2.8,2.3,1.9
業種別,,生鮮食品卸売業,91,30.8,53.8,8.8,2.2,1.1,3.3
業種別,,加工食品等卸売業,122,45.9,40.2,6.6,3.3,3.3,0.8
業種別,,衣料品関連卸売業,111,52.3,34.2,7.2,2.7,0.9,2.7
業種別,,住関連卸売業,155,41.9,37.4,11.0,5.2,1.9,2.6
業種別,,その他卸売業,270,40.7,38.1,14.8,3.7,2.2,0.4
従業者規模別,,１～５人,406,52.2,37.4,5.2,2.2,1.0,2.0
従業者規模別,,６～９人,119,37.0,44.5,10.1,3.4,3.4,1.7
従業者規模別,,10～49人,192,25.5,43.2,21.9,4.7,3.6,1.0
従業者規模別,,50人以上,28,14.3,50.0,21.4,10.7,3.6,0.0
取引形態別,一次卸,小売直取引卸,229,50.2,32.3,12.7,2.6,0.4,1.7
取引形態別,一次卸,他部門直取引卸,67,41.8,37.3,13.4,4.5,3.0,0.0
取引形態別,一次卸,元卸,127,48.8,29.9,12.6,3.9,3.9,0.8
取引形態別,二次卸,中間卸,93,37.6,41.9,8.6,6.5,3.2,2.2
取引形態別,二次卸,最終卸,131,22.9,64.9,6.9,1.5,1.5,2.3
取引形態別,その他,製造問屋,20,40.0,50.0,10.0,0.0,0.0,0.0
取引形態別,その他,その他卸,65,44.6,32.3,12.3,6.2,3.1,1.5
創業時期別,,1940年以前,33,9.1,72.7,18.2,0.0,0.0,0.0
創業時期別,,1941～1950年,26,3.8,73.1,7.7,11.5,0.0,3.8
創業時期別,,1951～1960年,64,3.1,82.8,7.8,3.1,3.1,0.0
創業時期別,,1961～1970年,75,9.3,73.3,12.0,4.0,1.3,0.0
創業時期別,,1971～1980年,94,28.7,53.2,16.0,1.1,0.0,1.1
創業時期別,,1981～1990年,121,45.5,38.0,9.9,4.1,1.7,0.8
創業時期別,,1991～2000年,116,61.2,18.1,11.2,4.3,2.6,2.6
創業時期別,,2001～2010年,143,66.4,16.8,8.4,3.5,3.5,1.4
創業時期別,,2011年以降,72,70.8,11.1,6.9,4.2,4.2,2.8
