表側１,表側２,表側３,回答企業数(件),40歳未満(％),40歳代(％),50歳代(％),60歳代(％),70歳以上(％),無回答(％)
,,"今回調査
（全体）",767,4.4,28.3,33.9,20.3,9.8,3.3
,,前回調査,760,6.1,32.1,30.8,17.9,7.2,5.9
業種別,,食料品卸売業,213,1.9,30.0,33.3,23.5,6.6,4.7
業種別,,生鮮食品卸売業,91,2.2,30.8,34.1,24.2,3.3,5.5
業種別,,加工食品等卸売業,122,1.6,29.5,32.8,23.0,9.0,4.1
業種別,,衣料品関連卸売業,111,5.4,32.4,29.7,18.9,9.0,4.5
業種別,,住関連卸売業,155,5.2,25.2,32.9,22.6,11.0,3.2
業種別,,その他卸売業,270,5.6,27.4,36.3,16.7,12.2,1.9
従業者規模別,,１～５人,406,2.0,11.6,32.3,33.7,16.7,3.7
従業者規模別,,６～９人,119,2.5,34.5,50.4,10.1,1.7,0.8
従業者規模別,,10～49人,192,9.9,56.8,29.7,2.6,0.0,1.0
従業者規模別,,50人以上,28,10.7,64.3,21.4,0.0,0.0,3.6
取引形態別,一次卸,小売直取引卸,229,7.4,27.1,32.3,20.5,10.5,2.2
取引形態別,一次卸,他部門直取引卸,67,0.0,34.3,32.8,16.4,13.4,3.0
取引形態別,一次卸,元卸,127,5.5,35.4,38.6,15.0,3.9,1.6
取引形態別,二次卸,中間卸,93,0.0,24.7,34.4,18.3,16.1,6.5
取引形態別,二次卸,最終卸,131,1.5,28.2,37.4,22.9,6.9,3.1
取引形態別,その他,製造問屋,20,10.0,20.0,50.0,20.0,0.0,0.0
取引形態別,その他,その他卸,65,7.7,26.2,16.9,27.7,15.4,6.2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
