表側１,表側２,表側３,回答企業数(件),赤字(マイナス)(％),0～2％未満(％),2～4％未満(％),4～10％未満(％),10％以上(％),無回答(％)
,,今回調査（全体）,2003,36.6,20.1,13.5,11.1,6.7,11.9
,,前回調査,2189,39.8,23.9,11.6,9,5.9,9.8
業種別,,総合商品小売業,164,22.6,32.3,21.3,12.2,3.7,7.9
業種別,,生鮮食品小売業,113,23,19.5,19.5,9.7,5.3,23
業種別,,食料品関連小売業,511,36.8,20.5,12.5,11,6.7,12.5
業種別,,衣料品関連小売業,314,46.5,18.8,8.9,8.9,5.7,11.1
業種別,,住関連小売業,162,34.6,14.2,14.8,12.3,11.7,12.3
業種別,,その他小売業,737,38,19,13.3,11.8,7.1,10.9
従業者規模別,,1～2人,1059,38.7,17.5,12.6,10.3,7.4,13.6
従業者規模別,,3～5人,488,37.3,18.4,14.1,11.1,7.8,11.3
従業者規模別,,6～19人,272,33.5,30.5,13.2,13.6,4,5.1
従業者規模別,,20人以上,134,26.9,26.1,19.4,14.9,3.7,9
