学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,4,x,x,x,4,x,x,x
学歴計,20～21歳,2,x,x,x,2,x,x,x
学歴計,22～24歳,9,2.9,217367,3740300,14,2.2,227357,3584625
学歴計,25～29歳,26,1.6,233217,3271254,23,2,229360,3426336
学歴計,30～34歳,39,6.5,277990,4419686,24,4.8,240133,3852736
学歴計,35～39歳,75,8.4,287689,4726227,7,5.3,281800,5243260
学歴計,40～44歳,84,8.4,322051,5008047,26,7.9,276388,6047030
学歴計,45～49歳,130,10.5,318083,4958202,27,12.6,286496,4831492
学歴計,50～54歳,201,13,341120,4911767,21,16.9,310818,5356130
学歴計,55～59歳,171,13.4,333657,4893806,12,16.8,292934,4039017
学歴計,60歳以上,114,15.6,277067,3761973,5,27.6,224882,3079400
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,3,x,x,x,-,-,-,-
中学卒,40～44歳,4,x,x,x,-,-,-,-
中学卒,45～49歳,5,6.6,263120,4619633,-,-,-,-
中学卒,50～54歳,21,8.4,308808,3647724,2,x,x,x
中学卒,55～59歳,7,9.6,199042,4880543,-,-,-,-
中学卒,60歳以上,12,17.8,422800,4390700,-,-,-,-
高校卒,18～19歳,4,x,x,x,4,x,x,x
高校卒,20～21歳,2,x,x,x,2,x,x,x
高校卒,22～24歳,8,3.3,209975,3740300,7,3.7,225571,3946000
高校卒,25～29歳,12,2.3,240933,3570538,4,x,x,x
高校卒,30～34歳,19,5.7,259284,4097276,6,5.7,182240,2833933
高校卒,35～39歳,36,8.9,267841,4773525,2,x,x,x
高校卒,40～44歳,37,6.8,266375,4555347,8,9.5,228773,4380300
高校卒,45～49歳,69,11,293921,4696943,4,x,x,x
高校卒,50～54歳,119,14.6,336605,4732136,4,x,x,x
高校卒,55～59歳,110,14.4,332715,4819032,3,x,x,x
高校卒,60歳以上,75,14.8,280877,3634056,3,x,x,x
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,1,x,x,x,-,-,-,-
高専・短大卒,25～29歳,2,x,x,x,-,-,-,-
高専・短大卒,30～34歳,-,-,-,-,2,x,x,x
高専・短大卒,35～39歳,1,x,x,x,2,x,x,x
高専・短大卒,40～44歳,4,x,x,x,3,x,x,x
高専・短大卒,45～49歳,6,9.5,284267,3850233,7,16.9,307229,6150340
高専・短大卒,50～54歳,-,-,-,-,4,x,x,x
高専・短大卒,55～59歳,4,x,x,x,5,16,288420,3835880
高専・短大卒,60歳以上,-,-,-,-,-,-,-,-
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,-,-,-,-,-,-,-,-
専門学校卒,25～29歳,1,x,x,x,3,x,x,x
専門学校卒,30～34歳,4,x,x,x,3,x,x,x
専門学校卒,35～39歳,10,9.6,336286,5290680,1,x,x,x
専門学校卒,40～44歳,17,8.4,374306,5932553,4,x,x,x
専門学校卒,45～49歳,26,11.5,347630,5259969,4,x,x,x
専門学校卒,50～54歳,36,9.8,365272,5515940,8,13,305270,5430513
専門学校卒,55～59歳,23,13.3,356336,4970724,4,x,x,x
専門学校卒,60歳以上,12,18.4,273379,4050058,-,-,-,-
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,-,-,-,-,7,0.7,229143,2500500
大学卒,25～29歳,11,0.5,223331,2318500,16,1.5,242376,3562925
大学卒,30～34歳,15,6.1,261073,4231008,13,4.2,260943,4453818
大学卒,35～39歳,25,7.4,289615,4365524,2,x,x,x
大学卒,40～44歳,20,10.4,353383,5299449,11,8.4,335083,5319400
大学卒,45～49歳,24,9,366182,5745559,12,10.2,303750,4943017
大学卒,50～54歳,23,13.5,341191,6084243,3,x,x,x
大学卒,55～59歳,27,11,354134,5338483,-,-,-,-
大学卒,60歳以上,15,16.1,252857,3751937,2,x,x,x
