学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,14,0.4,196153,-,4,x,x,x
学歴計,20～21歳,40,1.3,208879,2854466,15,2.1,193400,2370375
学歴計,22～24歳,81,2.3,234567,3878152,26,2.4,216809,2659798
学歴計,25～29歳,166,4.2,242476,3837983,39,3.9,222783,3436126
学歴計,30～34歳,173,6.9,269848,4291861,38,7.1,294827,5521755
学歴計,35～39歳,225,9.6,293597,4748989,31,7.7,226902,2922929
学歴計,40～44歳,266,11.2,307417,4771318,42,12,260528,5279172
学歴計,45～49歳,353,14.7,329131,5267879,62,12.5,254563,3855880
学歴計,50～54歳,427,16.8,354564,5446083,69,15,285517,4485273
学歴計,55～59歳,389,17.1,333355,5206338,68,15,231020,3281547
学歴計,60歳以上,210,18.9,289564,4035269,30,17.3,223172,3134077
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,2,x,x,x,-,-,-,-
中学卒,25～29歳,2,x,x,x,-,-,-,-
中学卒,30～34歳,2,x,x,x,1,x,x,x
中学卒,35～39歳,6,9.5,338828,5686175,1,x,x,x
中学卒,40～44歳,9,13.6,315204,4657511,-,-,-,-
中学卒,45～49歳,21,13.6,286656,4612851,2,x,x,x
中学卒,50～54歳,20,12.9,316431,3956165,6,17.2,240378,3583273
中学卒,55～59歳,21,18.4,320373,5234526,8,36.5,247775,4325148
中学卒,60歳以上,19,30.5,299626,4379011,1,x,x,x
高校卒,18～19歳,14,0.4,196153,-,3,x,x,x
高校卒,20～21歳,33,1.5,205130,2854466,11,2.1,187867,2370375
高校卒,22～24歳,33,3,237298,3659181,13,3.8,211000,2593763
高校卒,25～29歳,88,5,242112,3609384,14,4.6,212412,3527300
高校卒,30～34歳,86,6.6,268588,4251118,11,3.3,226706,3678775
高校卒,35～39歳,108,10.4,293819,4681624,8,12.1,218875,2849129
高校卒,40～44歳,152,10.2,302385,4618971,23,13.7,222653,3236150
高校卒,45～49歳,188,14.2,320700,5090803,30,12.4,256301,4101971
高校卒,50～54歳,253,15.9,349367,5330300,37,16.2,263444,3823766
高校卒,55～59歳,243,16.3,322372,4939697,37,13.4,235582,3191222
高校卒,60歳以上,128,16.6,295168,3972257,21,18.1,212737,2889281
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,3,x,x,x,-,-,-,-
高専・短大卒,25～29歳,3,x,x,x,-,-,-,-
高専・短大卒,30～34歳,6,9,306074,4941583,-,-,-,-
高専・短大卒,35～39歳,7,7.3,323202,5285457,10,4.6,220299,2606350
高専・短大卒,40～44歳,4,x,x,x,5,10.2,240000,11191000
高専・短大卒,45～49歳,12,16.8,372033,6603692,11,9.4,275839,4355280
高専・短大卒,50～54歳,8,12.3,446425,8495750,8,13,257784,3559348
高専・短大卒,55～59歳,10,13.4,321308,5296171,6,4,215023,2960781
高専・短大卒,60歳以上,10,13.1,284152,3309320,2,x,x,x
専門学校卒,20～21歳,6,0,227000,-,2,x,x,x
専門学校卒,22～24歳,24,2.3,229941,4337773,5,1.2,226000,2801467
専門学校卒,25～29歳,27,3.5,234851,3487664,9,4.2,242225,3267267
専門学校卒,30～34歳,19,6.3,262071,4428635,3,x,x,x
専門学校卒,35～39歳,25,9.6,304885,4957365,4,x,x,x
専門学校卒,40～44歳,32,11.8,310847,4628768,4,x,x,x
専門学校卒,45～49歳,60,16.7,332936,5431376,12,13.1,244609,3458110
専門学校卒,50～54歳,76,19.6,345162,5251690,9,9.6,270129,3670688
専門学校卒,55～59歳,47,17.1,344788,4979348,11,8.3,218680,2961327
専門学校卒,60歳以上,14,18.6,243568,3575493,2,x,x,x
大学卒,20～21歳,1,x,x,x,2,x,x,x
大学卒,22～24歳,19,0.8,226495,3230401,8,0.8,214588,2843500
大学卒,25～29歳,43,3.3,249833,4627363,16,3.2,218640,3575960
大学卒,30～34歳,54,7.2,268294,4109864,23,9.3,320987,6518630
大学卒,35～39歳,71,9,279921,4682236,8,7.1,254500,3701000
大学卒,40～44歳,57,12.6,328428,5413256,10,10.8,398913,8647543
大学卒,45～49歳,66,14.3,366639,5715074,7,13.4,-,2303400
大学卒,50～54歳,66,18.7,398249,6506304,9,16,440526,9206256
大学卒,55～59歳,61,18.8,376992,6213214,6,19.3,183096,2454200
大学卒,60歳以上,35,21.1,291770,4391533,1,x,x,x
