学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,9,0.2,188556,-
学歴計,20～21歳,2,x,x,x,16,1.3,206876,2670233
学歴計,22～24歳,31,2.4,224162,2903648,97,1.9,216329,3150919
学歴計,25～29歳,76,3.1,252340,3848839,235,3.5,237723,3511070
学歴計,30～34歳,150,6,317323,5063499,264,5.5,266828,3923602
学歴計,35～39歳,116,9.6,344530,5378950,229,7.9,280498,4195534
学歴計,40～44歳,173,9.6,423369,6384050,349,9.3,315474,4507458
学歴計,45～49歳,247,12.3,470209,7035339,376,13.2,325566,4850288
学歴計,50～54歳,256,19.2,529321,7758941,343,13.8,346963,5322031
学歴計,55～59歳,248,20.1,538581,7975531,219,18.3,380681,5703471
学歴計,60歳以上,162,18.1,421629,6417080,96,20.4,312991,4888261
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,1,x,x,x
中学卒,35～39歳,-,-,-,-,3,x,x,x
中学卒,40～44歳,4,x,x,x,-,-,-,-
中学卒,45～49歳,3,x,x,x,-,-,-,-
中学卒,50～54歳,2,x,x,x,-,-,-,-
中学卒,55～59歳,1,x,x,x,-,-,-,-
中学卒,60歳以上,1,x,x,x,-,-,-,-
高校卒,18～19歳,-,-,-,-,9,0.2,188556,-
高校卒,20～21歳,2,x,x,x,8,2.3,196719,2670233
高校卒,22～24歳,13,3.8,205464,2487055,37,3.2,214387,3451018
高校卒,25～29歳,11,3.8,231509,3184489,29,4.3,205264,2948483
高校卒,30～34歳,16,8.2,292286,4314088,58,6.6,253901,3862305
高校卒,35～39歳,13,9.9,304427,4382982,45,6.4,249820,3594766
高校卒,40～44歳,15,10.7,371932,5423457,78,9.4,295642,4474498
高校卒,45～49歳,27,17.6,400052,6285647,89,14.7,302828,4407981
高校卒,50～54歳,53,23.4,432959,6531800,104,14.5,316413,4699123
高校卒,55～59歳,32,27.5,443693,6236806,74,20.6,316160,4970323
高校卒,60歳以上,31,19.9,368802,5781214,32,20.3,275936,4277482
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,3,x,x,x
高専・短大卒,22～24歳,-,-,-,-,1,x,x,x
高専・短大卒,25～29歳,-,-,-,-,15,4.8,222087,3808147
高専・短大卒,30～34歳,1,x,x,x,23,6.1,265868,3400427
高専・短大卒,35～39歳,2,x,x,x,20,9.1,292854,3745865
高専・短大卒,40～44歳,4,x,x,x,63,10.5,295746,4219295
高専・短大卒,45～49歳,3,x,x,x,98,13.7,297026,4641832
高専・短大卒,50～54歳,2,x,x,x,67,15.2,332238,5289928
高専・短大卒,55～59歳,6,17.8,481000,7799268,37,20.2,353055,5182564
高専・短大卒,60歳以上,4,x,x,x,19,23.9,320063,5017611
専門学校卒,20～21歳,-,-,-,-,5,0.6,236989,-
専門学校卒,22～24歳,4,x,x,x,14,1.5,227038,3280783
専門学校卒,25～29歳,3,x,x,x,26,2.6,230060,3109575
専門学校卒,30～34歳,12,6.9,421995,6062375,27,5.7,261411,3498530
専門学校卒,35～39歳,8,7.6,300220,4131871,24,7.3,277903,4126793
専門学校卒,40～44歳,15,7,372915,5440600,26,8.8,305452,4176662
専門学校卒,45～49歳,38,17.2,407101,6128974,45,13.8,308230,4434683
専門学校卒,50～54歳,44,21.5,425348,6309343,50,12.8,315826,4939638
専門学校卒,55～59歳,19,28.3,461065,6936425,20,20.1,325612,5138890
専門学校卒,60歳以上,12,20.2,359964,6385927,14,18.9,235069,3795000
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,14,1,228336,3101686,45,0.9,214866,2740843
大学卒,25～29歳,62,2.9,258138,3978057,165,3.4,244958,3668329
大学卒,30～34歳,121,5.7,310154,5065797,152,5.1,271976,4119637
大学卒,35～39歳,93,9.8,355658,5650080,137,8.4,288220,4442193
大学卒,40～44歳,133,9.4,428989,6638642,181,8.9,332319,4694367
大学卒,45～49歳,176,10.5,494970,7371469,140,11.9,366769,5450152
大学卒,50～54歳,152,16.8,592900,8711173,122,12.9,393127,6081135
大学卒,55～59歳,186,17.8,565404,8432811,85,14.9,470960,6791263
大学卒,60歳以上,112,16.9,445901,6587849,31,19.1,384308,6078594
