区分,抽出企業数／総計,抽出企業数／10～29人,抽出企業数／30～49人,抽出企業数／50～99人,抽出企業数／100～299人,集計企業数／総計
調査産業計,3500,640,1590,850,420,1012
建設業／計,240,0,120,60,60,85
建設業／総合工事業,80,0,40,20,20,27
建設業／職別工事業（設備工事業を除く）,80,0,40,20,20,22
建設業／設備工事業,80,0,40,20,20,36
製造業／計,800,0,435,185,180,274
製造業／食料品・たばこ・飼料製造業,70,0,40,15,15,19
製造業／繊維工業・衣服製造業,55,0,25,15,15,22
製造業／木材・木製品・紙・パルプ製造業（家具を含む）,70,0,40,15,15,30
製造業／印刷・同関連業,60,0,30,15,15,23
製造業／化学工業,50,0,30,10,10,14
製造業／プラスチック製品製造業,50,0,30,10,10,14
製造業／ゴム製品・革製品・毛皮製造業,50,0,25,15,10,18
製造業／窯業・土石製品製造業,55,0,25,15,15,20
製造業／鉄鋼・非鉄金属製造業,45,0,25,10,10,18
製造業／金属製品製造業,50,0,30,10,10,19
製造業／はん用・生産用・業務用機械器具製造業,70,0,40,15,15,22
製造業／電子部品・電機機器・情報通信機器製造業,60,0,40,10,10,21
製造業／輸送用機械器具製造業,55,0,25,15,15,20
製造業／その他の製造業,60,0,30,15,15,14
情報通信業／計,230,0,140,45,45,50
情報通信業／通信・放送・インターネット附随サービス業,90,0,60,15,15,12
情報通信業／情報サービス業,70,0,40,15,15,23
情報通信業／映像・音声・文字情報制作業,70,0,40,15,15,15
運輸業，郵便業／計,165,0,80,40,45,55
運輸業，郵便業／道路旅客運送業,50,0,20,15,15,24
運輸業，郵便業／道路貨物運送業,55,0,30,10,15,15
運輸業，郵便業／倉庫業・運輸に付帯するサービス業,60,0,30,15,15,16
卸売業，小売業／計,755,280,370,105,0,195
卸売業，小売業／繊維・衣服等・飲食料品卸売業,105,0,70,35,0,22
卸売業，小売業／建築材料・鉱物・金属材料・機械器具等卸売業,105,0,70,35,0,27
卸売業，小売業／その他の卸売業,105,0,70,35,0,39
卸売業，小売業／織物・衣服・身の回り品小売業,110,70,40,0,0,27
卸売業，小売業／飲食料品小売業,110,70,40,0,0,28
卸売業，小売業／機械器具等小売業,110,70,40,0,0,27
卸売業，小売業／その他の小売業,110,70,40,0,0,25
金融業，保険業／計,130,0,40,40,50,43
金融業，保険業／金融業,60,0,15,20,25,24
金融業，保険業／金融商品・商品先物取引業,70,0,25,20,25,19
不動産業，物品賃貸業／計,110,0,40,30,40,30
学術研究，専門・技術サービス業／計,240,80,80,80,0,58
学術研究，専門・技術サービス業／専門サービス業,120,40,40,40,0,30
学術研究，専門・技術サービス業／広告業,120,40,40,40,0,28
宿泊業，飲食サービス業／計,245,80,85,80,0,49
宿泊業，飲食サービス業／宿泊業,115,40,45,30,0,27
宿泊業，飲食サービス業／飲食業,130,40,40,50,0,22
生活関連サービス業，娯楽業／計,120,40,35,45,0,33
教育，学習支援業(学校教育を除く）／計,110,40,30,40,0,32
医療，福祉／計,165,60,65,40,0,43
医療，福祉／医療業,85,35,35,15,0,20
医療，福祉／社会保険・社会福祉・介護事業,80,25,30,25,0,23
サービス業（他に分類されないもの）／計,190,60,70,60,0,65
サービス業（他に分類されないもの）／自動車整備・機械等修理業,90,30,30,30,0,33
サービス業（他に分類されないもの）／その他の事業サービス業,100,30,40,30,0,32
