表側１,表側２,表側３,回答企業数(件),赤字（マイナス）(%),０～２％未満(%),２～４％未満(%),４～10％未満(%),10％以上(%),無回答(%)
,,今回調査（全体）,2141,39.1,21.5,13.0,10.1,6.4,9.8
,,前回調査,2003,36.6,20.1,13.5,11.1,6.7,11.9
業種別,,総合商品小売業,189,15.9,33.3,22.2,19.0,3.2,6.3
業種別,,生鮮食品小売業,134,31.3,24.6,19.4,4.5,5.2,14.9
業種別,,食料品関連小売業,535,44.3,22.4,8.8,9.3,6.2,9.0
業種別,,衣料品関連小売業,298,54.0,14.8,9.7,6.0,4.7,10.7
業種別,,住関連小売業,167,35.9,20.4,14.4,10.8,5.4,13.2
業種別,,その他小売業,773,36.9,20.4,13.6,11.0,8.8,9.3
従業者規模別,,１～２人,1066,43.2,20.3,10.7,8.3,6.5,11.1
従業者規模別,,３～５人,486,40.9,19.8,12.1,9.5,8.0,9.7
従業者規模別,,６～19人,336,32.4,22.9,17.6,16.1,3.9,7.1
従業者規模別,,20人以上,170,19.4,33.5,20.6,15.9,5.3,5.3
