表側１,表側２,表側３,回答企業数(件),低価格志向(％),品質重視(％),値ごろ感の重視(％),買い控え(％),個性化・多様化(％),商品への安全・安心意識の高まり(％),健康志向(％),大型店志向(％),インターネットによる情報収集・購入(％),配送・配達サービス(％),購買行動の広域化(％),高齢化(％),少子化(％),単身世帯の増加(％),新型コロナウイルス感染症拡大の影響(％),その他(％),無回答(％)
,,今回調査（全体）,2003,26.2,38.5,28.7,18.1,18.2,20.5,18.9,11.2,19.1,9.3,4.5,36.2,10,6.2,27.2,2.2,6.7
業種別,,総合商品小売業,164,23.8,57.9,41.5,9.8,20.7,51.2,45.1,4.9,11.6,13.4,2.4,48.8,17.1,23.2,43.9,1.2,5.5
業種別,,生鮮食品小売業,113,18.6,44.2,29.2,9.7,9.7,25.7,21.2,15,4.4,13.3,4.4,38.1,11.5,9.7,13.3,0.9,15
業種別,,食料品関連小売業,511,27.2,47.7,27.2,11.5,17.8,29.7,24.9,14.7,15.3,12.7,3.1,31.5,9.8,7,21.1,2.3,6.5
業種別,,衣料品関連小売業,314,28,33.8,34.1,32.5,24.5,8.9,10.5,6.4,20.4,3.2,3.8,40.4,6.7,1.6,35,1.3,7
業種別,,住関連小売業,162,39.5,31.5,33.3,20.4,9.9,18.5,7.4,19.1,25.9,5.6,5.6,44.4,4.9,3.7,20.4,4.3,4.9
業種別,,その他小売業,737,23.5,30.7,23.6,19.3,18.5,11.8,14.8,9.9,23.6,9,6.1,32.8,11,3.9,27.8,2.4,6
従業者規模別,,1～2人,1059,29.3,35,28.1,19.6,17,14.3,16.5,13.2,17.4,6.5,4.5,34.9,9.1,5,23.4,2.7,7.5
従業者規模別,,3～5人,488,26.2,42.8,28.9,20.3,18.6,23.6,17.6,11.5,23.2,12.3,5.1,37.3,8.8,4.9,27.9,1.6,5.1
従業者規模別,,6～19人,272,18.8,41.2,28.7,11,21.3,29.8,24.3,4.8,18,11,3.3,37.5,14.3,8.5,35.3,1.5,6.3
従業者規模別,,20人以上,134,17.9,50,38.8,14.9,22.4,44,35.1,6.7,23.9,17.2,4.5,38.8,13.4,17.2,39.6,1.5,4.5
売上高増減別(前年同期比),,増加,138,21,57.2,41.3,12.3,30.4,40.6,32.6,7.2,23.2,12.3,7.2,36.2,10.9,15.2,24.6,2.9,3.6
売上高増減別(前年同期比),,横ばい,251,27.1,47.4,31.9,11.2,13.9,28.7,25.1,8.8,15.9,9.6,4.4,34.7,10,7.6,19.9,0.8,6.8
売上高増減別(前年同期比),,減少,1536,26.2,35.4,27.4,19.9,18.3,17.5,16.5,11.5,19.3,9,4.1,36.6,9.7,5.1,28.6,2.2,6.7
売上高増減別(3年前),,増加,130,20,57.7,33.8,12.3,29.2,38.5,33.1,3.1,26.9,9.2,7.7,30,7.7,7.7,29.2,3.1,4.6
売上高増減別(3年前),,横ばい,338,19.8,47.9,31.1,12.7,20.1,28.4,22.5,6.8,21.6,9.5,3.3,32,7.7,7.4,25.4,0.9,5
売上高増減別(3年前),,減少,1346,29.1,34.5,28.8,20.7,16.9,16.9,16.8,12.5,18,9.2,4.3,37.7,10.5,5.3,27.8,2.2,6.8
経常損益の変化別(前年同期比),,増益,109,20.2,57.8,45,13.8,32.1,42.2,31.2,8.3,22.9,16.5,7.3,43.1,13.8,14.7,31.2,1.8,0.9
経常損益の変化別(前年同期比),,横ばい,337,25.8,47.8,29.4,13.9,16.3,27.6,26.4,8.6,15.1,7.7,4.5,36.2,10.4,7.4,21.4,1.5,7.1
経常損益の変化別(前年同期比),,減益,1406,26.7,35.3,28,19.9,18.5,17.6,16.5,12.1,20.3,9.4,4.4,36.1,9.7,5.3,28.9,2.3,6.2
経常損益の変化別(3年前),,増益,208,25.5,46.2,32.7,17.3,24,30.8,24.5,8.7,24,11.1,6.3,31.7,8.7,7.7,30.8,2.4,3.8
経常損益の変化別(3年前),,横ばい,615,26.3,42,30.9,18.5,20,19.8,17.9,10.4,21.1,9.9,4.6,34.5,9.1,6.7,25.4,1.8,7.3
経常損益の変化別(3年前),,減益,937,27.4,35.2,28.7,19.3,16.2,19.1,19.3,12,17.6,8.2,4.3,38.6,11.5,5.1,29.8,1.7,6.1
