,,全部門・職種,一部の部門・職種,無回答,ｎ
,今回調査（全体）,70.4,27.6,1.9,1284
業種別,情報・コンテンツ業,72.6,25.6,1.8,504
業種別,専門サービス業,75.7,21.8,2.5,440
業種別,技術サービス業,69.1,29.7,1.2,165
業種別,事業サービス業,53,45,2,151
特定10業種別,ソフトウェア業,72.3,26.6,1.2,256
特定10業種別,インターネット附随サービス業,82.2,15.6,2.2,45
特定10業種別,映像情報制作・配給業,77.8,22.2,0,45
特定10業種別,出版業,62.5,34.4,3.1,32
特定10業種別,税理士事務所,71.8,25.6,2.6,78
特定10業種別,デザイン業,66.7,23.3,10,60
特定10業種別,経営コンサルタント業,84.5,14.7,0.8,129
特定10業種別,建築設計業,71.6,27.5,1,102
特定10業種別,自動車整備業,0,100,0,2
特定10業種別,建物サービス業,42.9,57.1,0,14
従業者規模別,2人,78.3,19.5,2.2,226
従業者規模別,3～5人,73.4,25.2,1.5,274
従業者規模別,6～9人,64,34.6,1.5,136
従業者規模別,10～29人,58.6,41.4,0,210
従業者規模別,30人以上,44.8,54.5,0.7,143
年間売上高増減別（３年前）,大幅(10％以上)増加,74.8,23.9,1.2,163
年間売上高増減別（３年前）,やや(10％未満)増加,70.9,28.5,0.7,151
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,69.3,29.1,1.5,326
年間売上高増減別（３年前）,やや(10％未満)減少,65,30.8,4.2,143
年間売上高増減別（３年前）,大幅(10％以上)減少,67.5,30.1,2.3,428
売上高経常利益率別,黒字,68,30.4,1.6,809
売上高経常利益率別,赤字,75.4,23,1.7,357
経常損益の変化別（３年前）,増益,67.6,30.8,1.7,299
経常損益の変化別（３年前）,横ばい,69.3,28.9,1.8,381
経常損益の変化別（３年前）,減益,69.9,28,2.1,515
代表者の年齢別,40歳未満,81.8,16.4,1.8,55
代表者の年齢別,40歳代,79.7,18.5,1.7,232
代表者の年齢別,50歳代,69.6,29.1,1.3,375
代表者の年齢別,60歳代,67.2,31.1,1.7,405
代表者の年齢別,70歳以上,63.7,32.4,3.9,204
