表側１,表側２,表側３,回答企業数(件),決まっている(％),候補がいるが決まっていない(％),候補がいない(％),まだ決める必要がない(％),その他(％),無回答(％)
,,今回調査（全体）,565,44.1,25.5,11.3,14.5,0.4,4.2
,,前回調査,491,52.7,23,8.4,12,0.4,3.5
業種別,,総合商品小売業,79,36.7,27.8,13.9,19,0,2.5
業種別,,生鮮食品小売業,20,65,15,10,0,0,10
業種別,,食料品関連小売業,127,50.4,24.4,11,11.8,0,2.4
業種別,,衣料品関連小売業,65,40,36.9,6.2,12.3,0,4.6
業種別,,住関連小売業,48,52.1,18.8,16.7,10.4,0,2.1
業種別,,その他小売業,226,40.7,24.3,11.1,17.3,0.9,5.8
従業者規模別,,1～2人,158,36.1,22.8,20.9,15.2,1.3,3.8
従業者規模別,,3～5人,202,55,20.8,7.9,10.9,0,5.4
従業者規模別,,6～19人,116,37.9,34.5,5.2,19.8,0,2.6
従業者規模別,,20人以上,78,42.3,30.8,9,15.4,0,2.6
経常損益の変化別(前年同期比),,増益,34,29.4,23.5,23.5,20.6,0,2.9
経常損益の変化別(前年同期比),,横ばい,108,51.9,24.1,10.2,12,0,1.9
経常損益の変化別(前年同期比),,減益,389,42.7,26.7,10.5,15.4,0.5,4.1
経常損益の変化別(3年前),,増益,84,34.5,28.6,15.5,19,0,2.4
経常損益の変化別(3年前),,横ばい,171,48,24.6,12.9,8.8,0,5.8
経常損益の変化別(3年前),,減益,265,45.7,25.7,9.1,15.5,0.8,3.4
代表者の年齢別,,40歳未満,9,0,33.3,11.1,44.4,0,11.1
代表者の年齢別,,40歳代,52,23.1,30.8,17.3,25,0,3.8
代表者の年齢別,,50歳代,96,28.1,29.2,14.6,26,0,2.1
代表者の年齢別,,60歳代,137,40.1,29.9,14.6,12.4,0,2.9
代表者の年齢別,,70歳以上,266,57.1,20.7,7.5,8.6,0.8,5.3
