学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,1,x,x,x
学歴計,18～19歳,65,0.5,192036,2205989,7,0.6,184460,-
学歴計,20～21歳,166,1.4,203886,3404490,83,0.7,198186,2543138
学歴計,22～24歳,779,1.8,224201,3597112,569,1.2,226645,3129692
学歴計,25～29歳,1622,3.8,264415,4353028,1225,3.3,250718,3900437
学歴計,30～34歳,1799,6,311766,5037124,1037,5.4,271878,4241352
学歴計,35～39歳,1877,9,368839,5862574,813,8.2,312490,4668553
学歴計,40～44歳,2124,12.3,388809,6193154,1035,10.5,325857,4912368
学歴計,45～49歳,2717,14.8,423835,6621963,1160,12.5,333313,5155097
学歴計,50～54歳,2657,17.1,436666,6723863,905,15.1,349586,5442348
学歴計,55～59歳,2169,18.5,450094,6853492,691,17.6,363728,5545862
学歴計,60歳以上,1386,15,362497,5126717,271,14.5,288852,3991482
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,1,x,x,x,-,-,-,-
中学卒,22～24歳,3,x,x,x,1,x,x,x
中学卒,25～29歳,9,1.8,319781,4075240,4,x,x,x
中学卒,30～34歳,26,7.2,336638,5198633,1,x,x,x
中学卒,35～39歳,29,11.2,368273,5394400,1,x,x,x
中学卒,40～44歳,26,11.3,381614,6009735,8,13.4,398330,3845767
中学卒,45～49歳,43,14.1,337990,5310842,5,5,255490,3538280
中学卒,50～54歳,62,20.2,362374,5492910,4,x,x,x
中学卒,55～59歳,37,18.1,354432,5671808,8,23.3,221122,3112950
中学卒,60歳以上,57,15.4,280221,4148619,4,x,x,x
高校卒,18～19歳,61,0.6,191416,2205989,7,0.6,184460,-
高校卒,20～21歳,102,2,204524,3413823,25,1.7,187694,2504263
高校卒,22～24歳,184,4,212027,3843618,49,2.9,203935,2777612
高校卒,25～29歳,294,5.9,250785,4264971,106,4.5,235494,3475724
高校卒,30～34歳,341,8.6,282411,4781834,110,6.3,249567,3768104
高校卒,35～39歳,406,10.7,318357,5244482,105,8.8,252967,3894628
高校卒,40～44歳,541,13.2,340718,5375344,169,11.9,273712,4200281
高校卒,45～49歳,734,14.8,362187,5721186,232,13.2,267988,4151863
高校卒,50～54歳,875,17.4,361551,5620466,259,16.8,308087,4793734
高校卒,55～59歳,718,18.9,382938,5761607,224,19.5,300266,4687354
高校卒,60歳以上,589,15.6,294476,4094192,116,15.2,266814,3678234
高専・短大卒,18～19歳,2,x,x,x,-,-,-,-
高専・短大卒,20～21歳,11,0.4,203609,3830200,13,0.1,212515,-
高専・短大卒,22～24歳,30,2.2,213634,3531770,20,1.9,235958,3229769
高専・短大卒,25～29歳,40,3.8,241053,3850894,44,3.6,238788,3401309
高専・短大卒,30～34歳,32,7,284104,4532893,52,6.8,231869,3513900
高専・短大卒,35～39歳,60,9.9,320500,5138845,67,9.3,256469,4137442
高専・短大卒,40～44歳,68,14,384998,6784894,135,11.2,277542,4380972
高専・短大卒,45～49歳,105,15.9,357284,6123714,206,13.7,314207,4857291
高専・短大卒,50～54歳,81,15.4,411421,6626894,150,15.3,338797,5178743
高専・短大卒,55～59歳,72,16.5,409951,6342171,111,17.2,351213,5392255
高専・短大卒,60歳以上,51,19.1,333564,4965902,30,14.2,321981,4488357
専門学校卒,20～21歳,48,0.4,194250,2378150,38,0.4,202484,2690860
専門学校卒,22～24歳,110,1.9,217785,3153127,63,2.1,229947,3040486
専門学校卒,25～29歳,217,4.3,235686,3964253,134,3.8,242440,3599669
専門学校卒,30～34歳,180,5.6,277291,4588675,114,6,255538,3983187
専門学校卒,35～39歳,224,8.1,333011,5124975,121,8.1,278576,4086537
専門学校卒,40～44歳,317,13.1,346337,5873337,111,10.3,292857,4600169
専門学校卒,45～49歳,472,15.9,398685,6122446,161,14.1,332026,5046425
専門学校卒,50～54歳,402,18.9,415888,6462657,131,14.3,298627,4725026
専門学校卒,55～59歳,278,21.5,400951,6107973,90,14.5,275235,4330780
専門学校卒,60歳以上,127,13.3,339107,4929052,46,11.8,284820,3685624
大学卒,20～21歳,-,-,-,-,1,x,x,x
大学卒,22～24歳,442,0.8,231595,3594525,432,0.8,228584,3273727
大学卒,25～29歳,1031,3.2,273568,4517709,922,3.1,254983,4023670
大学卒,30～34歳,1133,5.3,328277,5254758,719,5,282808,4433853
大学卒,35～39歳,1113,8.5,400427,6347547,493,7.9,343160,5042372
大学卒,40～44歳,1108,11.7,426392,6679156,572,9.9,361165,5369950
大学卒,45～49歳,1275,14.6,479201,7482077,521,11.2,373622,5834564
大学卒,50～54歳,1131,16.6,513974,7866692,335,14.2,411801,6462197
大学卒,55～59歳,1001,17.7,524375,8014391,224,18.3,490105,7256415
大学卒,60歳以上,500,14.8,463162,6701112,64,15,328897,4678459
