表側１,表側２,表側３,回答企業数(件),必要な能力を持った人材がいない(%),人手が不足(%),資金が不足(%),取り組む時間が不足(%),取り組み方がわからない(%),売上・収入の増加につながらない(%),その他(%),必要性を感じていない(%),無回答(%)
,,"今回調査
（全体）",84,15.5,9.5,16.7,6.0,8.3,26.2,4.8,39.3,6.0
,,前回調査,73,15.1,16.4,23.3,9.6,9.6,16.4,6.8,32.9,8.2
業種別,,食料品卸売業,25,20.0,16.0,24.0,12.0,8.0,16.0,0.0,28.0,8.0
業種別,,生鮮食品卸売業,14,14.3,21.4,35.7,14.3,14.3,21.4,0.0,21.4,0.0
業種別,,加工食品等卸売業,11,27.3,9.1,9.1,9.1,0.0,9.1,0.0,36.4,18.2
業種別,,衣料品関連卸売業,7,0.0,0.0,0.0,0.0,14.3,28.6,0.0,28.6,28.6
業種別,,住関連卸売業,16,12.5,0.0,0.0,6.3,6.3,43.8,6.3,50.0,0.0
業種別,,その他卸売業,31,12.9,12.9,19.4,3.2,3.2,25.8,9.7,45.2,3.2
従業者規模別,,１～５人,68,17.6,8.8,17.6,4.4,10.3,23.5,5.9,41.2,5.9
従業者規模別,,６～９人,7,0.0,14.3,14.3,14.3,0.0,42.9,0.0,28.6,0.0
従業者規模別,,10～49人,5,20.0,20.0,0.0,20.0,0.0,40.0,0.0,40.0,0.0
従業者規模別,,50人以上,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,20,0.0,5.0,20.0,0.0,0.0,35.0,10.0,40.0,0.0
取引形態別,一次卸,他部門直取引卸,3,33.3,0.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3
取引形態別,一次卸,元卸,6,33.3,16.7,16.7,33.3,16.7,33.3,0.0,66.7,0.0
取引形態別,二次卸,中間卸,18,11.1,5.6,5.6,5.6,5.6,22.2,5.6,38.9,16.7
取引形態別,二次卸,最終卸,19,15.8,10.5,15.8,10.5,10.5,26.3,0.0,42.1,5.3
取引形態別,その他,製造問屋,1,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
取引形態別,その他,その他卸,10,20.0,20.0,20.0,0.0,10.0,20.0,0.0,30.0,0.0
年間売上高増減別（3年前）,,大幅増加（10％以上）,3,66.7,0.0,33.3,33.3,33.3,0.0,0.0,33.3,0.0
年間売上高増減別（3年前）,,やや増加（10％未満）,9,22.2,22.2,22.2,11.1,0.0,22.2,11.1,22.2,11.1
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,12,0.0,0.0,8.3,8.3,0.0,33.3,0.0,58.3,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,16,25.0,18.8,18.8,0.0,6.3,25.0,0.0,31.3,18.8
年間売上高増減別（3年前）,,大幅減少（10％以上）,36,8.3,8.3,13.9,5.6,8.3,25.0,8.3,38.9,2.8
売上高経常利益率別,,黒字（プラス）,32,15.6,9.4,9.4,12.5,9.4,18.8,6.3,37.5,6.3
売上高経常利益率別,,赤字（マイナス）,47,12.8,10.6,19.1,2.1,4.3,31.9,4.3,40.4,6.4
経常損益の変化別（3年前）,,増益,13,15.4,7.7,0.0,7.7,23.1,30.8,0.0,38.5,0.0
経常損益の変化別（3年前）,,横ばい,26,7.7,3.8,23.1,0.0,3.8,23.1,3.8,57.7,7.7
経常損益の変化別（3年前）,,減益,40,17.5,15.0,15.0,10.0,2.5,27.5,7.5,27.5,7.5
,,,,,,,,,,,,
,,,,,,,,,,,,
