表側１,表側２,表側３,回答企業数(件),40歳未満(％),40歳代(％),50歳代(％),60歳代(％),70歳以上(％),無回答(％)
,,今回調査（全体）,760,2.2,13.6,28.3,25.3,29.6,1.1
,,前回調査,823,1.5,12.6,22.4,32.9,29.3,1.3
業種別,,食料品卸売業,237,1.7,15.6,27.8,26.6,27,1.3
業種別,,生鮮食品卸売業,126,1.6,16.7,27.8,25.4,27.8,0.8
業種別,,加工食品等卸売業,111,1.8,14.4,27.9,27.9,26.1,1.8
業種別,,衣料品関連卸売業,145,2.8,11,35.9,24.1,24.8,1.4
業種別,,住関連卸売業,83,0,14.5,25.3,31.3,28.9,0
業種別,,その他卸売業,288,3.1,12.8,25.7,22.9,34.4,1
従業者規模別,,1～5人,399,1.8,10.3,26.1,24.6,36.8,0.5
従業者規模別,,6～9人,101,4,17.8,37.6,24.8,15.8,0
従業者規模別,,10～49人,208,2.9,16.8,28.8,26.4,24,1
従業者規模別,,50人以上,36,0,16.7,33.3,27.8,22.2,0
取引形態別,一次卸,小売直取引卸,219,2.3,16,32,22.8,26.5,0.5
取引形態別,一次卸,他部門直取引卸,50,0,10,40,22,28,0
取引形態別,一次卸,元卸,154,2.6,13.6,31.2,27.3,24,1.3
取引形態別,二次卸,中間卸,85,2.4,15.3,23.5,18.8,37.6,2.4
取引形態別,二次卸,最終卸,135,1.5,10.4,25.9,31.1,29.6,1.5
取引形態別,その他,製造問屋,19,5.3,0,31.6,21.1,42.1,0
取引形態別,その他,その他卸,77,3.9,18.2,14.3,26,36.4,1.3
