区分,集計企業数（社）,平均週所定労働時間（時間:分）,３５時間未満（社）,３５時間以上３６時間未満（社）,３６時間以上３７時間未満（社）,３７時間以上３８時間未満（社）,３８時間以上３９時間未満（社）,３９時間以上４０時間未満（社）,４０時間（社）,４０時間超４４時間未満（社）,４４時間以上４８時間未満（社）,４８時間以上（社）,無回答（社）
調査産業計,876,39:03:00,15,62,23,108,55,23,502,28,12,4,44
労組有,63,38:54:00,1,4,2,12,4,4,28,4,0,0,4
労組無,813,39:04:00,14,58,21,96,51,19,474,24,12,4,40
建設業,71,39:45:00,1,2,0,3,7,1,46,7,1,0,3
製造業,207,39:08:00,1,8,6,35,20,7,116,4,1,0,9
情報通信業,58,38:55:00,0,4,2,10,5,1,32,0,0,0,4
運輸業，郵便業,42,39:15:00,0,3,2,2,1,4,26,1,0,0,3
卸売業，小売業,180,39:14:00,3,14,7,23,6,3,99,8,6,2,9
金融業，保険業,27,38:05:00,0,4,2,8,2,0,10,0,0,0,1
不動産業，物品賃貸業,16,37:07:00,2,2,1,0,2,0,8,1,0,0,0
学術研究，専門・技術サービス業,57,38:41:00,1,8,1,6,2,1,36,0,0,0,2
宿泊業，飲食サービス業,43,38:53:00,2,3,0,6,0,1,26,0,1,1,3
生活関連サービス業，娯楽業,34,38:59:00,1,2,0,7,3,1,15,2,1,0,2
教育，学習支援業（学校教育を除く）,30,37:25:00,3,5,1,0,1,1,16,2,0,0,1
医療，福祉,57,39:52:00,0,1,1,1,2,0,46,2,1,0,3
サービス業（他に分類されないもの）,54,39:04:00,1,6,0,7,4,3,26,1,1,1,4
10～49人,585,39:04:00,15,39,10,72,34,11,342,21,9,4,28
50～99人,188,38:57:00,0,15,10,29,14,7,97,5,2,0,9
100～299人,103,39:14:00,0,8,3,7,7,5,63,2,1,0,7
