学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,3,x,x,x,15,0.7,223708,2200000
学歴計,22～24歳,27,2.3,233989,3120919,37,1.6,256708,3137256
学歴計,25～29歳,36,2.9,248771,3279661,29,2.3,287364,3271865
学歴計,30～34歳,50,4.8,311992,4085857,19,4.4,277893,3192259
学歴計,35～39歳,50,8.1,308609,4179888,16,5.8,240453,3071615
学歴計,40～44歳,42,9.2,370775,4973619,12,8.9,266149,3003440
学歴計,45～49歳,40,12.6,340493,4484346,12,8.7,262730,3428867
学歴計,50～54歳,51,11.9,339107,4207117,11,11.5,281729,3507736
学歴計,55～59歳,23,17,402858,4875327,11,15.2,241024,3114182
学歴計,60歳以上,34,17.6,267904,3410300,26,13.3,267707,3529712
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,1,x,x,x,-,-,-,-
中学卒,30～34歳,2,x,x,x,-,-,-,-
中学卒,35～39歳,1,x,x,x,-,-,-,-
中学卒,40～44歳,-,-,-,-,2,x,x,x
中学卒,45～49歳,1,x,x,x,1,x,x,x
中学卒,50～54歳,2,x,x,x,-,-,-,-
中学卒,55～59歳,-,-,-,-,-,-,-,-
中学卒,60歳以上,6,22.8,187965,2706283,-,-,-,-
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,3,x,x,x
高校卒,22～24歳,6,4.3,233833,3666167,4,x,x,x
高校卒,25～29歳,13,4.9,254974,3462500,4,x,x,x
高校卒,30～34歳,18,6.1,330759,4853787,1,x,x,x
高校卒,35～39歳,19,8.4,323770,4332824,4,x,x,x
高校卒,40～44歳,23,8.3,396456,5457083,1,x,x,x
高校卒,45～49歳,18,13.6,321940,4285569,2,x,x,x
高校卒,50～54歳,34,12.4,339748,4288422,8,9.8,281877,3423363
高校卒,55～59歳,13,15.6,335031,4024725,8,16.5,242372,3223988
高校卒,60歳以上,14,13,281909,3420177,14,13.6,301305,3883114
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,4,x,x,x
高専・短大卒,22～24歳,-,-,-,-,2,x,x,x
高専・短大卒,25～29歳,3,x,x,x,3,x,x,x
高専・短大卒,30～34歳,2,x,x,x,1,x,x,x
高専・短大卒,35～39歳,-,-,-,-,2,x,x,x
高専・短大卒,40～44歳,-,-,-,-,-,-,-,-
高専・短大卒,45～49歳,1,x,x,x,2,x,x,x
高専・短大卒,50～54歳,1,x,x,x,3,x,x,x
高専・短大卒,55～59歳,1,x,x,x,-,-,-,-
高専・短大卒,60歳以上,3,x,x,x,3,x,x,x
専門学校卒,20～21歳,3,x,x,x,8,0.8,231978,-
専門学校卒,22～24歳,3,x,x,x,14,1.9,276541,3088613
専門学校卒,25～29歳,5,0.8,256120,3170867,10,1.9,294606,3445775
専門学校卒,30～34歳,8,2,343988,3111080,11,4.2,306545,3510118
専門学校卒,35～39歳,11,7.5,376994,4370600,6,3.7,259934,3414675
専門学校卒,40～44歳,3,x,x,x,5,3.2,269950,2841400
専門学校卒,45～49歳,8,13,352572,5212560,3,x,x,x
専門学校卒,50～54歳,7,10.7,430029,5196800,-,-,-,-
専門学校卒,55～59歳,5,11.8,570200,6840000,-,-,-,-
専門学校卒,60歳以上,7,12.1,236692,3212800,4,x,x,x
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,18,1.6,235928,2828913,17,0.8,251319,3345400
大学卒,25～29歳,14,1.9,240195,3095322,12,2.6,279276,3198580
大学卒,30～34歳,19,5,295248,3893561,4,x,x,x
大学卒,35～39歳,17,8.9,259947,4010946,4,x,x,x
大学卒,40～44歳,16,8.9,332181,4413044,3,x,x,x
大学卒,45～49歳,12,9.1,359295,4433442,3,x,x,x
大学卒,50～54歳,4,x,x,x,-,-,-,-
大学卒,55～59歳,4,x,x,x,-,-,-,-
大学卒,60歳以上,2,x,x,x,1,x,x,x
