区分,集計企業数（社）,制度あり（社）,制度あり／利用者の有無／あり（社）,制度あり／利用者の有無／なし（社）,制度あり／利用者の有無／無回答（社）,制度あり／規定の整備状況／就業規則に記載済み／令和２年４月以降に導入（社）,制度あり／規定の整備状況／就業規則に記載済み／令和２年３月以前に導入（社）,制度あり／規定の整備状況／就業規則に記載していない／その他の社内規定に記載（社）,制度あり／規定の整備状況／就業規則に記載していない／今後記載する予定あり（社）,制度あり／規定の整備状況／就業規則に記載していない／記載するか未定（社）,制度あり／規定の整備状況／無回答（社）,制度あり／制度の内容／他の雇用区分を新設（社）,制度あり／制度の内容／従来の雇用形態で所定労働時間のみ短縮（社）,制度あり／制度の内容／その他（社）,制度あり／制度の内容／無回答（社）,制度なし（社）,無回答（社）
調査産業計,876,170,128,41,1,21,78,21,16,20,14,14,136,8,12,706,0
労組有,63,6,3,3,0,0,2,0,2,1,1,1,4,0,1,57,0
労組無,813,164,125,38,1,21,76,21,14,19,13,13,132,8,11,649,0
建設業,71,10,9,1,0,2,4,1,1,2,0,1,8,0,1,61,0
製造業,207,25,18,6,1,3,13,2,4,1,2,2,19,3,1,182,0
情報通信業,58,23,19,4,0,2,15,2,0,3,1,1,22,0,0,35,0
運輸業，郵便業,42,3,1,2,0,0,3,0,0,0,0,0,3,0,0,39,0
卸売業，小売業,180,34,27,7,0,4,11,7,4,4,4,2,26,2,4,146,0
金融業，保険業,27,8,5,3,0,3,4,0,0,0,1,0,7,0,1,19,0
不動産業，物品賃貸業,16,2,2,0,0,0,1,0,0,1,0,1,0,0,1,14,0
学術研究，専門・技術サービス業,57,21,16,5,0,0,8,3,3,3,4,2,17,0,2,36,0
宿泊業，飲食サービス業,43,6,3,3,0,2,1,0,2,0,1,1,4,1,0,37,0
生活関連サービス業，娯楽業,34,6,5,1,0,1,3,0,0,1,1,1,4,0,1,28,0
教育，学習支援業（学校教育を除く）,30,10,9,1,0,2,3,2,1,2,0,1,9,0,0,20,0
医療，福祉,57,16,8,8,0,0,10,3,1,2,0,2,11,2,1,41,0
サービス業（他に分類されないもの）,54,6,6,0,0,2,2,1,0,1,0,0,6,0,0,48,0
10～49人,585,110,83,26,1,13,46,15,11,14,11,8,87,7,8,475,0
50～99人,188,39,30,9,0,2,23,3,4,4,3,5,29,1,4,149,0
100～299人,103,21,15,6,0,6,9,3,1,2,0,1,20,0,0,82,0
,,,,,,,,,,,,,,,,,（  ）<  >内は構成比(％)
