学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,47,0.6,197313,2863533,19,0.5,192278,-
学歴計,20～21歳,105,1.5,208130,3053929,52,1.2,203747,2591121
学歴計,22～24歳,415,1.8,246191,3559910,314,1.6,234363,3007765
学歴計,25～29歳,969,3.6,277494,4413336,649,3.2,261277,3713821
学歴計,30～34歳,876,5.9,309569,4797119,505,5.2,295987,4401237
学歴計,35～39歳,779,8.3,327479,5222775,388,7.5,292756,4336953
学歴計,40～44歳,769,9.6,345221,5311169,446,8.5,299574,4466447
学歴計,45～49歳,715,12.4,349761,5359584,439,11.2,317139,4814212
学歴計,50～54歳,726,14.4,366675,5541514,407,12.5,321459,4867369
学歴計,55～59歳,610,15.1,358018,5521757,249,15,321986,4816168
学歴計,60歳以上,371,14.9,319574,4530815,102,15.9,278238,4116447
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,2,x,x,x,-,-,-,-
中学卒,22～24歳,6,4,412417,5645533,-,-,-,-
中学卒,25～29歳,13,5.7,308585,4460095,1,x,x,x
中学卒,30～34歳,8,9.3,323977,4594113,3,x,x,x
中学卒,35～39歳,11,8.1,330852,5264788,4,x,x,x
中学卒,40～44歳,13,11.1,332365,4952915,1,x,x,x
中学卒,45～49歳,27,10.8,326166,6096886,2,x,x,x
中学卒,50～54歳,40,13.2,343916,4551877,6,17.2,240378,3583273
中学卒,55～59歳,28,12.6,305598,5187136,8,36.5,247775,4325148
中学卒,60歳以上,31,21.5,335043,4858883,1,x,x,x
高校卒,18～19歳,47,0.6,197313,2863533,18,0.5,192278,-
高校卒,20～21歳,81,1.7,206518,3110831,27,1.9,202323,2593961
高校卒,22～24歳,101,3.6,235934,3786750,59,3.3,227892,3127318
高校卒,25～29歳,192,5.1,257430,4183499,49,4.7,233728,3299515
高校卒,30～34歳,180,6.9,276899,4265136,63,5.7,253547,3933681
高校卒,35～39歳,186,8.4,304620,4647227,61,6.3,242283,3580295
高校卒,40～44歳,246,9.1,317513,4930557,109,8.8,262114,3896652
高校卒,45～49歳,247,13.7,325030,4983211,104,13.5,292322,4326950
高校卒,50～54歳,347,14.1,350958,5161673,117,13.7,274607,4175786
高校卒,55～59歳,297,15.8,333470,5036037,76,15.5,271490,4049162
高校卒,60歳以上,153,16.5,323709,4571583,36,18.9,258271,3904248
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,3,x,x,x,6,0,182000,-
高専・短大卒,22～24歳,5,1,285920,3921900,8,1.5,239323,3233000
高専・短大卒,25～29歳,16,3.5,278122,3946464,22,4.3,225741,3731725
高専・短大卒,30～34歳,27,5.6,280802,4316825,26,6.3,254562,3341896
高専・短大卒,35～39歳,26,10.5,345742,5490468,26,8.9,275031,3559739
高専・短大卒,40～44歳,16,12.5,354882,5541402,57,8.8,266899,3854119
高専・短大卒,45～49歳,21,11,333026,5238429,85,11.4,287037,4409056
高専・短大卒,50～54歳,8,14.8,330063,4754617,62,13,307384,4769880
高専・短大卒,55～59歳,18,6.7,344791,5768277,42,15,313734,4468743
高専・短大卒,60歳以上,6,7.5,327555,4180800,16,17.3,288035,4183345
専門学校卒,20～21歳,17,0.4,210751,2501000,18,0.7,212587,2540000
専門学校卒,22～24歳,64,2,225732,3713195,49,2.1,252443,3065908
専門学校卒,25～29歳,111,4,263405,4255829,82,3.3,257645,3601052
専門学校卒,30～34歳,97,7.5,277674,4597213,57,5.1,261292,3622566
専門学校卒,35～39歳,125,9.1,313569,4945356,71,7.2,266440,3852821
専門学校卒,40～44歳,134,10.6,328203,5017878,52,6.9,288363,3862261
専門学校卒,45～49歳,147,12.3,347015,5146435,59,11.4,273361,3874943
専門学校卒,50～54歳,120,15.8,337504,5194260,70,9.9,304974,4366461
専門学校卒,55～59歳,64,19.3,341380,5107487,30,14.5,316284,4749166
専門学校卒,60歳以上,28,12.6,273493,3754282,13,12.1,294938,4287650
大学卒,20～21歳,2,x,x,x,1,x,x,x
大学卒,22～24歳,237,1,250790,3149581,197,1,231504,2914512
大学卒,25～29歳,629,3.1,285687,4539085,494,3,265749,3779502
大学卒,30～34歳,554,5.2,327585,5069623,352,5.1,312684,4711051
大学卒,35～39歳,414,7.9,340665,5576561,222,7.8,316917,4821396
大学卒,40～44歳,344,9.4,375009,5798524,224,8.7,329821,5036171
大学卒,45～49歳,261,11.4,381363,5816647,179,10.1,369213,5753223
大学卒,50～54歳,197,14.6,424878,6840699,149,12.3,374597,5820775
大学卒,55～59歳,183,13.5,415289,6506153,84,12.7,396920,5928413
大学卒,60歳以上,99,14.4,354978,5172960,26,12.8,302944,4598440
