表側１,表側２,表側３,回答企業数(件),低価格志向(%),品質重視(%),値ごろ感の重視(%),買い控え(%),個性化・多様化(%),商品への安全・安心意識の高まり(%),健康志向(%),大型店志向(%),インターネットによる情報収集・購入(%),配送・配達サービス(%),購買行動の広域化(%),高齢化(%),少子化(%),単身世帯の増加(%),感染症等への衛生意識の高まり(%),その他(%),無回答(%)
,,"今回調査
（全体）",2141,33.3,32.1,30.9,21.9,22.1,18.6,18.4,14.4,29.1,12.3,7.3,40.4,13.1,7.1,5.9,2.4,5.4
業種別,,総合商品小売業,189,34.9,44.4,52.9,16.9,32.3,48.7,51.3,4.8,32.3,15.9,3.7,48.7,22.2,17.5,13.2,1.6,2.1
業種別,,生鮮食品小売業,134,37.3,48.5,40.3,19.4,16.4,29.1,21.6,23.9,11.2,12.7,8.2,50.0,19.4,11.9,6.0,2.2,4.5
業種別,,食料品関連小売業,535,34.2,37.4,33.5,17.8,23.4,25.4,25.0,17.6,22.8,14.2,8.8,39.3,13.6,10.8,5.6,2.6,5.8
業種別,,衣料品関連小売業,298,33.6,28.2,35.6,38.6,22.5,6.0,4.7,11.4,29.9,5.0,6.7,40.9,9.1,1.7,4.0,2.0,5.7
業種別,,住関連小売業,167,40.1,22.2,22.8,26.9,16.2,13.8,7.8,22.2,39.5,6.6,6.6,38.9,7.2,5.4,2.4,0.6,7.8
業種別,,その他小売業,773,30.5,26.6,22.5,18.6,20.2,11.5,12.5,12.5,34.3,14.6,7.6,37.3,12.7,3.9,6.0,2.8,4.9
従業者規模別,,１～２人,1066,37.8,25.7,26.2,25.5,16.8,12.4,12.9,17.0,25.8,10.4,7.3,39.8,11.2,6.1,3.8,2.6,6.5
従業者規模別,,３～５人,486,28.6,34.0,30.0,20.4,25.3,20.0,18.3,18.1,33.5,13.2,9.3,38.7,13.0,7.4,5.6,2.1,6.6
従業者規模別,,６～19人,336,29.8,43.8,39.6,15.8,30.7,27.1,26.2,6.0,33.3,14.0,5.4,39.9,14.6,7.1,10.1,1.8,2.1
従業者規模別,,20人以上,170,23.5,47.1,44.7,13.5,31.2,40.6,38.2,5.3,31.2,18.8,5.9,46.5,23.5,12.9,11.2,2.9,0.6
年間売上高増減別（3年前）,,増加（５％以上）,227,20.7,48.9,35.2,14.1,30.8,33.9,24.7,5.7,35.2,17.2,8.4,34.4,12.8,6.6,7.9,2.2,2.2
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,28.9,40.1,34.6,16.5,27.3,25.7,23.0,11.4,30.6,14.1,8.1,34.6,11.4,7.9,5.7,2.0,3.9
年間売上高増減別（3年前）,,やや減少（10％未満）,450,36.9,32.0,32.7,22.9,21.8,17.8,18.0,16.7,30.2,12.4,8.2,43.8,15.3,10.0,6.0,3.1,3.6
年間売上高増減別（3年前）,,減少（20％未満）,434,36.6,27.0,29.5,23.7,18.2,14.3,15.4,17.1,27.4,10.6,5.1,41.7,13.8,6.7,4.1,1.2,7.8
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,37.8,20.4,24.3,29.7,15.3,8.5,13.0,17.5,25.6,8.8,7.6,45.6,11.7,4.0,5.4,3.1,7.9
売上高経常利益率別,,黒字（プラス）,1093,32.1,38.6,33.9,18.4,24.6,23.0,22.3,12.8,30.6,13.8,7.2,38.8,14.4,7.1,6.1,2.2,3.6
売上高経常利益率別,,赤字（マイナス）,838,35.7,25.1,27.6,26.8,20.6,14.3,14.7,15.5,28.4,11.3,7.8,43.7,12.4,7.2,5.5,2.4,6.4
経常損益の変化別（3年前）,,増益,316,25.0,39.9,38.3,17.7,29.1,24.4,16.5,10.8,36.1,18.4,8.2,34.2,13.3,6.6,7.3,1.6,5.4
経常損益の変化別（3年前）,,横ばい,702,33.3,32.3,29.9,18.1,22.1,20.8,20.7,13.5,28.6,10.8,6.4,40.5,13.1,8.1,4.6,3.4,5.3
経常損益の変化別（3年前）,,減益,999,36.7,30.7,29.7,26.3,20.3,16.2,17.9,15.9,28.0,11.8,7.7,42.9,13.5,6.6,6.2,1.7,4.8
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
