学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,22,0.7,189590,-,7,0,190429,-
学歴計,20～21歳,42,1.4,206675,3655260,14,0.6,210612,3526900
学歴計,22～24歳,217,1.5,250798,3669487,174,1.2,238734,3045173
学歴計,25～29歳,422,4.1,272622,4709844,263,3.4,269516,3990933
学歴計,30～34歳,316,6.9,335912,5327537,225,6.1,294468,4666057
学歴計,35～39歳,402,10.8,378321,6486407,135,8.6,316656,4941635
学歴計,40～44歳,449,12.6,414067,6702053,199,9.3,357649,5421161
学歴計,45～49歳,539,15.2,447116,7129350,174,15,355436,5698596
学歴計,50～54歳,565,19.1,490501,7822160,126,14,380762,5756603
学歴計,55～59歳,492,18.7,520180,8097693,86,19.5,348472,5581597
学歴計,60歳以上,271,18.3,467462,6614191,26,19,355998,5849023
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,5,6.2,273794,3473388,-,-,-,-
中学卒,30～34歳,4,x,x,x,-,-,-,-
中学卒,35～39歳,4,x,x,x,3,x,x,x
中学卒,40～44歳,2,x,x,x,-,-,-,-
中学卒,45～49歳,11,7,247257,4360099,-,-,-,-
中学卒,50～54歳,15,10.7,302450,4435853,2,x,x,x
中学卒,55～59歳,10,9.1,203738,4298380,2,x,x,x
中学卒,60歳以上,11,21,300124,4246828,-,-,-,-
高校卒,18～19歳,22,0.7,189590,-,7,0,190429,-
高校卒,20～21歳,33,1.8,199131,3655260,5,1.2,213576,3526900
高校卒,22～24歳,38,3.4,220179,4372344,18,1.6,217102,3946000
高校卒,25～29歳,76,5.8,244439,4441029,16,4.7,274070,4032992
高校卒,30～34歳,60,9.2,290948,4927212,22,4,244414,3843023
高校卒,35～39歳,75,13.1,302459,5506538,22,3.6,245581,3691641
高校卒,40～44歳,74,10.9,324480,5646057,48,7.1,290145,4413654
高校卒,45～49歳,118,15,347233,5609128,31,16,301907,4868590
高校卒,50～54歳,168,18.5,387810,5959845,21,12.9,297411,4249510
高校卒,55～59歳,155,18.2,361466,5876808,25,21.4,290846,4775218
高校卒,60歳以上,108,18.7,379758,5584003,9,6.3,299378,5187833
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,3,x,x,x,6,0,182000,-
高専・短大卒,22～24歳,-,-,-,-,6,2,251930,3233000
高専・短大卒,25～29歳,1,x,x,x,13,3.8,261946,4203612
高専・短大卒,30～34歳,16,5.1,291175,3974486,11,7.5,283456,3441717
高専・短大卒,35～39歳,6,7.7,379230,6291700,8,9.3,311159,3980063
高専・短大卒,40～44歳,5,17.2,700000,6498195,31,11.8,323383,4517851
高専・短大卒,45～49歳,21,15.5,507189,7222248,53,16.1,308614,5103751
高専・短大卒,50～54歳,7,21.7,466171,8362200,30,16.1,353546,5232249
高専・短大卒,55～59歳,11,6.3,389569,7035206,23,18.3,347215,4994582
高専・短大卒,60歳以上,10,7.2,505570,6735150,5,23.4,279050,4673816
専門学校卒,20～21歳,6,0,227500,-,3,x,x,x
専門学校卒,22～24歳,18,2.2,240526,4217024,30,2.1,269115,3248629
専門学校卒,25～29歳,33,4.5,269371,4442308,11,5.5,294127,4171755
専門学校卒,30～34歳,16,8.6,296828,5356375,13,6,292892,3710467
専門学校卒,35～39歳,52,9.9,360229,5881509,14,8.1,328958,4717374
専門学校卒,40～44歳,72,13.1,370201,5497524,14,4.4,313859,4379882
専門学校卒,45～49歳,74,15.3,420628,6401505,31,13.2,338118,4474319
専門学校卒,50～54歳,88,23.1,446873,7454934,15,8.9,346104,4815315
専門学校卒,55～59歳,46,19.3,394754,6446877,11,14.4,294555,4454922
専門学校卒,60歳以上,8,9.6,362280,5381638,3,x,x,x
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,161,0.9,259332,3216317,120,0.9,233724,2793906
大学卒,25～29歳,306,3.6,280265,4836731,223,3.1,268354,3963754
大学卒,30～34歳,219,6.2,356022,5601794,176,6.3,301488,4915830
大学卒,35～39歳,262,10.4,402845,6945595,88,10.1,333918,5353317
大学卒,40～44歳,293,12.9,445167,7368696,104,10.5,406205,6147244
大学卒,45～49歳,312,15.4,498464,8061388,59,14.3,439086,7273507
大学卒,50～54歳,280,18.3,564666,9410105,58,14.9,437443,6822826
大学卒,55～59歳,267,19.4,641457,9952401,25,20.5,451634,7848848
大学卒,60歳以上,134,19.1,539073,8101117,9,28.3,503367,7482683
