区分,再雇用制度採用企業数（社）,集計企業数（社）,集計企業数／平均年齢（歳）,集計企業数／61歳～64歳（社）,集計企業数／65歳（社）,集計企業数／66歳～67歳（社）,集計企業数／68歳～69歳（社）,集計企業数／70歳（社）,集計企業数／71歳～72歳（社）,集計企業数／73歳～74歳（社）,集計企業数／75歳以上（社）
調査産業計,738,695,67.2,8,480,5,5,100,2,0,95
労組有,63,58,67.2,0,44,0,0,6,0,0,8
労組無,675,637,67.2,8,436,5,5,94,2,0,87
建設業,74,73,67.7,1,45,0,1,13,0,0,13
製造業,241,233,67.1,4,164,2,2,29,0,0,32
情報通信業,34,32,66.7,2,22,0,0,5,0,0,3
運輸業，郵便業,39,34,70.2,0,15,0,0,6,0,0,13
卸売業，小売業,119,109,67.1,1,73,2,1,19,1,0,12
金融業，保険業,37,36,65.6,0,33,0,0,2,0,0,1
不動産業，物品賃貸業,26,23,66.3,0,18,0,1,3,0,0,1
学術研究，専門・技術サービス業,38,35,66.6,0,25,1,0,6,1,0,2
宿泊業，飲食サービス業,19,18,67.8,0,12,0,0,2,0,0,4
生活関連サービス業，娯楽業,21,19,66.8,0,14,0,0,3,0,0,2
教育，学習支援業(学校教育を除く）,16,14,66.1,0,12,0,0,1,0,0,1
医療，福祉,23,19,68.2,0,11,0,0,4,0,0,4
サービス業（他に分類されないもの）,51,50,67.3,0,36,0,0,7,0,0,7
10～49人,434,405,67.5,4,262,3,3,67,2,0,64
50～99人,178,170,66.4,3,134,1,1,18,0,0,13
100～299人,126,120,67.3,1,84,1,1,15,0,0,18
