区分,退職一時金制度導入企業数（社）,退職金算定基礎額×支給率（社）,退職金算定基礎額×支給率＋一定額（社）,勤務年数に応じた一定額（社）,ポイント制（退職金ポイント×ポイント単価）（社）,その他（社）,無回答（社）
調査産業計,689,300,18,172,107,80,12
労組有,59,24,3,10,20,2,0
労組無,630,276,15,162,87,78,12
建設業,74,32,2,20,12,8,0
製造業,231,114,7,52,34,21,3
情報通信業,28,11,1,8,6,2,0
運輸業，郵便業,32,11,1,12,7,1,0
卸売業，小売業,123,57,1,32,15,13,5
金融業，保険業,28,12,0,3,10,3,0
不動産業，物品賃貸業,18,8,0,3,3,2,2
学術研究，専門・技術サービス業,37,16,2,9,3,7,0
宿泊業，飲食サービス業,16,5,1,5,3,2,0
生活関連サービス業，娯楽業,20,7,1,7,4,1,0
教育，学習支援業(学校教育を除く）,17,5,0,5,2,4,1
医療，福祉,18,4,1,7,1,4,1
サービス業（他に分類されないもの）,47,18,1,9,7,12,0
10～49人,402,177,11,122,34,52,6
50～99人,175,75,5,34,39,17,5
100～299人,112,48,2,16,34,11,1
