表側１,表側２,表側３,回答企業数(件),消費者の購買意欲の減退(％),需要の変化(％),インバウンド（訪日外客数）の減少(％),近隣店舗・事業所の休業(％),売上高の減少(％),仕入が困難(％),物流の停滞(％),輸出が困難(％),イベント・展示会の中止(％),出張・営業訪問が困難(％),感染症対策に伴うコスト増(％),その他(％),無回答(％)
,,今回調査（全体）,1448,63.1,34.2,20.7,27.1,78.6,13.7,14.6,1.7,33.1,9.9,16.5,4.4,0.8
業種別,,総合商品小売業,98,56.1,42.9,46.9,50,83.7,7.1,10.2,0,32.7,0,26.5,5.1,0
業種別,,生鮮食品小売業,56,41.1,17.9,10.7,25,73.2,0,7.1,0,21.4,1.8,8.9,7.1,1.8
業種別,,食料品関連小売業,346,50,28.6,17.1,31.5,74.6,6.6,5.8,0.3,33.5,4.3,17.1,4.6,1.2
業種別,,衣料品関連小売業,253,86.2,44.7,24.1,24.1,81.4,16.6,13,1.6,39.5,11.5,7.5,2.4,0
業種別,,住関連小売業,115,73.9,31.3,18.3,16.5,82.6,21.7,30.4,1.7,26.1,32.2,9.6,0.9,0
業種別,,その他小売業,578,62.3,33.7,18.3,23.9,78.5,17.6,19,2.8,32.7,10.6,20.2,5.2,1
従業者規模別,,1～2人,736,66.8,32.6,14.4,22.7,75.7,14.9,12.9,1,28.4,8.7,10.1,3.9,1
従業者規模別,,3～5人,377,62.9,37.4,23.6,28.9,81.7,12.5,19.9,4.2,44,13.5,17.5,5,0.3
従業者規模別,,6～19人,205,54.6,37.6,30.2,29.3,83.9,14.1,16.1,0.5,32.7,6.3,32.2,7.3,1
従業者規模別,,20人以上,91,58.2,35.2,38.5,51.6,84.6,8.8,7.7,0,36.3,15.4,31.9,0,0
経常損益の変化別(前年同期比),,増益,37,70.3,51.4,13.5,24.3,78.4,16.2,8.1,0,35.1,16.2,21.6,8.1,0
経常損益の変化別(前年同期比),,横ばい,160,58.1,41.3,20,25.6,62.5,12.5,18.1,1.3,33.1,10,21.3,5.6,0.6
経常損益の変化別(前年同期比),,減益,1154,64.2,33.4,21.7,28.3,80.6,14,14.6,1.8,33.4,10,16,3.8,0.9
経常損益の変化別(3年前),,増益,143,63.6,28,25.9,28,73.4,18.2,15.4,2.1,42.7,13.3,21,3.5,1.4
経常損益の変化別(3年前),,横ばい,421,60.1,36.1,19.5,29,76.2,13.8,16.9,1,34.4,9.7,16.6,5.9,1
経常損益の変化別(3年前),,減益,725,65,36.1,20.7,27,81.8,13.4,13.8,1.8,30.9,9.5,15.6,3.6,0.7
