学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,-,-,-,-,-,-,-,-
学歴計,22～24歳,9,3.1,367756,8061025,8,2.8,221386,3412300
学歴計,25～29歳,86,5.3,362514,6430235,43,5.1,346591,5122051
学歴計,30～34歳,286,7.3,408673,6376105,67,7.6,381950,5854687
学歴計,35～39歳,707,10.6,444317,7015172,159,9.7,418100,5713707
学歴計,40～44歳,1035,14.4,445039,7024756,263,12.1,429998,6315401
学歴計,45～49歳,1493,17.2,490617,7672358,322,15.7,436808,6636236
学歴計,50～54歳,1438,19.6,506762,7839595,259,18.3,434337,6735438
学歴計,55～59歳,1212,21.1,525353,8072139,190,21.8,513416,7560145
学歴計,60歳以上,330,20,505835,7675416,54,15.3,366002,4805347
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,4,x,x,x,-,-,-,-
中学卒,40～44歳,9,15.2,498399,7198763,4,x,x,x
中学卒,45～49歳,8,19.9,368568,7354050,-,-,-,-
中学卒,50～54歳,13,25.5,426339,6653892,-,-,-,-
中学卒,55～59歳,12,25.2,457141,6090842,-,-,-,-
中学卒,60歳以上,8,18.1,394463,5471800,2,x,x,x
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,4,x,x,x,2,x,x,x
高校卒,25～29歳,17,8.7,323066,6269850,6,6.5,315167,4931050
高校卒,30～34歳,41,10.9,292600,5408430,4,x,x,x
高校卒,35～39歳,124,13.8,364721,6218152,19,10.7,281755,4284826
高校卒,40～44歳,201,16.7,385982,6133737,38,15.5,325929,5155454
高校卒,45～49歳,298,18.4,432038,6942479,33,18.8,309872,4792006
高校卒,50～54歳,337,21.9,437559,6963647,59,19.9,374138,5699637
高校卒,55～59歳,295,25,464462,7256835,49,25.4,385175,6015055
高校卒,60歳以上,75,24,402305,6215499,14,16.6,358769,5071921
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,-,-,-,-
高専・短大卒,25～29歳,-,-,-,-,-,-,-,-
高専・短大卒,30～34歳,4,x,x,x,2,x,x,x
高専・短大卒,35～39歳,23,11.6,387529,5905109,7,13,344853,4956614
高専・短大卒,40～44歳,47,16.2,414718,7273596,14,13.6,344005,5586986
高専・短大卒,45～49歳,37,18,454909,7585346,60,17.2,360304,5558985
高専・短大卒,50～54歳,46,17,472922,7420636,42,20.1,418065,6382483
高専・短大卒,55～59歳,38,20.4,527886,7862966,30,20.4,438637,6604743
高専・短大卒,60歳以上,12,24,529590,9414522,9,12.7,411933,5151056
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,-,-,-,-,-,-,-,-
専門学校卒,25～29歳,7,6.9,300479,6053586,7,5.6,294000,4699671
専門学校卒,30～34歳,35,8.2,309338,5144784,6,7.5,287633,4090600
専門学校卒,35～39歳,65,11.2,368828,5896603,25,11.4,352647,4811313
専門学校卒,40～44歳,126,15.9,381519,6623932,24,14.5,312197,5482163
専門学校卒,45～49歳,259,18.9,457214,6896571,42,15.1,437734,6366419
専門学校卒,50～54歳,254,21.1,467998,7162136,25,16,364568,5647068
専門学校卒,55～59歳,146,23.6,456407,6947827,16,19.9,358534,5962438
専門学校卒,60歳以上,30,23.2,421029,7152103,10,15.5,394570,4647420
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,5,1.6,470360,12357650,6,2,219598,3735900
大学卒,25～29歳,62,4.3,380334,6521511,30,4.7,365147,5268575
大学卒,30～34歳,198,6.4,451052,6859617,52,7.3,406541,6401287
大学卒,35～39歳,482,9.6,478475,7452083,108,8.9,461121,6235309
大学卒,40～44歳,633,13.3,477765,7342935,181,10.9,472234,6787165
大学卒,45～49歳,865,16.2,523222,8177179,183,14.8,486272,7413477
大学卒,50～54歳,754,18.2,554738,8523022,128,17.5,479392,7552293
大学卒,55～59歳,701,18.9,569073,8710727,94,20.8,631114,9023720
大学卒,60歳以上,203,18,556187,8324352,18,13.9,329427,4489282
