学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,2,x,x,x,-,-,-,-
学歴計,20～21歳,14,0.4,193087,1910900,7,0.1,180392,-
学歴計,22～24歳,137,1.5,218286,3325222,132,1.1,225173,3184042
学歴計,25～29歳,253,3.5,253388,4049953,200,3.5,253818,4051314
学歴計,30～34歳,179,6.6,307260,4828252,152,4.8,273450,4593056
学歴計,35～39歳,214,10.3,348761,5510991,96,7.3,342180,5165135
学歴計,40～44歳,216,12.5,413166,6552743,103,8.5,370119,5778141
学歴計,45～49歳,211,14.3,469902,6929403,128,12.6,396533,6080476
学歴計,50～54歳,152,21,476146,7219567,80,15.3,411501,6667415
学歴計,55～59歳,130,21.9,509312,7662506,40,27.1,476119,7694655
学歴計,60歳以上,31,20.3,471721,6613950,5,21.8,276160,4704200
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,-,-,-,-,-,-,-,-
中学卒,45～49歳,-,-,-,-,-,-,-,-
中学卒,50～54歳,-,-,-,-,-,-,-,-
中学卒,55～59歳,-,-,-,-,-,-,-,-
中学卒,60歳以上,-,-,-,-,-,-,-,-
高校卒,18～19歳,2,x,x,x,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,-,-,-,-,2,x,x,x
高校卒,25～29歳,8,0.8,232365,3585000,3,x,x,x
高校卒,30～34歳,1,x,x,x,8,4.8,241719,5115800
高校卒,35～39歳,-,-,-,-,2,x,x,x
高校卒,40～44歳,12,10.2,392750,5795942,5,5.4,264384,3799220
高校卒,45～49歳,8,10,380032,6195438,2,x,x,x
高校卒,50～54歳,15,15.7,369905,6562260,1,x,x,x
高校卒,55～59歳,7,23.6,465534,7924380,5,22.2,307376,5681260
高校卒,60歳以上,-,-,-,-,2,x,x,x
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,1,x,x,x,-,-,-,-
高専・短大卒,22～24歳,12,1.8,194550,3387900,-,-,-,-
高専・短大卒,25～29歳,2,x,x,x,2,x,x,x
高専・短大卒,30～34歳,8,9,253259,4813900,-,-,-,-
高専・短大卒,35～39歳,10,16.6,316433,5378200,4,x,x,x
高専・短大卒,40～44歳,9,13.9,377719,6037143,2,x,x,x
高専・短大卒,45～49歳,6,23,456000,7287867,12,13.6,323738,4835525
高専・短大卒,50～54歳,7,32.1,454143,6421143,14,17,348064,5944083
高専・短大卒,55～59歳,-,-,-,-,5,28.6,520950,8954960
高専・短大卒,60歳以上,-,-,-,-,-,-,-,-
専門学校卒,20～21歳,13,0.5,194094,1910900,6,0,178791,-
専門学校卒,22～24歳,41,2,217214,3148448,15,2.3,218903,3351892
専門学校卒,25～29歳,43,4.3,228006,3963436,20,4.2,250926,4289821
専門学校卒,30～34歳,14,8.6,251651,4736857,29,6,261714,4836748
専門学校卒,35～39歳,20,11.2,352412,5865480,11,7.1,303529,4221200
専門学校卒,40～44歳,31,12.4,355211,6580097,3,x,x,x
専門学校卒,45～49歳,28,15.2,407183,5987037,8,12.3,324069,4753000
専門学校卒,50～54歳,24,27.9,438388,6426533,4,x,x,x
専門学校卒,55～59歳,15,26.6,533295,7800307,7,33.4,433454,7638586
専門学校卒,60歳以上,1,x,x,x,-,-,-,-
大学卒,20～21歳,-,-,-,-,1,x,x,x
大学卒,22～24歳,84,1.2,222199,3448582,115,0.8,226300,3106380
大学卒,25～29歳,200,3.4,260182,4075015,175,3.4,254738,4038680
大学卒,30～34歳,156,6.3,315154,4840491,115,4.5,278413,4473386
大学卒,35～39歳,184,9.9,350121,5476744,79,7.4,353776,5294351
大学卒,40～44歳,164,12.7,427560,6628176,93,8.5,382144,5946654
大学卒,45～49歳,169,14.1,485041,7104043,106,12.3,411719,6363128
大学卒,50～54歳,106,19.5,501182,7551119,61,15.4,438756,7032726
大学卒,55～59歳,108,21.1,508819,7630951,23,26,516041,7875435
大学卒,60歳以上,30,19.8,467445,6566155,3,x,x,x
