学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,1,x,x,x
学歴計,18～19歳,5,1,211000,2495000,7,0.9,203800,-
学歴計,20～21歳,16,0.9,216420,2345950,24,0.7,206613,2962733
学歴計,22～24歳,146,1,264538,3231956,122,1.2,247044,3127570
学歴計,25～29歳,307,3,295582,4693975,174,3.1,283031,3955403
学歴計,30～34歳,285,5.5,352273,5328460,106,5.2,312435,4155762
学歴計,35～39歳,284,8,358180,6104213,82,7.9,348190,5106045
学歴計,40～44歳,343,11.7,419696,6729372,91,9.6,381681,6809983
学歴計,45～49歳,387,15.3,465672,6898811,76,11.6,378132,5679095
学歴計,50～54歳,383,17.6,501297,7636078,46,14.7,377886,5693415
学歴計,55～59歳,288,17.3,562936,8531694,23,13.8,350246,6357394
学歴計,60歳以上,171,17.8,432102,5771838,22,17,264713,3723272
中学卒,～17歳,-,-,-,-,1,x,x,x
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,2,x,x,x,1,x,x,x
中学卒,35～39歳,2,x,x,x,-,-,-,-
中学卒,40～44歳,-,-,-,-,-,-,-,-
中学卒,45～49歳,2,x,x,x,-,-,-,-
中学卒,50～54歳,10,11.8,394300,4166500,-,-,-,-
中学卒,55～59歳,3,x,x,x,-,-,-,-
中学卒,60歳以上,9,15.7,-,4240000,-,-,-,-
高校卒,18～19歳,5,1,211000,2495000,7,0.9,203800,-
高校卒,20～21歳,8,1.5,212500,2190900,11,1,218908,2962733
高校卒,22～24歳,2,x,x,x,12,1.7,252117,3103240
高校卒,25～29歳,19,2.4,249174,3590775,11,4.4,325701,3465913
高校卒,30～34歳,16,6.4,272948,3996023,6,5,265413,3875567
高校卒,35～39歳,50,7.9,315835,5034471,5,6,290023,3793233
高校卒,40～44歳,63,12,367641,5750698,20,7,285124,4017767
高校卒,45～49歳,65,17.3,440343,6229072,9,16.3,275541,3422000
高校卒,50～54歳,105,17.6,441542,5846688,3,x,x,x
高校卒,55～59歳,76,24.2,458333,6819389,3,x,x,x
高校卒,60歳以上,61,18.5,441048,5197080,16,16.9,199097,2606070
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,3,x,x,x,3,x,x,x
高専・短大卒,22～24歳,2,x,x,x,5,1.8,232916,3466000
高専・短大卒,25～29歳,2,x,x,x,5,4,241000,3499267
高専・短大卒,30～34歳,2,x,x,x,7,6.6,245060,3464617
高専・短大卒,35～39歳,3,x,x,x,1,x,x,x
高専・短大卒,40～44歳,6,13.7,379001,6292850,7,14.3,258286,3529057
高専・短大卒,45～49歳,7,12,419060,4761345,10,9.6,310423,4213944
高専・短大卒,50～54歳,4,x,x,x,9,13.8,310800,4273200
高専・短大卒,55～59歳,4,x,x,x,8,13.3,314863,4769497
高専・短大卒,60歳以上,4,x,x,x,-,-,-,-
専門学校卒,20～21歳,5,0.4,200608,2501000,10,0.6,202662,-
専門学校卒,22～24歳,11,1.8,211174,2843225,22,2.3,264019,3148112
専門学校卒,25～29歳,13,3.2,267900,4118089,16,2.3,249671,3248870
専門学校卒,30～34歳,13,8.8,309277,4697939,11,6,256436,3394110
専門学校卒,35～39歳,24,8.8,307025,4969329,10,9.4,267018,3738113
専門学校卒,40～44歳,39,10.9,371313,5613178,11,9.4,270166,3499132
専門学校卒,45～49歳,47,14.5,469438,6924526,8,13.8,286938,4675939
専門学校卒,50～54歳,37,22.9,457983,7356577,10,18.6,302749,3959400
専門学校卒,55～59歳,9,22.7,529311,7119394,2,x,x,x
専門学校卒,60歳以上,9,16.9,329808,3965311,3,x,x,x
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,130,1,267872,3277614,83,0.9,242671,3086141
大学卒,25～29歳,271,3.1,300492,4808938,142,3,284927,4068703
大学卒,30～34歳,249,5.2,359848,5488104,81,5.1,329728,4341115
大学卒,35～39歳,202,8,372716,6558466,64,7.8,363990,5494191
大学卒,40～44歳,232,11.7,441228,7217485,53,10,453160,8676266
大学卒,45～49歳,255,15.1,476732,7230273,48,10.7,420362,6604376
大学卒,50～54歳,223,17.1,530314,8789000,23,13.7,434246,7020114
大学卒,55～59歳,195,14.5,598927,9381985,10,16.1,409775,9218800
大学卒,60歳以上,85,18.5,446999,6847597,3,x,x,x
