表側１,表側２,表側３,回答企業数(件),現金(%),クレジットカード(%),デビットカード(%),電子マネー（交通系含む）(%),ＱＲコード・バーコード決済(%),代金引換(%),コンビニ支払(%),銀行口座振替(%),銀行口座振込(%),その他(%),無回答(%)
,,今回調査（全体）,2141,97.9,45.7,13.8,30.4,32.1,11.6,8.0,7.3,28.5,1.7,1.3
業種別,,総合商品小売業,189,98.4,91.0,56.1,91.5,85.7,8.5,59.3,1.1,3.2,0.5,0.5
業種別,,生鮮食品小売業,134,97.8,17.2,6.0,16.4,20.1,3.7,0.0,4.5,17.9,2.2,1.5
業種別,,食料品関連小売業,535,98.5,21.9,5.0,20.4,26.7,10.1,2.4,4.7,23.2,1.7,1.3
業種別,,衣料品関連小売業,298,98.3,64.4,14.8,27.5,29.2,16.1,2.3,5.4,23.2,1.3,1.0
業種別,,住関連小売業,167,97.6,43.7,8.4,17.4,21.0,13.8,2.4,10.2,58.7,1.2,0.6
業種別,,その他小売業,773,97.3,49.5,12.0,29.2,29.1,12.3,4.5,11.4,36.5,2.3,1.6
従業者規模別,,１～２人,1066,97.7,30.5,4.9,15.8,20.7,7.3,2.1,5.4,26.6,2.2,1.2
従業者規模別,,３～５人,486,96.9,44.0,12.6,30.7,31.1,15.6,3.3,8.8,35.2,1.4,2.3
従業者規模別,,６～19人,336,99.1,75.0,27.4,53.3,52.7,16.1,18.5,9.2,29.2,0.9,0.6
従業者規模別,,20人以上,170,98.8,89.4,47.1,81.2,68.8,18.2,40.6,10.6,22.4,1.2,0.6
年間売上高増減別（3年前）,,増加（５％以上）,227,98.7,75.3,27.3,55.1,57.3,19.4,15.9,6.2,38.8,0.9,0.4
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,97.4,53.4,19.4,40.5,41.3,14.3,11.8,8.6,29.9,1.8,1.8
年間売上高増減別（3年前）,,やや減少（10％未満）,450,98.9,43.8,12.0,28.2,30.7,9.6,6.9,6.4,28.0,2.2,0.9
年間売上高増減別（3年前）,,減少（20％未満）,434,97.9,36.2,8.3,22.8,26.7,9.4,3.9,6.9,25.3,2.1,1.2
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,97.1,34.4,8.1,17.3,16.2,9.4,4.3,6.3,26.1,1.3,1.3
売上高経常利益率別,,黒字（プラス）,1093,97.7,52.1,16.9,37.1,37.7,12.3,12.5,8.8,28.8,1.1,1.2
売上高経常利益率別,,赤字（マイナス）,838,97.9,40.3,10.7,24.5,26.3,11.2,2.9,6.1,28.6,2.5,1.3
経常損益の変化別（3年前）,,増益,316,99.1,62.3,22.2,44.0,42.7,19.0,9.2,9.8,38.0,1.3,0.3
経常損益の変化別（3年前）,,横ばい,702,98.1,45.3,12.8,31.1,33.2,9.5,8.4,5.6,25.5,2.6,1.3
経常損益の変化別（3年前）,,減益,999,97.3,41.9,12.1,26.8,28.7,11.0,7.3,7.9,28.5,1.3,1.5
代表者の年齢別,,40歳未満,43,100.0,79.1,32.6,67.4,55.8,20.9,20.9,18.6,39.5,2.3,0.0
代表者の年齢別,,40歳代,185,98.4,70.8,25.9,53.5,52.4,20.5,14.6,10.3,35.1,2.2,0.5
代表者の年齢別,,50歳代,458,98.7,57.4,18.3,42.4,47.4,14.8,11.6,7.9,33.4,1.5,0.9
代表者の年齢別,,60歳代,514,97.7,51.0,16.3,34.2,38.5,12.3,10.9,7.2,32.3,2.1,0.8
代表者の年齢別,,70歳以上,916,97.6,30.9,6.6,16.3,16.0,7.0,2.9,6.1,22.1,1.5,1.9
