表側１,表側２,表側３,回答企業数(件),発注の当日(%),発注の翌日(%),発注の翌々日(%),発注後３～６日(%),発注後１週間以上(%),無回答(%),
,,今回調査（全体）,2141,13.0,39.6,16.6,16.4,9.7,4.7,
,,前回調査,2003,13.1,40.2,17.7,15.9,7.8,5.3,
業種別,,総合商品小売業,189,10.1,74.1,10.6,2.1,1.1,2.1,
業種別,,生鮮食品小売業,134,37.3,44.8,4.5,3.7,1.5,8.2,
業種別,,食料品関連小売業,535,10.1,39.8,19.4,22.1,3.9,4.7,
業種別,,衣料品関連小売業,298,14.1,21.5,19.8,16.1,23.8,4.7,
業種別,,住関連小売業,167,4.2,41.3,18.6,25.7,9.0,1.2,
業種別,,その他小売業,773,13.5,36.5,16.2,16.6,11.9,5.4,
従業者規模別,,１～２人,1066,13.9,32.8,18.4,20.2,9.9,4.8,
従業者規模別,,３～５人,486,13.8,40.3,17.9,14.2,8.8,4.9,
従業者規模別,,６～19人,336,11.9,50.6,12.2,12.5,9.2,3.6,
従業者規模別,,20人以上,170,7.1,62.4,10.6,8.2,10.0,1.8,
,,,,,,,,,,
