,,売上増加が見込めない,費用の削減が見込めない,取組み方がわからない,助成金・補助金が獲得できない,資金が不足,人手が不足,対応できる能力をもった人材の不足,他に優先することがある,その他,必要性を感じていない,無回答,n
, 今回調査（全体）,14.3 ,1.7 ,6.2 ,1.2 ,7.4 ,12.1 ,10.5 ,11.4 ,5.9 ,47.5 ,8.3 ,421
業種別,情報・コンテンツ業,13.1 ,2.4 ,3.6 ,1.2 ,10.7 ,14.3 ,13.1 ,10.7 ,2.4 ,41.7 ,14.3 ,84
業種別,専門サービス業,11.0 ,0.6 ,5.2 ,0.0 ,3.2 ,5.2 ,5.8 ,7.8 ,5.2 ,61.7 ,8.4 ,154
業種別,技術サービス業,16.4 ,3.0 ,9.0 ,3.0 ,13.4 ,13.4 ,10.4 ,16.4 ,7.5 ,44.8 ,3.0 ,67
業種別,事業サービス業,18.0 ,1.8 ,7.2 ,1.8 ,7.2 ,18.0 ,14.4 ,13.5 ,9.0 ,34.2 ,7.2 ,111
特定10業種,ソフトウェア業,12.2 ,2.4 ,4.9 ,2.4 ,12.2 ,22.0 ,9.8 ,12.2 ,0.0 ,39.0 ,14.6 ,41
特定10業種,インターネット附随サービス業,0.0 ,0.0 ,0.0 ,0.0 ,25.0 ,25.0 ,25.0 ,25.0 ,0.0 ,50.0 ,0.0 ,8
特定10業種,映像情報制作・配給業,0.0 ,0.0 ,12.5 ,0.0 ,0.0 ,0.0 ,12.5 ,12.5 ,0.0 ,50.0 ,12.5 ,8
特定10業種,出版業,50.0 ,12.5 ,0.0 ,0.0 ,25.0 ,12.5 ,25.0 ,0.0 ,25.0 ,12.5 ,12.5 ,8
特定10業種,税理士事務所,11.9 ,0.0 ,5.1 ,0.0 ,1.7 ,6.8 ,8.5 ,6.8 ,6.8 ,54.2 ,13.6 ,59
特定10業種,デザイン業,14.3 ,0.0 ,7.1 ,0.0 ,7.1 ,7.1 ,14.3 ,0.0 ,7.1 ,64.3 ,7.1 ,14
特定10業種,経営コンサルタント業,0.0 ,0.0 ,0.0 ,0.0 ,8.3 ,8.3 ,4.2 ,20.8 ,4.2 ,62.5 ,0.0 ,24
特定10業種,建築設計業,8.0 ,0.0 ,4.0 ,0.0 ,12.0 ,8.0 ,8.0 ,12.0 ,4.0 ,60.0 ,4.0 ,25
特定10業種,自動車整備業,26.3 ,5.3 ,0.0 ,0.0 ,5.3 ,10.5 ,10.5 ,15.8 ,10.5 ,36.8 ,5.3 ,19
特定10業種,建物サービス業,7.4 ,0.0 ,7.4 ,3.7 ,11.1 ,25.9 ,22.2 ,11.1 ,3.7 ,40.7 ,11.1 ,27
従業者規模別,１～２人,15.5 ,1.2 ,5.6 ,0.8 ,8.4 ,8.4 ,7.6 ,11.2 ,6.0 ,51.4 ,6.4 ,251
従業者規模別,３～５人,14.7 ,4.2 ,9.5 ,1.1 ,5.3 ,14.7 ,15.8 ,12.6 ,5.3 ,41.1 ,12.6 ,95
従業者規模別,６～９人,13.5 ,0.0 ,5.4 ,0.0 ,5.4 ,18.9 ,10.8 ,8.1 ,8.1 ,51.4 ,2.7 ,37
従業者規模別,10～29人,4.8 ,0.0 ,0.0 ,4.8 ,9.5 ,23.8 ,19.0 ,19.0 ,0.0 ,33.3 ,19.0 ,21
従業者規模別,30人以上,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,30.0 ,10.0 ,10.0 ,0.0 ,40.0 ,10.0 ,10
年間売上高増減別（３年前）,大幅(10％以上)増加,5.0 ,5.0 ,5.0 ,0.0 ,5.0 ,10.0 ,15.0 ,30.0 ,5.0 ,45.0 ,5.0 ,20
年間売上高増減別（３年前）,やや(10％未満)増加,0.0 ,0.0 ,8.3 ,0.0 ,4.2 ,12.5 ,8.3 ,8.3 ,4.2 ,54.2 ,12.5 ,24
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,9.7 ,1.3 ,5.8 ,1.3 ,4.5 ,13.6 ,8.4 ,13.6 ,3.9 ,56.5 ,5.8 ,154
年間売上高増減別（３年前）,やや(10％未満)減少,15.0 ,0.0 ,5.0 ,0.0 ,3.3 ,10.0 ,13.3 ,11.7 ,3.3 ,46.7 ,13.3 ,60
年間売上高増減別（３年前）,大幅(10％以上)減少,23.0 ,2.6 ,7.2 ,2.0 ,11.8 ,11.8 ,11.8 ,7.2 ,9.2 ,38.2 ,7.9 ,152
売上高経常利益率別,黒字,10.8 ,2.2 ,4.9 ,0.4 ,4.9 ,14.8 ,10.8 ,13.5 ,4.9 ,48.0 ,9.4 ,223
売上高経常利益率別,赤字,22.5 ,1.4 ,9.4 ,2.9 ,12.3 ,11.6 ,11.6 ,8.7 ,9.4 ,38.4 ,6.5 ,138
経常損益の変化別（３年前）,増益,7.9 ,1.6 ,4.8 ,1.6 ,6.3 ,12.7 ,11.1 ,14.3 ,4.8 ,46.0 ,14.3 ,63
経常損益の変化別（３年前）,横ばい,14.3 ,1.8 ,5.4 ,0.6 ,5.4 ,11.9 ,10.1 ,11.3 ,3.6 ,52.4 ,7.7 ,168
経常損益の変化別（３年前）,減益,18.1 ,1.8 ,7.6 ,1.8 ,8.8 ,12.3 ,11.1 ,9.9 ,8.2 ,42.7 ,6.4 ,171
