,,ＦＡＸ            ,電話                ,電子メール          ,その他              ,特になし            ,  無回答            ,ｎ
,今回調査（全体）,4.0 ,16.5 ,67.2 ,4.6 ,3.9 ,3.7 ,2348 
業種別,情報・コンテンツ業,2.5 ,6.3 ,79.4 ,6.9 ,1.9 ,3.1 ,640 
業種別,専門サービス業,2.6 ,17.6 ,67.9 ,3.3 ,6.0 ,2.7 ,820 
業種別,技術サービス業,1.2 ,16.8 ,72.6 ,4.7 ,1.5 ,3.2 ,340 
業種別,事業サービス業,10.1 ,27.0 ,47.7 ,3.7 ,5.1 ,6.3 ,507 
特定10業種,ソフトウェア業,0.7 ,3.1 ,83.9 ,8.0 ,2.1 ,2.1 ,286 
特定10業種,インターネット附随サービス業,1.6 ,1.6 ,80.6 ,11.3 ,0.0 ,4.8 ,62 
特定10業種,映像情報制作・配給業,1.5 ,11.8 ,72.1 ,7.4 ,2.9 ,4.4 ,68 
特定10業種,出版業,20.0 ,16.4 ,52.7 ,5.5 ,0.0 ,5.5 ,55 
特定10業種,税理士事務所,4.6 ,34.4 ,39.4 ,1.8 ,15.1 ,4.6 ,218 
特定10業種,デザイン業,1.9 ,8.7 ,84.6 ,2.9 ,0.0 ,1.9 ,104 
特定10業種,経営コンサルタント業,1.7 ,5.6 ,83.8 ,3.4 ,3.9 ,1.7 ,179 
特定10業種,建築設計業,0.6 ,14.4 ,75.6 ,6.7 ,1.7 ,1.1 ,180 
特定10業種,自動車整備業,14.8 ,59.3 ,5.6 ,5.6 ,5.6 ,9.3 ,54 
特定10業種,建物サービス業,13.5 ,26.1 ,46.8 ,2.7 ,4.5 ,6.3 ,111 
従業者規模別,１～２人,3.6 ,17.1 ,69.2 ,3.6 ,3.6 ,2.9 ,971 
従業者規模別,３～５人,4.0 ,17.6 ,63.5 ,4.7 ,4.4 ,5.8 ,573 
従業者規模別,６～９人,4.0 ,16.8 ,63.2 ,5.2 ,7.6 ,3.2 ,250 
従業者規模別,10～29人,3.8 ,14.9 ,71.8 ,2.8 ,2.8 ,3.8 ,316 
従業者規模別,30人以上,5.2 ,13.8 ,66.7 ,11.4 ,1.0 ,1.9 ,210 
年間売上高増減別（３年前）,大幅(10％以上)増加,2.1 ,10.3 ,72.2 ,9.0 ,2.1 ,4.3 ,234
年間売上高増減別（３年前）,やや(10％未満)増加,3.4 ,14.3 ,71.0 ,6.3 ,2.1 ,2.9 ,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,4.4 ,18.6 ,64.2 ,3.8 ,5.7 ,3.3 ,662
年間売上高増減別（３年前）,やや(10％未満)減少,5.2 ,22.1 ,60.1 ,2.9 ,5.8 ,3.9 ,308
年間売上高増減別（３年前）,大幅(10％以上)減少,4.4 ,16.4 ,68.6 ,4.0 ,3.0 ,3.6 ,795
売上高経常利益率別,黒字,3.7 ,15.8 ,68.1 ,4.8 ,4.4 ,3.3 ,1409
売上高経常利益率別,赤字,4.3 ,16.6 ,68.7 ,4.2 ,2.3 ,3.9 ,693
経常損益の変化別（３年前）,増益,3.8 ,12.8 ,69.5 ,6.2 ,4.3 ,3.4 ,469
経常損益の変化別（３年前）,横ばい,3.8 ,19.3 ,63.0 ,4.7 ,5.0 ,4.2 ,765
経常損益の変化別（３年前）,減益,4.6 ,17.0 ,68.4 ,3.7 ,3.2 ,3.1 ,973
