表側１,表側２,表側３,回答企業数(件),子・子の配偶者に継がせたい(％),配偶者に継がせたい(％),子・子の配偶者及び配偶者以外の親族に継がせたい(％),従業員に継がせたい(％),外部の人間に継がせたい(％),誰でもよいから継がせたい(％),親企業が決定する(％),他企業に売却したい(％),まだ決める時期にない(％),決める必要があるがまだ決められない(％),誰にも継がせたくない(％),その他(％),無回答(％)
,,"今回調査
（全体）",677,20.5,1,1.9,10.5,2.8,3.8,7.4,3,21.6,12.4,6.4,1.6,7.1
業種別,,食料品卸売業,189,24.3,1.1,1.1,10.1,3.7,5.3,6.3,3.2,21.7,11.1,5.3,1.6,5.3
業種別,,生鮮食品卸売業,81,30.9,0,1.2,8.6,1.2,6.2,4.9,2.5,19.8,11.1,9.9,2.5,1.2
業種別,,加工食品等卸売業,108,19.4,1.9,0.9,11.1,5.6,4.6,7.4,3.7,23.1,11.1,1.9,0.9,8.3
業種別,,衣料品関連卸売業,97,18.6,0,3.1,8.2,4.1,3.1,4.1,5.2,27.8,8.2,5.2,3.1,9.3
業種別,,住関連卸売業,133,20.3,2.3,1.5,9,2.3,5.3,9,1.5,26.3,10.5,5.3,0,6.8
業種別,,その他卸売業,241,17.8,0.8,2.5,12,2.1,2.5,9.1,2.5,17,15.8,8.3,2.1,7.5
従業者規模別,,１～５人,332,14.5,1.2,1.2,5.4,4.2,3.3,3.6,5.1,22.9,15.7,11.7,1.5,9.6
従業者規模別,,６～９人,111,28.8,1.8,1.8,13.5,0.9,8.1,5.4,0.9,21.6,9.9,1.8,1.8,3.6
従業者規模別,,10～49人,187,26.7,0.5,2.1,17.6,1.6,2.7,13.9,1.1,19.3,8.6,0,1.1,4.8
従業者規模別,,50人以上,28,21.4,0,7.1,14.3,0,3.6,21.4,0,21.4,3.6,0,3.6,3.6
取引形態別,一次卸,小売直取引卸,203,19.7,0,2,12.3,2.5,3.4,4.4,2.5,27.1,10.8,6.9,2,6.4
取引形態別,一次卸,他部門直取引卸,63,17.5,0,1.6,17.5,3.2,3.2,7.9,1.6,20.6,15.9,3.2,3.2,4.8
取引形態別,一次卸,元卸,118,16.9,0.8,0.8,10.2,4.2,5.9,13.6,3.4,20.3,12.7,3.4,1.7,5.9
取引形態別,二次卸,中間卸,78,24.4,5.1,1.3,7.7,2.6,5.1,7.7,3.8,14.1,16.7,9,0,2.6
取引形態別,二次卸,最終卸,114,23.7,1.8,2.6,6.1,3.5,2.6,5.3,4.4,24.6,12.3,7,0.9,5.3
取引形態別,その他,製造問屋,20,10,0,5,5,0,5,0,0,10,10,20,0,35
取引形態別,その他,その他卸,51,23.5,0,2,11.8,2,2,11.8,2,17.6,7.8,3.9,3.9,11.8
年間売上高増減別（3年前）,,大幅増加（10％以上）,112,18.8,0.9,0,14.3,1.8,1.8,9.8,2.7,24.1,11.6,2.7,2.7,8.9
年間売上高増減別（3年前）,,やや増加（10％未満）,102,26.5,2,1,17.6,5.9,2.9,7.8,2,23.5,2.9,2,0,5.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,144,25,1.4,2.8,6.9,2.1,4.9,6.9,4.2,20.8,12.5,5.6,0,6.9
年間売上高増減別（3年前）,,やや減少（10％未満）,104,20.2,1,2.9,7.7,2.9,7.7,4.8,2.9,21.2,11.5,9.6,1,6.7
年間売上高増減別（3年前）,,大幅減少（10％以上）,189,14.3,0.5,2.6,8.5,2.6,3.2,7.4,2.6,19.6,18.5,10.6,3.7,5.8
売上高経常利益率別,,黒字（プラス）,422,22.7,1.7,1.7,11.1,3.1,4.3,9,3.6,22,10.2,4.3,1.2,5.2
売上高経常利益率別,,赤字（マイナス）,225,15.6,0,2.7,9.3,2.2,3.1,5.3,1.8,21.8,15.1,11.1,2.7,9.3
経常損益の変化別（3年前）,,増益,181,23.2,0.6,0.6,14.4,3.3,1.1,12.2,2.2,21,9.9,3.9,2.2,5.5
経常損益の変化別（3年前）,,横ばい,205,22.4,1,2.9,7.3,2.9,4.4,3.9,2.9,22.9,9.8,8.8,1,9.8
経常損益の変化別（3年前）,,減益,267,16.9,1.5,2.2,10.1,2.6,5.2,7.1,3.4,21.7,15.4,6.7,1.9,5.2
代表者の年齢別,,40歳未満,9,11.1,0,0,0,0,11.1,0,0,66.7,11.1,0,0,0
代表者の年齢別,,40歳代,85,14.1,0,0,7.1,0,3.5,8.2,3.5,42.4,7.1,2.4,2.4,9.4
代表者の年齢別,,50歳代,210,14.8,1.4,1.4,9.5,3.8,2.9,10,4.3,28.1,10.5,4.8,1.4,7.1
代表者の年齢別,,60歳代,197,19.3,1,2,13.7,3.6,5.1,8.6,3,14.7,12.2,8.6,1,7.1
代表者の年齢別,,70歳以上,171,32.2,1.2,3.5,10.5,2.3,3.5,2.9,1.2,8.2,17.5,8.2,2.3,6.4
