学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,4,x,x,x,8,0.6,200714,-
学歴計,20～21歳,7,1.4,211867,2428933,13,0.9,229856,2963700
学歴計,22～24歳,10,1.7,271033,3067043,45,2.4,268445,3077341
学歴計,25～29歳,26,3.4,270751,3612711,22,3.5,312321,3399748
学歴計,30～34歳,18,6.2,262509,3693719,17,4.9,285129,3774808
学歴計,35～39歳,11,8.8,288359,3684991,9,4.2,264425,2948663
学歴計,40～44歳,34,7.8,315215,4541293,6,11,307760,4434740
学歴計,45～49歳,31,11.8,345713,4520965,17,8.9,283012,4104038
学歴計,50～54歳,26,15.9,303794,4245400,9,14,250321,3187288
学歴計,55～59歳,21,14.7,384085,5626859,13,10.2,287465,4247263
学歴計,60歳以上,18,15.5,302230,3957080,15,7.9,240557,3374950
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,4,x,x,x,-,-,-,-
中学卒,30～34歳,1,x,x,x,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,-,-,-,-,-,-,-,-
中学卒,45～49歳,1,x,x,x,-,-,-,-
中学卒,50～54歳,2,x,x,x,-,-,-,-
中学卒,55～59歳,2,x,x,x,-,-,-,-
中学卒,60歳以上,2,x,x,x,-,-,-,-
高校卒,18～19歳,4,x,x,x,8,0.6,200714,-
高校卒,20～21歳,7,1.4,211867,2428933,10,0.9,215697,2963700
高校卒,22～24歳,1,x,x,x,13,2.2,248971,2780500
高校卒,25～29歳,8,2.4,259767,4028425,6,4.5,383711,3775017
高校卒,30～34歳,10,8,278766,3867600,3,x,x,x
高校卒,35～39歳,3,x,x,x,3,x,x,x
高校卒,40～44歳,11,8.3,316546,4493910,-,-,-,-
高校卒,45～49歳,15,11.4,321418,4399508,3,x,x,x
高校卒,50～54歳,8,9.8,266417,3723629,4,x,x,x
高校卒,55～59歳,10,16.8,335938,5648522,6,8.7,279131,3999625
高校卒,60歳以上,9,18.9,281333,3877475,9,7.3,254714,3646843
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,-,-,-,-
高専・短大卒,25～29歳,-,-,-,-,-,-,-,-
高専・短大卒,30～34歳,2,x,x,x,-,-,-,-
高専・短大卒,35～39歳,-,-,-,-,1,x,x,x
高専・短大卒,40～44歳,-,-,-,-,2,x,x,x
高専・短大卒,45～49歳,1,x,x,x,-,-,-,-
高専・短大卒,50～54歳,-,-,-,-,2,x,x,x
高専・短大卒,55～59歳,1,x,x,x,2,x,x,x
高専・短大卒,60歳以上,-,-,-,-,-,-,-,-
専門学校卒,20～21歳,-,-,-,-,3,x,x,x
専門学校卒,22～24歳,-,-,-,-,25,2.6,280981,3205827
専門学校卒,25～29歳,5,3.2,256250,3387775,8,3.9,291574,3323088
専門学校卒,30～34歳,1,x,x,x,5,6.4,300484,3977840
専門学校卒,35～39歳,2,x,x,x,3,x,x,x
専門学校卒,40～44歳,15,8,346284,4763314,1,x,x,x
専門学校卒,45～49歳,10,16.9,364077,4763689,3,x,x,x
専門学校卒,50～54歳,9,20.3,342178,5223533,3,x,x,x
専門学校卒,55～59歳,3,x,x,x,-,-,-,-
専門学校卒,60歳以上,2,x,x,x,-,-,-,-
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,9,1.7,277252,3051550,6,2,268257,3032800
大学卒,25～29歳,8,3.1,283582,3639300,8,2.5,279524,3165700
大学卒,30～34歳,4,x,x,x,9,3.8,253698,3300700
大学卒,35～39歳,3,x,x,x,2,x,x,x
大学卒,40～44歳,8,6.8,255129,3882675,2,x,x,x
大学卒,45～49歳,4,x,x,x,9,5.7,277965,3925689
大学卒,50～54歳,4,x,x,x,-,-,-,-
大学卒,55～59歳,4,x,x,x,1,x,x,x
大学卒,60歳以上,4,x,x,x,1,x,x,x
