表側１,表側２,表側３,回答企業数(件),40歳未満(%),40歳代(%),50歳代(%),60歳代(%),70歳以上(%),無回答(%)
,,"今回調査
（全体）",2141,2.0,8.6,21.4,24.0,42.8,1.2
,,前回調査,2003,2.1,10.5,16.4,24.5,46.7,0.8
業種別,,総合商品小売業,189,4.2,14.8,32.8,27.5,20.6,0.0
業種別,,生鮮食品小売業,134,1.5,3.7,24.6,20.1,47.8,2.2
業種別,,食料品関連小売業,535,0.7,10.8,22.8,18.3,46.2,1.1
業種別,,衣料品関連小売業,298,1.0,8.7,14.1,24.5,51.0,0.7
業種別,,住関連小売業,167,2.4,3.6,24.6,22.2,44.9,2.4
業種別,,その他小売業,773,2.8,7.8,19.8,28.2,40.2,1.2
従業者規模別,,１～２人,1066,1.0,5.2,16.0,26.1,50.9,0.8
従業者規模別,,３～５人,486,2.3,9.7,23.7,18.3,45.3,0.8
従業者規模別,,６～19人,336,3.6,15.2,32.4,24.1,24.4,0.3
従業者規模別,,20人以上,170,4.1,15.9,32.9,29.4,17.6,0.0
