表側１,表側２,表側３,回答企業数(件),在庫なし(％),10日未満(％),10日～１か月未満(％),１～２か月未満(％),２～３か月未満(％),３～６か月未満(％),６か月～１年未満(％),１年以上(％),無回答(％)
,,"今回調査
（全体）",767,16.6,7.4,16.3,17.1,8.7,14.6,10.7,4.7,3.9
,,前回調査,760,12.5,11.4,16.4,16.1,8.8,14.2,12.0,5.4,3.2
業種別,,食料品卸売業,213,15.0,18.8,24.4,16.4,5.2,8.9,8.9,1.4,0.9
業種別,,生鮮食品卸売業,91,15.4,31.9,22.0,15.4,1.1,5.5,6.6,1.1,1.1
業種別,,加工食品等卸売業,122,14.8,9.0,26.2,17.2,8.2,11.5,10.7,1.6,0.8
業種別,,衣料品関連卸売業,111,18.0,5.4,11.7,13.5,10.8,19.8,10.8,7.2,2.7
業種別,,住関連卸売業,155,21.9,5.2,9.0,22.6,10.3,14.8,11.6,3.9,0.6
業種別,,その他卸売業,270,15.2,1.1,17.0,17.0,10.4,17.8,12.2,7.0,2.2
従業者規模別,,１～５人,406,23.9,6.2,13.3,13.8,9.1,11.8,11.6,6.2,4.2
従業者規模別,,６～９人,119,10.9,10.9,21.0,16.0,8.4,14.3,13.4,4.2,0.8
従業者規模別,,10～49人,192,5.7,5.7,18.8,25.5,8.3,19.8,8.3,3.1,4.7
従業者規模別,,50人以上,28,3.6,25.0,17.9,21.4,7.1,14.3,7.1,0.0,3.6
