区分,集計企業数（社）,賃金表・賃金規定の有無／賃金表あり（社）,賃金表・賃金規定の有無／賃金規定はあるが賃金表なし（社）,賃金表・賃金規定の有無／賃金規定なし（社）,賃金表・賃金規定の有無／その他（社）,賃金表・賃金規定の有無／無回答（社）,過去１年間の定期昇給の実施状況／実施した／定昇規定により実施（社）,過去１年間の定期昇給の実施状況／実施した／定昇規定はないが慣行により実施（社）,過去１年間の定期昇給の実施状況／実施した／無回答（社）,過去１年間の定期昇給の実施状況／実施していない／定昇規定はあるが実施見送り（社）,過去１年間の定期昇給の実施状況／実施していない／定昇の制度・慣行なし（社）,過去１年間の定期昇給の実施状況／実施していない／無回答（社）,過去１年間の定期昇給の実施状況／無回答（社）,過去１年間のベースアップの実施状況／実施（社）,過去１年間のベースアップの実施状況／現状維持（社）,過去１年間のベースアップの実施状況／ベースダウン（社）,過去１年間のベースアップの実施状況／その他,過去１年間のベースアップの実施状況／無回答（社）
調査産業計,1012,403,512,89,6,2,402,299,5,107,188,7,4,278,668,11,48,7
労組有,75,51,24,-,-,-,44,15,1,3,10,1,1,27,45,-,2,1
労組無,937,352,488,89,6,2,358,284,4,104,178,6,3,251,623,11,46,6
建設業,85,40,45,-,-,-,46,30,-,5,4,-,-,32,51,-,2,-
製造業,274,109,146,17,2,-,121,93,4,23,29,2,2,80,171,3,17,3
情報通信業,50,31,19,-,-,-,28,10,-,3,9,-,-,14,32,-,4,-
運輸業，郵便業,55,21,31,1,1,1,21,6,-,5,21,1,1,6,45,-,3,1
卸売業，小売業,195,55,103,35,1,1,65,68,-,25,36,1,-,50,137,2,6,-
金融業，保険業,43,19,22,1,1,-,18,9,-,3,13,-,-,9,30,-,4,-
不動産業，物品賃貸業,30,17,11,1,1,-,17,8,-,-,5,-,-,8,21,-,1,-
学術研究，専門・技術サービス業,58,29,23,6,-,-,22,17,-,6,12,-,1,14,39,2,3,-
宿泊業，飲食サービス業,49,10,27,12,-,-,6,9,-,11,21,2,-,8,35,1,3,2
生活関連サービス業，娯楽業,33,16,15,2,-,-,12,5,-,7,9,-,-,5,25,2,1,-
教育，学習支援業(学校教育を除く）,32,12,17,3,-,-,7,13,-,3,9,-,-,12,18,1,1,-
医療，福祉,43,18,22,3,-,-,14,9,1,8,10,1,-,22,19,-,2,-
サービス業（他に分類されないもの）,65,26,31,8,-,-,25,22,-,8,10,-,-,18,45,-,1,1
10～49人,642,213,344,80,4,1,198,206,3,91,137,6,1,178,423,7,30,4
50～99人,225,107,107,9,2,-,117,67,2,7,30,1,1,60,149,4,9,3
100～299人,145,83,61,-,-,1,87,26,-,9,21,-,2,40,96,-,9,-
