表側１,表側２,表側３,回答企業数(件),規模の拡大(%),利益の拡大(%),知名度の向上(%),地域や社会への貢献(%),業界の発展(%),持続的経営(%),雇用の維持(%),従業員の成長・幸福(%),企業理念等の実現(%),その他(%),無回答(%)
,,"今回調査
（全体）",2141,3.4,34.0,12.8,34.7,10.3,61.0,17.9,21.7,6.5,3.9,5.5
,,前回調査,2003,3.6,30.1,14.4,36.5,10.2,67.6,15.9,22.0,7.6,4.1,5.3
業種別,,総合商品小売業,189,5.8,65.6,6.9,39.7,10.1,49.7,52.4,58.7,9.5,2.1,0.5
業種別,,生鮮食品小売業,134,2.2,33.6,11.2,34.3,3.7,57.5,14.9,17.9,4.5,4.5,4.5
業種別,,食料品関連小売業,535,3.0,32.0,15.0,35.3,9.2,60.9,12.0,16.8,6.5,5.2,6.0
業種別,,衣料品関連小売業,298,3.0,29.9,16.8,25.8,7.4,66.4,11.4,14.4,5.0,3.4,8.4
業種別,,住関連小売業,167,3.0,34.1,14.4,40.7,11.4,61.1,13.2,12.6,6.0,4.2,4.2
業種別,,その他小売業,773,3.8,29.6,11.1,35.4,13.2,62.2,17.9,21.9,6.7,3.2,5.8
従業者規模別,,１～２人,1066,1.5,23.8,12.0,30.9,8.4,62.5,3.0,4.1,3.8,6.3,7.4
従業者規模別,,３～５人,486,2.5,34.2,15.8,39.1,10.9,61.9,18.3,26.5,6.0,1.9,6.0
従業者規模別,,６～19人,336,4.8,52.4,11.3,37.2,11.3,59.2,44.9,49.1,7.1,0.6,1.2
従業者規模別,,20人以上,170,13.5,60.0,11.2,45.3,16.5,58.2,60.6,64.1,22.4,1.8,0.6
年間売上高増減別（3年前）,,増加（５％以上）,227,8.8,52.4,19.4,42.7,15.9,62.1,31.3,41.0,11.9,2.2,1.3
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,4.1,36.1,13.8,38.3,10.8,65.2,21.6,28.1,9.4,2.9,3.5
年間売上高増減別（3年前）,,やや減少（10％未満）,450,2.4,32.0,12.4,34.7,8.0,63.3,19.6,22.2,5.6,2.9,3.6
年間売上高増減別（3年前）,,減少（20％未満）,434,2.5,29.7,10.8,35.3,10.6,58.3,13.4,15.0,3.9,4.4,7.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,1.6,29.0,11.5,24.5,9.4,57.3,10.6,11.0,3.8,6.3,9.7
売上高経常利益率別,,黒字（プラス）,1093,4.2,36.5,13.1,38.2,11.0,63.4,21.7,27.0,7.5,3.4,3.1
売上高経常利益率別,,赤字（マイナス）,838,3.0,32.3,13.2,31.7,10.7,59.3,14.4,16.6,5.7,4.4,6.6
経常損益の変化別（3年前）,,増益,316,7.6,43.0,14.6,36.1,15.5,63.6,25.9,35.8,9.8,2.5,3.5
経常損益の変化別（3年前）,,横ばい,702,2.1,32.8,13.7,35.3,9.5,61.0,16.1,21.9,7.1,4.3,4.8
経常損益の変化別（3年前）,,減益,999,2.9,32.5,11.8,33.5,9.9,61.2,16.9,18.0,5.3,4.1,5.8
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
