,,情報収集・活用力,語学力,統率力・リーダーシップ力,企画・開発力,専門知識,営業力,データ分析力,コミュニケーション力,プレゼンテーション力,事務処理力,交渉力,その他,無回答,n,
, 今回調査（全体）,38.6 ,11.7 ,30.2 ,33.4 ,60.7 ,36.3 ,20.5 ,49.1 ,23.1 ,34.4 ,28.4 ,3.3 ,1.7 ,1382,
業種別,情報・コンテンツ業,46.4 ,13.8 ,35.9 ,51.7 ,63.1 ,38.6 ,26.7 ,55.1 ,27.4 ,25.0 ,30.8 ,2.7 ,0.2 ,412,
業種別,専門サービス業,34.5 ,13.4 ,17.0 ,24.6 ,63.0 ,28.2 ,19.0 ,41.4 ,21.2 ,48.9 ,21.7 ,2.4 ,1.9 ,411,
業種別,技術サービス業,39.8 ,8.4 ,33.5 ,34.0 ,76.4 ,28.8 ,19.4 ,47.6 ,30.4 ,30.9 ,28.8 ,2.1 ,1.0 ,191,
業種別,事業サービス業,33.1 ,7.9 ,37.5 ,21.4 ,46.9 ,45.5 ,15.8 ,51.6 ,15.8 ,29.9 ,32.3 ,5.9 ,3.2 ,341,
特定10業種,ソフトウェア業,45.2 ,15.6 ,46.7 ,49.7 ,72.4 ,34.2 ,27.6 ,60.8 ,32.2 ,20.6 ,29.6 ,2.0 ,0.5 ,199,
特定10業種,インターネット附随サービス業,53.3 ,16.7 ,20.0 ,56.7 ,63.3 ,50.0 ,36.7 ,53.3 ,30.0 ,40.0 ,33.3 ,0.0 ,0.0 ,30,
特定10業種,映像情報制作・配給業,53.5 ,18.6 ,34.9 ,60.5 ,53.5 ,39.5 ,9.3 ,53.5 ,23.3 ,23.3 ,34.9 ,9.3 ,0.0 ,43,
特定10業種,出版業,51.4 ,5.4 ,10.8 ,62.2 ,43.2 ,56.8 ,24.3 ,21.6 ,13.5 ,35.1 ,24.3 ,5.4 ,0.0 ,37,
特定10業種,税理士事務所,27.1 ,3.6 ,7.1 ,4.3 ,78.6 ,11.4 ,16.4 ,31.4 ,9.3 ,65.0 ,14.3 ,2.1 ,1.4 ,140,
特定10業種,デザイン業,35.4 ,14.6 ,33.3 ,58.3 ,43.8 ,43.8 ,14.6 ,56.3 ,45.8 ,10.4 ,27.1 ,6.3 ,2.1 ,48,
特定10業種,経営コンサルタント業,40.7 ,16.9 ,28.8 ,37.3 ,47.5 ,35.6 ,33.9 ,44.1 ,35.6 ,49.2 ,30.5 ,1.7 ,6.8 ,59,
特定10業種,建築設計業,36.1 ,9.3 ,28.9 ,41.2 ,76.3 ,25.8 ,22.7 ,49.5 ,43.3 ,33.0 ,32.0 ,0.0 ,2.1 ,97,
特定10業種,自動車整備業,30.8 ,3.8 ,26.9 ,7.7 ,65.4 ,26.9 ,7.7 ,26.9 ,7.7 ,3.8 ,15.4 ,15.4 ,7.7 ,26,
特定10業種,建物サービス業,20.0 ,1.3 ,40.0 ,10.0 ,51.3 ,38.8 ,11.3 ,42.5 ,8.8 ,20.0 ,31.3 ,7.5 ,6.3 ,80,
従業者規模別,1～2人,29.4 ,9.2 ,8.0 ,21.5 ,47.9 ,23.9 ,8.0 ,25.2 ,10.4 ,38.0 ,16.0 ,5.5 ,2.5 ,163,
従業者規模別,3～5人,36.8 ,11.7 ,15.8 ,29.1 ,60.5 ,26.9 ,21.9 ,39.7 ,18.3 ,35.2 ,20.3 ,4.1 ,1.6 ,443,
従業者規模別,6～9人,41.1 ,11.9 ,24.6 ,31.8 ,58.5 ,39.8 ,19.5 ,45.3 ,26.7 ,34.7 ,34.7 ,2.5 ,2.5 ,236,
従業者規模別,10～29人,40.8 ,13.7 ,46.2 ,40.4 ,66.6 ,47.5 ,21.3 ,60.5 ,28.3 ,29.3 ,32.2 ,1.6 ,1.9 ,314,
