,,同業者の増加       ,異業種からの参入増加,"複数企業に対する
相見積の増加            ",顧客ニーズの高度化,顧客による業務の内製化       ,顧客側の業績悪化,大企業の寡占化,社会環境変化等によるサービスへの需要減退,規制緩和・強化、法改正,新しいビジネスモデルの登場,デジタルプラットフォームビジネスの登場,技術革新   ,その他,無回答,n
,今回調査（全体）,52.1 ,17.3 ,28.7 ,24.0 ,17.9 ,32.4 ,13.0 ,12.8 ,3.4 ,13.0 ,5.5 ,7.5 ,4.6 ,1.4 ,655
業種別,情報・コンテンツ業,53.6 ,14.4 ,26.5 ,33.7 ,22.7 ,33.1 ,13.3 ,12.2 ,2.8 ,15.5 ,7.2 ,10.5 ,2.2 ,1.7 ,181
業種別,専門サービス業,54.0 ,17.9 ,24.7 ,21.3 ,18.3 ,36.6 ,11.1 ,10.6 ,3.0 ,16.6 ,7.2 ,4.7 ,5.1 ,1.3 ,235
業種別,技術サービス業,41.4 ,12.6 ,34.5 ,21.8 ,11.5 ,18.4 ,13.8 ,17.2 ,2.3 ,9.2 ,3.4 ,12.6 ,8.0 ,1.1 ,87
業種別,事業サービス業,53.9 ,21.3 ,34.8 ,14.9 ,14.9 ,32.6 ,13.5 ,14.9 ,5.7 ,5.7 ,2.1 ,4.3 ,5.0 ,1.4 ,141
特定10業種,ソフトウェア業,55.6 ,14.3 ,23.8 ,39.7 ,22.2 ,36.5 ,15.9 ,4.8 ,4.8 ,6.3 ,3.2 ,15.9 ,1.6 ,0.0 ,63
特定10業種,インターネット附随サービス業,73.1 ,11.5 ,30.8 ,34.6 ,19.2 ,26.9 ,11.5 ,0.0 ,3.8 ,15.4 ,0.0 ,7.7 ,0.0 ,0.0 ,26
特定10業種,映像情報制作・配給業,56.5 ,21.7 ,17.4 ,34.8 ,26.1 ,26.1 ,17.4 ,17.4 ,4.3 ,30.4 ,21.7 ,17.4 ,4.3 ,4.3 ,23
特定10業種,出版業,29.4 ,0.0 ,17.6 ,11.8 ,17.6 ,23.5 ,17.6 ,23.5 ,0.0 ,17.6 ,0.0 ,5.9 ,5.9 ,0.0 ,17
特定10業種,税理士事務所,58.0 ,18.0 ,16.0 ,20.0 ,4.0 ,34.0 ,10.0 ,6.0 ,10.0 ,22.0 ,4.0 ,2.0 ,6.0 ,0.0 ,50
特定10業種,デザイン業,32.4 ,8.1 ,35.1 ,18.9 ,37.8 ,45.9 ,16.2 ,16.2 ,0.0 ,8.1 ,13.5 ,8.1 ,10.8 ,2.7 ,37
特定10業種,経営コンサルタント業,58.3 ,27.1 ,16.7 ,31.3 ,8.3 ,35.4 ,4.2 ,2.1 ,0.0 ,16.7 ,6.3 ,4.2 ,4.2 ,2.1 ,48
特定10業種,建築設計業,43.6 ,10.3 ,33.3 ,25.6 ,10.3 ,12.8 ,17.9 ,17.9 ,5.1 ,2.6 ,0.0 ,5.1 ,7.7 ,0.0 ,39
特定10業種,自動車整備業,0.0 ,22.2 ,33.3 ,11.1 ,33.3 ,22.2 ,11.1 ,22.2 ,11.1 ,11.1 ,0.0 ,33.3 ,0.0 ,0.0 ,9
特定10業種,建物サービス業,65.5 ,31.0 ,58.6 ,13.8 ,13.8 ,44.8 ,13.8 ,6.9 ,0.0 ,3.4 ,0.0 ,0.0 ,3.4 ,0.0 ,29
従業者規模別,1～2人,50.7 ,15.8 ,18.6 ,19.0 ,15.8 ,35.3 ,16.3 ,14.5 ,3.2 ,17.2 ,5.4 ,7.2 ,5.9 ,2.3 ,221
従業者規模別,3～5人,54.7 ,15.9 ,31.2 ,18.8 ,14.7 ,32.4 ,11.2 ,12.4 ,4.1 ,10.6 ,6.5 ,7.1 ,2.9 ,1.2 ,170
従業者規模別,6～9人,47.8 ,20.9 ,40.3 ,28.4 ,25.4 ,34.3 ,11.9 ,11.9 ,3.0 ,11.9 ,3.0 ,9.0 ,3.0 ,0.0 ,67
従業者規模別,10～29人,54.1 ,17.4 ,38.5 ,33.9 ,19.3 ,32.1 ,11.9 ,11.9 ,5.5 ,9.2 ,9.2 ,7.3 ,5.5 ,0.9 ,109
従業者規模別,30人以上,51.3 ,18.8 ,28.8 ,32.5 ,23.8 ,25.0 ,10.0 ,12.5 ,0.0 ,12.5 ,0.0 ,8.8 ,3.8 ,1.3 ,80
年間売上高増減別（３年前）,大幅(10％以上)増加,71.4 ,19.0 ,25.4 ,34.9 ,19.0 ,25.4 ,11.1 ,6.3 ,6.3 ,9.5 ,3.2 ,9.5 ,1.6 ,1.6 ,63
年間売上高増減別（３年前）,やや(10％未満)増加,56.5 ,17.7 ,35.5 ,25.8 ,19.4 ,24.2 ,3.2 ,1.6 ,1.6 ,12.9 ,4.8 ,11.3 ,8.1 ,0.0 ,62
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,58.3 ,17.4 ,26.5 ,24.2 ,19.7 ,22.0 ,12.1 ,7.6 ,2.3 ,15.2 ,6.1 ,3.0 ,1.5 ,0.8 ,132
年間売上高増減別（３年前）,やや(10％未満)減少,58.5 ,18.1 ,26.6 ,26.6 ,18.1 ,37.2 ,10.6 ,11.7 ,5.3 ,14.9 ,6.4 ,7.4 ,3.2 ,1.1 ,94
年間売上高増減別（３年前）,大幅(10％以上)減少,44.1 ,16.8 ,29.0 ,20.3 ,16.4 ,39.9 ,16.8 ,19.9 ,3.1 ,11.9 ,5.9 ,8.7 ,5.6 ,0.3 ,286
売上高経常利益率別,黒字,54.6 ,18.2 ,29.9 ,26.9 ,18.5 ,26.1 ,13.0 ,12.2 ,2.7 ,13.3 ,4.9 ,5.7 ,3.8 ,1.4 ,368
売上高経常利益率別,赤字,47.2 ,13.3 ,29.4 ,20.6 ,17.4 ,40.4 ,12.4 ,12.8 ,4.1 ,11.9 ,5.5 ,10.6 ,6.0 ,1.4 ,218
経常損益の変化別（３年前）,増益,59.6 ,14.9 ,29.8 ,31.6 ,16.7 ,30.7 ,12.3 ,7.9 ,3.5 ,13.2 ,5.3 ,6.1 ,2.6 ,0.9 ,114
経常損益の変化別（３年前）,横ばい,56.1 ,20.5 ,29.2 ,21.6 ,18.7 ,25.7 ,11.1 ,11.7 ,5.3 ,16.4 ,4.1 ,8.2 ,5.8 ,0.6 ,171
経常損益の変化別（３年前）,減益,49.9 ,16.5 ,28.1 ,23.2 ,18.3 ,36.5 ,14.2 ,15.1 ,2.6 ,11.0 ,6.4 ,7.8 ,4.3 ,0.6 ,345
