表側１,表側２,表側３,回答企業数(件),現金(％),クレジットカード(％),カード型電子マネー（読取方式）(％),磁気カードやスマートフォンでのタッチ決済(％),スマートフォンでのQR決済（QRコード・バーコード）(％),代金引換(％),コンビニ支払(％),銀行口座引落(％),銀行口座振込(％),デビットカード(％),その他(％),無回答(％)
,,今回調査（全体）,2003,93,38.8,18.5,14.3,24.4,12.8,8.4,11,30.1,6.8,2.5,2.6
業種別,,総合商品小売業,164,95.7,90.2,90.2,86,86.6,11.6,61.6,6.1,6.1,41.5,0.6,1.8
業種別,,生鮮食品小売業,113,86.7,3.5,2.7,1.8,8,8,6.2,12.4,23,0,0.9,7.1
業種別,,食料品関連小売業,511,92.8,17,10.4,7.4,19.2,10.8,2.3,10,24.7,1.6,2.5,2.7
業種別,,衣料品関連小売業,314,95.5,55.4,12.1,6.7,19.4,13.7,2.5,5.1,25.5,7.6,3.2,2.2
業種別,,住関連小売業,162,87.7,35.2,11.7,4.9,16.7,16,2.5,19.8,57.4,0.6,1.9,4.9
業種別,,その他小売業,737,93.5,41.7,14.8,10.2,20.5,14.1,4.9,13.2,36.1,4.7,3.1,1.6
従業者規模別,,1～2人,1059,91.7,23.7,7.1,4.7,14.4,8.4,2.6,9.4,26.7,2.4,2.5,3.1
従業者規模別,,3～5人,488,94.5,42.8,16.4,9.2,23.8,17.8,3.1,10.7,41.2,5.3,3.1,1.6
従業者規模別,,6～19人,272,93.4,67.6,41.2,38.6,45.2,16.9,21,14.3,29.4,17.3,2.6,2.6
従業者規模別,,20人以上,134,97.8,89.6,72.4,60.4,65.7,23.9,49.3,17.2,23.9,27.6,1.5,0.7
売上高規模別,,1千万円未満,884,92,19,5.7,3.3,9.8,6.8,2.6,8.5,21.6,1.8,2.4,2.5
売上高規模別,,1～3千万円未満,427,93.7,40.7,14.3,8.9,26.9,13.1,2.3,12.4,39.3,4.2,3.5,1.9
売上高規模別,,3～5千万円未満,186,95.2,48.4,20.4,15.6,37.6,23.1,2.2,11.8,43,7,1.6,1.1
売上高規模別,,5千万～1億円未満,142,94.4,53.5,28.9,19,31,17.6,9.9,14.8,45.8,7,2.1,0.7
売上高規模別,,1～3億円未満,202,98,79.7,53.5,48.5,52,20.8,36.6,17.3,31.2,23.8,2.5,0.5
売上高規模別,,3～5億円未満,49,95.9,87.8,59.2,57.1,55.1,24.5,44.9,10.2,22.4,24.5,2,0
売上高規模別,,5億円以上,48,100,91.7,70.8,52.1,62.5,25,29.2,8.3,25,31.3,2.1,0
代表者の年齢別,,40歳未満,42,97.6,64.3,40.5,40.5,57.1,19,19,11.9,31,14.3,0,2.4
代表者の年齢別,,40歳代,190,98.4,67.9,37.9,32.1,48.4,20,23.2,15.8,40,16.8,1.1,0
代表者の年齢別,,50歳代,328,97.3,54.9,28.7,24.7,41.5,19.2,15.2,9.1,38.1,12.2,3.4,1.5
代表者の年齢別,,60歳代,491,96.1,44.4,20.2,15.1,27.7,12.4,5.3,7.1,27.7,6.5,3.3,1.6
代表者の年齢別,,70歳以上,936,88.4,23.4,9.1,5.3,10.3,9.2,4.1,12.4,26.5,2.9,2.2,4.1
