表側１,表側２,表側３,回答企業数(件),10％未満(%),10～30％未満(%),30～60％未満(%),60～90％未満(%),90～100％未満(%),100％(%),無回答(%),
,,今回調査（全体）,705,24.7,12.5,16.0,16.9,19.4,10.1,0.4,
業種別,,総合商品小売業,80,13.8,2.5,1.3,0.0,31.3,50.0,1.3,
業種別,,生鮮食品小売業,17,58.8,23.5,5.9,5.9,5.9,0.0,0.0,
業種別,,食料品関連小売業,127,32.3,21.3,23.6,11.0,7.9,3.9,0.0,
業種別,,衣料品関連小売業,67,38.8,19.4,20.9,9.0,7.5,4.5,0.0,
業種別,,住関連小売業,58,25.9,22.4,27.6,13.8,8.6,1.7,0.0,
業種別,,その他小売業,341,19.6,8.2,13.8,26.4,26.1,5.3,0.6,
従業者規模別,,１～２人,279,26.9,16.1,21.1,16.8,11.1,7.9,0.0,
従業者規模別,,３～５人,177,25.4,14.7,17.5,22.0,18.6,1.7,0.0,
従業者規模別,,６～19人,150,20.0,10.0,10.7,14.7,30.0,13.3,1.3,
従業者規模別,,20人以上,78,17.9,1.3,5.1,11.5,30.8,32.1,1.3,
,,,,,,,,,,,
,,,,,,,,,,,
