職種別～４系列職種+１１職種,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
全職種[合計],18,0,496,198421,100,-,-,-,-,-,-,-,-,-,-,-,-
全職種[合計],20,0,172,208262,105,0,472,208701,100,0,488,209953,100,-,-,-,-
全職種[合計],22,0,160,219726,110.7,0,145,218889,104.9,0,155,221416,105.5,0,586,222005,100
全職種[合計],25,0,156,234612,118.2,0,137,236044,113.1,0,141,239416,114,0,204,244779,110.3
全職種[合計],30,2,152,266955,134.5,2,135,266944,127.9,2,136,270615,128.9,2,190,280323,126.3
全職種[合計],35,3,149,297129,149.7,3,130,297962,142.8,3,128,299730,142.8,3,174,318591,143.5
全職種[合計],40,3,145,321452,162,3,124,326011,156.2,3,125,329641,157,3,173,358640,161.5
全職種[合計],45,3,140,345919,174.3,3,121,349626,167.5,3,123,353090,168.2,3,158,387373,174.5
全職種[合計],50,3,136,369877,186.4,3,117,374849,179.6,3,118,378029,180.1,3,157,420342,189.3
全職種[合計],55,2,131,385374,194.2,2,115,388104,186,2,116,397409,189.3,2,151,440605,198.5
全職種[合計],60,1,131,383316,193.2,1,114,391273,187.5,1,115,397300,189.2,1,147,438859,197.7
[営業販売系],18,0,184,194009,100,-,-,-,-,-,-,-,-,-,-,-,-
[営業販売系],20,0,69,198909,102.5,0,172,204092,100,0,176,205361,100,-,-,-,-
[営業販売系],22,0,61,210498,108.5,0,59,210325,103.1,0,58,212603,103.5,0,223,219848,100
[営業販売系],25,0,61,227057,117,0,55,227782,111.6,0,54,230748,112.4,0,79,239980,109.2
[営業販売系],30,2,63,263835,136,2,56,260020,127.4,2,54,263104,128.1,2,79,277272,126.1
[営業販売系],35,3,58,295174,152.1,3,53,296225,145.1,3,49,300606,146.4,3,69,324793,147.7
[営業販売系],40,3,56,321880,165.9,3,51,328276,160.8,3,48,332402,161.9,3,73,369995,168.3
[営業販売系],45,3,55,344171,177.4,3,50,350226,171.6,3,48,357246,174,3,66,406464,184.9
[営業販売系],50,3,52,369410,190.4,3,48,379575,186,3,46,387776,188.8,3,66,443774,201.9
[営業販売系],55,2,50,387950,200,2,47,397336,194.7,2,44,408814,199.1,2,63,470713,214.1
[営業販売系],60,1,51,380602,196.2,1,46,392833,192.5,1,44,404825,197.1,1,62,466366,212.1
[(１)営業],18,0,152,192047,100,-,-,-,-,-,-,-,-,-,-,-,-
