区分,勤務延長制度採用企業数（社）,対象者／集計企業数（社）,対象者／集計企業数／希望者全員に適用（社）,対象者／集計企業数／労使協定で定めた基準に該当する者（社）,定年時と比較した賃金／集計企業数（社）,定年時と比較した賃金／集計企業数／定年時より低下（社）,定年時と比較した賃金／集計企業数／定年時と同一（社）,賃金低下率／集計企業数（社）,賃金低下率／集計企業数／10%未満（社）,賃金低下率／集計企業数／10%～20%未満（社）,賃金低下率／集計企業数／20%～30%未満（社）,賃金低下率／集計企業数／30%～40%未満（社）,賃金低下率／集計企業数／40%～50%未満（社）,賃金低下率／集計企業数／50%以上（社）
調査産業計,116,111,76,35,107,43,64,39,12,8,12,3,4,0
労組有,7,7,3,4,7,0,7,0,0,0,0,0,0,0
労組無,109,104,73,31,100,43,57,39,12,8,12,3,4,0
建設業,10,10,5,5,9,4,5,4,1,2,0,0,1,0
製造業,28,27,18,9,28,14,14,13,1,4,7,1,0,0
情報通信業,2,2,2,0,2,1,1,1,0,0,1,0,0,0
運輸業，郵便業,12,12,6,6,12,4,8,4,1,0,2,1,0,0
卸売業，小売業,20,18,12,6,18,7,11,5,2,1,1,1,0,0
金融業，保険業,5,3,1,2,2,1,1,1,1,0,0,0,0,0
"不動産業，
物品賃貸業",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"学術研究，
専門・技術サービス業",6,6,4,2,6,1,5,1,0,0,0,0,1,0
"宿泊業，
飲食サービス業",7,7,6,1,7,2,5,2,2,0,0,0,0,0
"生活関連サービス業，
娯楽業",6,6,3,3,5,3,2,3,2,0,1,0,0,0
"教育，学習支援業
(学校教育を除く）",3,3,3,0,2,0,2,0,0,0,0,0,0,0
医療，福祉,11,11,11,0,11,4,7,4,1,1,0,0,2,0
"サービス業（他に
分類されないもの）",6,6,5,1,5,2,3,1,1,0,0,0,0,0
10～49人,76,74,57,17,71,28,43,26,9,4,8,2,3,0
50～99人,30,27,14,13,26,10,16,8,3,3,1,1,0,0
100～299人,10,10,5,5,10,5,5,5,0,1,3,0,1,0
