学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,3,x,x,x,6,0,182000,-
学歴計,22～24歳,80,1,283164,3192433,63,1,223262,2924000
学歴計,25～29歳,94,3.8,304697,5243967,75,3.4,273602,3778357
学歴計,30～34歳,63,7,377753,5810582,57,5.3,286940,4246342
学歴計,35～39歳,35,11.2,471472,10801945,17,5.6,327634,4462617
学歴計,40～44歳,61,12.6,468645,7908792,46,7.9,353747,4568210
学歴計,45～49歳,53,11.9,496257,8469479,38,9.3,409066,5284206
学歴計,50～54歳,59,15.9,623965,10538970,24,5.6,413845,5295365
学歴計,55～59歳,63,16,637146,9630253,20,9.5,341561,4641852
学歴計,60歳以上,39,4.6,363169,5205442,6,5.7,199607,3054240
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,-,-,-,-,3,x,x,x
中学卒,40～44歳,2,x,x,x,-,-,-,-
中学卒,45～49歳,-,-,-,-,-,-,-,-
中学卒,50～54歳,-,-,-,-,-,-,-,-
中学卒,55～59歳,-,-,-,-,-,-,-,-
中学卒,60歳以上,-,-,-,-,-,-,-,-
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,-,-,-,-,3,x,x,x
高校卒,25～29歳,4,x,x,x,-,-,-,-
高校卒,30～34歳,-,-,-,-,5,4.6,290000,4207360
高校卒,35～39歳,3,x,x,x,-,-,-,-
高校卒,40～44歳,3,x,x,x,3,x,x,x
高校卒,45～49歳,4,x,x,x,-,-,-,-
高校卒,50～54歳,12,9.8,383745,4991624,-,-,-,-
高校卒,55～59歳,8,18.5,375250,5002670,6,6.5,335026,5074067
高校卒,60歳以上,14,4.4,274437,3967570,2,x,x,x
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,3,x,x,x,6,0,182000,-
高専・短大卒,22～24歳,-,-,-,-,6,2,251930,3233000
高専・短大卒,25～29歳,-,-,-,-,6,3,284000,4016900
高専・短大卒,30～34歳,11,4.5,313018,3866745,3,x,x,x
高専・短大卒,35～39歳,-,-,-,-,-,-,-,-
高専・短大卒,40～44歳,3,x,x,x,11,5.7,368250,4634504
高専・短大卒,45～49歳,6,6,365083,4021640,12,8.3,368878,4226231
高専・短大卒,50～54歳,2,x,x,x,6,3,620586,7447032
高専・短大卒,55～59歳,2,x,x,x,6,5.5,404009,4848108
高専・短大卒,60歳以上,2,x,x,x,3,x,x,x
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,-,-,-,-,6,0,207487,-
専門学校卒,25～29歳,-,-,-,-,-,-,-,-
専門学校卒,30～34歳,5,6,263400,4810080,3,x,x,x
専門学校卒,35～39歳,3,x,x,x,3,x,x,x
専門学校卒,40～44歳,13,12.2,392762,4967595,10,8.5,364130,4696085
専門学校卒,45～49歳,9,9.3,467901,6730675,15,4.8,451667,5420008
専門学校卒,50～54歳,5,18.4,688800,8772340,4,x,x,x
専門学校卒,55～59歳,5,5,286000,4603160,3,x,x,x
専門学校卒,60歳以上,-,-,-,-,1,x,x,x
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,80,1,283164,3192433,48,1,229091,2835714
大学卒,25～29歳,90,4,308217,5285257,69,3.5,272698,3755272
大学卒,30～34歳,47,7.7,405069,6410234,46,5.1,280237,4297456
大学卒,35～39歳,29,11.7,489094,11977799,11,6.3,313798,4586226
大学卒,40～44歳,40,12.6,492565,9408815,22,8.8,340173,4487097
大学卒,45～49歳,34,13.4,541118,10341920,11,16.5,407091,5942531
大学卒,50～54歳,40,17.3,697925,12819782,14,4.4,376926,4876356
大学卒,55～59歳,48,15.9,724962,11055714,5,13.8,286800,3566600
大学卒,60歳以上,23,5,422760,6097184,-,-,-,-
