,,増加                ,横ばい              ,減少                ,３年前は未創業      ,無回答            ,ｎ
,今回調査（全体）,18.5 ,56.7 ,17.7 ,0.8 ,6.2 ,1382
業種別,情報・コンテンツ業,25.0 ,50.2 ,18.2 ,0.7 ,5.8 ,412 
業種別,専門サービス業,12.4 ,65.7 ,12.4 ,1.2 ,8.3 ,411 
業種別,技術サービス業,19.9 ,60.7 ,12.6 ,0.0 ,6.8 ,191 
業種別,事業サービス業,18.2 ,50.4 ,26.4 ,0.9 ,4.1 ,341 
特定10業種,ソフトウェア業,28.1 ,48.2 ,18.6 ,1.0 ,4.0 ,199 
特定10業種,インターネット附随サービス業,33.3 ,40.0 ,20.0 ,3.3 ,3.3 ,30 
特定10業種,映像情報制作・配給業,20.9 ,55.8 ,9.3 ,0.0 ,14.0 ,43 
特定10業種,出版業,5.4 ,75.7 ,16.2 ,0.0 ,2.7 ,37 
特定10業種,税理士事務所,6.4 ,73.6 ,10.7 ,0.0 ,9.3 ,140 
特定10業種,デザイン業,6.3 ,66.7 ,25.0 ,0.0 ,2.1 ,48 
特定10業種,経営コンサルタント業,28.8 ,55.9 ,8.5 ,0.0 ,6.8 ,59 
特定10業種,建築設計業,23.7 ,57.7 ,10.3 ,0.0 ,8.2 ,97 
特定10業種,自動車整備業,7.7 ,61.5 ,23.1 ,0.0 ,7.7 ,26 
特定10業種,建物サービス業,15.0 ,57.5 ,22.5 ,0.0 ,5.0 ,80 
従業者規模別,1～2人,4.9 ,66.3 ,12.3 ,1.8 ,14.7 ,163 
従業者規模別,3～5人,8.6 ,66.1 ,16.7 ,1.1 ,7.4 ,443 
従業者規模別,6～9人,15.7 ,61.0 ,16.9 ,0.8 ,5.5 ,236 
従業者規模別,10～29人,27.4 ,47.1 ,22.9 ,0.3 ,2.2 ,314 
従業者規模別,30人以上,39.9 ,38.5 ,18.3 ,0.0 ,3.4 ,208
年間売上高増減別（３年前）,大幅(10％以上)増加,52.9 ,32.9 ,7.6 ,0.0 ,6.5 ,170
年間売上高増減別（３年前）,やや(10％未満)増加,46.2 ,45.0 ,7.0 ,0.0 ,1.8 ,171
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,13.5 ,71.9 ,9.1 ,0.0 ,5.4 ,406
年間売上高増減別（３年前）,やや(10％未満)減少,5.5 ,67.2 ,21.3 ,0.0 ,6.0 ,183
年間売上高増減別（３年前）,大幅(10％以上)減少,5.1 ,55.2 ,34.9 ,0.0 ,4.8 ,413
売上高経常利益率別,黒字,22.2 ,56.0 ,14.6 ,0.5 ,6.6 ,936
売上高経常利益率別,赤字,9.1 ,56.2 ,27.4 ,1.8 ,5.5 ,329
経常損益の変化別（３年前）,増益,34.8 ,44.8 ,15.4 ,0.0 ,5.0 ,319
経常損益の変化別（３年前）,横ばい,14.9 ,66.8 ,12.0 ,0.0 ,6.3 ,443
経常損益の変化別（３年前）,減益,13.5 ,57.9 ,24.7 ,0.0 ,3.9 ,570
代表者の年齢別,40歳未満,44.4 ,36.1 ,8.3 ,2.8 ,8.3 ,36
代表者の年齢別,40歳代,26.8 ,42.3 ,21.1 ,2.8 ,7.0 ,213
代表者の年齢別,50歳代,20.4 ,53.7 ,20.0 ,0.5 ,5.5 ,421
代表者の年齢別,60歳代,18.4 ,56.8 ,17.5 ,0.5 ,6.8 ,412
代表者の年齢別,70歳以上,6.3 ,74.4 ,14.0 ,0.0 ,5.3 ,285
