学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,-,-,-,-,2,x,x,x
学歴計,22～24歳,56,0.9,281743,5533650,35,0.7,269053,3828660
学歴計,25～29歳,154,2.9,352730,6239339,132,3.2,297430,5358392
学歴計,30～34歳,176,4.7,480200,7518890,105,5,334162,5701346
学歴計,35～39歳,207,7.7,578490,9598533,93,9.3,426206,7051676
学歴計,40～44歳,154,10.8,576772,9388149,149,11.9,412942,6199706
学歴計,45～49歳,163,15.3,693979,11565582,150,14.7,414877,6637867
学歴計,50～54歳,220,18.6,629033,10246579,150,17.7,441244,7139280
学歴計,55～59歳,263,15.4,628902,9781867,107,18.3,496091,6940715
学歴計,60歳以上,81,13.6,488651,8119773,5,7.8,306800,5911260
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,-,-,-,-,-,-,-,-
中学卒,45～49歳,-,-,-,-,2,x,x,x
中学卒,50～54歳,-,-,-,-,-,-,-,-
中学卒,55～59歳,-,-,-,-,-,-,-,-
中学卒,60歳以上,-,-,-,-,-,-,-,-
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,-,-,-,-,-,-,-,-
高校卒,25～29歳,6,3.7,299667,3957100,-,-,-,-
高校卒,30～34歳,-,-,-,-,2,x,x,x
高校卒,35～39歳,8,8.6,416921,6303213,2,x,x,x
高校卒,40～44歳,-,-,-,-,8,10.3,313002,4661963
高校卒,45～49歳,2,x,x,x,16,22.8,378139,6085450
高校卒,50～54歳,17,25.1,467693,6927794,31,27.4,397728,7133639
高校卒,55～59歳,26,19.5,522398,8537665,21,21.8,353559,6329100
高校卒,60歳以上,11,17.8,384255,6264445,2,x,x,x
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,-,-,-,-
高専・短大卒,25～29歳,-,-,-,-,7,4.9,257917,4503880
高専・短大卒,30～34歳,-,-,-,-,12,7.3,244633,3709922
高専・短大卒,35～39歳,2,x,x,x,11,13.8,299145,4376163
高専・短大卒,40～44歳,2,x,x,x,25,13.2,299138,4973764
高専・短大卒,45～49歳,3,x,x,x,28,19.8,368693,5931579
高専・短大卒,50～54歳,3,x,x,x,32,20.8,400654,6590847
高専・短大卒,55～59歳,2,x,x,x,18,17.1,369737,5617483
高専・短大卒,60歳以上,-,-,-,-,-,-,-,-
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,-,-,-,-,-,-,-,-
専門学校卒,25～29歳,5,2,265745,3633450,3,x,x,x
専門学校卒,30～34歳,3,x,x,x,1,x,x,x
専門学校卒,35～39歳,6,8,358045,5351600,4,x,x,x
専門学校卒,40～44歳,12,8.3,427038,8355000,12,15.8,364686,5689183
専門学校卒,45～49歳,9,13.8,526822,7847522,18,19.7,510189,7671844
専門学校卒,50～54歳,7,21.9,443714,7099043,8,11.3,312875,4529350
専門学校卒,55～59歳,7,27.9,439677,7243629,4,x,x,x
専門学校卒,60歳以上,2,x,x,x,-,-,-,-
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,56,0.9,281743,5533650,35,0.7,269053,3828660
大学卒,25～29歳,139,2.9,361470,6402315,122,3.1,302309,5420751
大学卒,30～34歳,165,4.8,494741,7806383,83,4.6,358633,6348050
大学卒,35～39歳,186,7.7,603863,10119666,71,8.8,466583,7754403
大学卒,40～44歳,136,11.1,598003,9622203,99,11.5,464028,6886014
大学卒,45～49歳,141,15.6,726510,12258785,84,10.7,420929,6854585
大学卒,50～54歳,188,18.3,652185,10739107,79,13.4,487760,7640634
大学卒,55～59歳,227,14.5,651668,10083635,64,16.3,594839,7768548
大学卒,60歳以上,67,12.4,513336,8575654,3,x,x,x
