区分,退職金算定基礎額制度導入企業数（社）,退職時の基本給（社）,退職時の基本給×一定率（社）,退職時の基本給＋手当（社）,（退職時の基本給＋手当）×一定率（社）,別テーブル方式（社）,その他（社）,無回答（社）
調査産業計,318,143,98,11,12,36,15,3
労組有,27,5,10,1,0,10,1,0
労組無,291,138,88,10,12,26,14,3
建設業,34,19,7,3,1,2,2,0
製造業,121,48,43,3,3,15,8,1
情報通信業,12,6,4,0,1,1,0,0
運輸業，郵便業,12,4,3,1,0,2,1,1
卸売業，小売業,58,31,21,1,3,2,0,0
金融業，保険業,12,4,0,1,1,5,1,0
不動産業，物品賃貸業,8,3,4,0,0,1,0,0
学術研究，専門・技術サービス業,18,8,5,0,1,3,1,0
宿泊業，飲食サービス業,6,2,3,1,0,0,0,0
生活関連サービス業，娯楽業,8,3,1,0,0,3,0,1
教育，学習支援業(学校教育を除く）,5,3,1,1,0,0,0,0
医療，福祉,5,2,1,0,1,0,1,0
サービス業（他に分類されないもの）,19,10,5,0,1,2,1,0
10～49人,188,90,55,7,9,18,7,2
50～99人,80,36,27,2,2,10,3,0
100～299人,50,17,16,2,1,8,5,1
