区分,集計企業数（社）,制度あり（社）,制度あり／柔軟な働き方を実現するための制度の導入数／１つ（社）,制度あり／柔軟な働き方を実現するための制度の導入数／２つ（社）,制度あり／柔軟な働き方を実現するための制度の導入数／３つ（社）,制度あり／柔軟な働き方を実現するための制度の導入数／４つ（社）,制度なし（社）,無回答（社）
調査産業計,876,382,238,110,24,10,494,0
労組有,63,24,16,6,1,1,39,0
労組無,813,358,222,104,23,9,455,0
建設業,71,26,20,3,3,0,45,0
製造業,207,84,63,18,2,1,123,0
情報通信業,58,43,20,18,3,2,15,0
運輸業，郵便業,42,12,9,3,0,0,30,0
卸売業，小売業,180,68,37,22,5,4,112,0
金融業，保険業,27,19,12,2,4,1,8,0
不動産業，物品賃貸業,16,6,5,1,0,0,10,0
学術研究，専門・技術サービス業,57,41,22,17,1,1,16,0
宿泊業，飲食サービス業,43,10,5,5,0,0,33,0
生活関連サービス業，娯楽業,34,12,6,4,1,1,22,0
教育，学習支援業（学校教育を除く）,30,19,13,4,2,0,11,0
医療，福祉,57,25,16,8,1,0,32,0
サービス業（他に分類されないもの）,54,17,10,5,2,0,37,0
10～49人,585,231,138,69,16,8,354,0
50～99人,188,96,68,20,6,2,92,0
100～299人,103,55,32,21,2,0,48,0
