表側１,表側２,表側３,回答企業数(件),10％未満(％),10～30％未満(％),30～60％未満(％),60～90％未満(％),90～100％未満(％),100％(％),無回答(％)
,,今回調査（全体）,352,11.9,14.8,21.6,21.3,16.8,9.7,4
,,前回調査,266,14.7,22.2,14.3,18,14.3,11.7,4.9
業種別,,総合商品小売業,18,5.6,5.6,5.6,0,16.7,66.7,0
業種別,,生鮮食品小売業,2,50,50,0,0,0,0,0
業種別,,食料品関連小売業,65,16.9,21.5,16.9,21.5,10.8,6.2,6.2
業種別,,衣料品関連小売業,25,8,12,44,24,8,0,4
業種別,,住関連小売業,45,11.1,15.6,15.6,28.9,24.4,2.2,2.2
業種別,,その他小売業,197,11.2,13.2,23.4,21.3,18.3,8.6,4.1
従業者規模別,,1～2人,147,8.2,15.6,27.2,21.8,12.2,12.2,2.7
従業者規模別,,3～5人,104,14.4,16.3,18.3,22.1,19.2,2.9,6.7
従業者規模別,,6～19人,72,13.9,12.5,18.1,22.2,20.8,9.7,2.8
従業者規模別,,20人以上,27,18.5,11.1,11.1,11.1,22.2,22.2,3.7
