施設ID,施設名,施設紹介,区市町村コード,都道府県,区市町村,エリア,郵便番号,住所,アクセス,電話番号,URL,月曜日 営業開始時間,月曜日 営業終了時間,火曜日 営業開始時間,火曜日 営業終了時間,水曜日 営業開始時間,水曜日 営業終了時間,木曜日 営業開始時間,木曜日 営業終了時間,金曜日 営業開始時間,金曜日 営業終了時間,土曜日 営業開始時間,土曜日 営業終了時間,日曜日 営業開始時間,日曜日 営業終了時間,営業時間補足,定休日,最大利用規模,料金,施設種別,設備,事前の会員登録,事前の法人契約,入室方法,更新日,作成日
1162,summaoビジネスオフィス府中,"京王線「府中駅」徒歩3分の好立地
月極のレンタルオフィス、個室、バーチャルオフィスです",132063,東京都,府中市,多摩,183-0056,東京都府中市寿町1丁目4番地17　寿ビル４階,京王線「府中駅」徒歩3分,03-4570-2730,https://rentaloffice-fuchu.com/,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,"24時間、365日出入り自由
会員はスマートロックでキー解除",なし,12名,"初期費用22,000円
月額利用料金
個室：66,000円
オープンデスク：22,000円
バーチャルオフィス：11,000円
＊郵便転送、法人登記等無料
※料金はすべて税込",共用サテライトオフィス,,要,不要,会員証の提示,2023/12/26,2022/11/22
3122,BIZcomfort葛西,"【葛西駅 徒歩3分！】24時間365日使えるコワーキングスペース＆レンタルオフィスです。
各席電源、wi-fi、フリードリンク、プリンター、セキュリティを完備しています。月額会員はポスト、ロッカー、登記も可能です（※有料オプション）。
会議室・WEB会議・通話専用個室（※予約制/有料）や、食事可能なブース、モニター席のあるブース、仕切り付きの席で集中できるワークブースなど、細かなブース分けで快適に過ごすことができます。
※新規会員募集を停止している場合がございます。詳しくは、下の「URL」より公式ホームページをご確認ください。",131237,東京都,江戸川区,墨田・江東・葛飾・江戸川,134-0083,東京都江戸川区中葛西5-41-10　BPRプレイス葛西6F・7F,東京メトロ東西線「葛西駅」徒歩3 分,03-5789-3325,https://bizcomfort.jp/tokyo/kasai.html,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,24時間OPEN（会員限定）,なし,40名,"全日プラン：月額14,300円
土日祝プラン：月額4,400円
全拠点プラン：月額22,000円
ライトプラン：月額2,200円～ ※従量課金制
（すべて税込）",共用サテライトオフィス,不明,要,不要,会員証の提示,2023/12/26,2023/12/22
292,TENT幕張,"TENT幕張は千葉方面から都内に勤務している方に最適のテレワークスペースです。
海浜幕張駅から徒歩14分、2019年4月オープンの新しく心地よい環境です。
■一時利用価格（税込）660円/時間
1,980円/日(9:00～20:00)
■WiFi、電源完備、飲食物持込可
■大型スーパー、レストラン隣接
■会員プラン（税込）5,500円/月～
■営業時間：9:00-20:00
（会員プランにより24時間可能）
■異業種交流可能、学生利用可能（学割制度あり）
※詳細はWEBサイトをご覧ください。",121002,千葉県,千葉市,東京近郊,261-0014,千葉県千葉市美浜区若葉3-1-18 幕張ベイパーク クロスレジデンス S2-1,"JR京葉線 海浜幕張駅 徒歩14分
海浜幕張駅から5分",043-441-8777,https://www.tent-makuhari.com/,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,会員プランによっては24時間利用可能,原則無し,70名,料金は公式サイトにてご確認ください。,共用サテライトオフィス,車いす入場可、店内段差無し,要、簡易利用の場合不要,要,会員証の提示、システム予約,2023/12/25,2021/11/28
3121,富士山0合目のサテライトオフィス「陽だまり」,"コワーキングコテージとトレーラーハウスで構成するゆるく働くためのサテライトオフィスです。屋内でのワークはもちろん、屋外でのキャンピングオフィスや心静かに焚き火を見つめながらのワーク等、自由度の高いご利用が可能です。オフィスという「箱」から離れてゆっくりとした時間をお過ごしください。
https://www.youtube.com/channel/UCYGQqIHaruf_8y6rH_q-4Hw
",192023,山梨県,富士吉田市,東京近郊,403-0006,山梨県富士吉田市新屋5-1-1　人材開発センター富士研修所内,"お車の場合　⇒　中央道「河口湖ＩＣ」もしくは富士五湖道路「富士吉田忍野スマートＩＣ」から５分
電車の場合　⇒　富士急行線「富士山駅」より徒歩25分（タクシー5分）
",0555-22-5156,https://fujicalm.jp/hidamari/,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,ご利用時間についてはご相談ください。,不定休,8名,"法人による長期契約のみご利用可能。
1週間：121,000円（税込）
2週間：220,000円（税込）
3週間：297,000円（税込）
1か月：352,000円（税込）
",共用サテライトオフィス,なし,不要,要,身分証の提示,2023/12/21,2023/12/15
3118,Alive サステナブルラボ飯能,"埼玉県飯能市名栗エリアにある、元別荘を改装した一棟まる貸しのワーケーション施設。サステナブルなライフスタイルを模索するための活動拠点として、弊社のサテライトオフィス兼宿泊施設として運営しております。

12名まで宿泊することができ、合宿・研修に最適。スマートロック開錠となっており、完全無人運営です。そのため、食事もテラスでのBBQや自炊、布団・シーツ、片づけもお客様ご自身で行っていただく形式となります。

「ここで過ごす時間のなかで、生きている幸せを実感していただきたい」
だから、あえて便利にしすぎない、資源を大切に扱う、地域の方々とのつながりを大切にする。

それがAliveでの過ごし方です。",112097,埼玉県,飯能市,東京近郊,357-0111,埼玉県飯能市大字上名栗1051-4,"西武池袋線「飯能駅」から車で約30分、もしくは国際興業バスにて約50分
「青梅IC」より車で約40分、圏央道「狭山日高IC」より車で約50分",03-6432-0220,https://alive-slab.com/reservation/index.html,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,24時間営業,なし,12名,"■1時間単位プラン：4,400円（税込）

（利用例）
・キックオフ＆懇親会（9:00～18:00/9時間）：39,600円
・終業後直行、翌日BBQ（22:00～13:00/15時間）：66,000円
・宿泊研修（13:00～10:00/21時間）：92,400円

■平日限定プラン
・テレワーク＆宿泊（9:00～翌18:00/33時間）：44,000円（税込）

※GWなどの連休、夏休み期間、年末年始期間はシーズン料金となり、上記価格とは異なります。詳しくはお問合せ下さい。",宿泊施設,未対応,不要,不要,システム予約,2023/12/21,2023/12/12
3115,ZXY代々木上原3,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにはキッズスペースを併設している拠点もあり、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131130,東京都,渋谷区,新宿・渋谷・豊島,151-0066,東京都渋谷区西原3-8-5 アコルデ代々木上原1F,小田急小田原線・東京メトロ千代田線「代々木上原駅」東口から徒歩1分,0120-934-505,https://zxy.work/location/yoyogiuehara3/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,09:00,18:00,09:00,18:00,※祝日の営業時間は9:00～18:00となります。,なし※GW、年末年始は休み,8名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/12/4
3106,ZXY大森2,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131091,東京都,品川区,品川・目黒・大田・世田谷,140-0013,東京都品川区南大井6-27-25 西友大森店 5F,JR「大森駅」東口から徒歩2分,0120-934-505,https://zxy.work/location/oomori2/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,※7時～9時半の間は西友1階の食品フロアから入館し、フロア内のエレベーターをご利用ください。,土日祝日,41名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/9/27
3104,ZXYさいたま新都心,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",111007,埼玉県,さいたま市,東京近郊,330-6001,埼玉県さいたま市中央区新都心11-2 明治安田生命さいたま新都心ビル 1F,JR「さいたま新都心駅」西口から徒歩1分,0120-934-505,https://zxy.work/location/saitama-shintoshin/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,29名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/9/22
3103,ZXY目黒2,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131091,東京都,品川区,品川・目黒・大田・世田谷,141-0021,東京都品川区上大崎3-1-1 JR東急目黒ビル B2F,JR線、南北線、東急目黒線、都営三田線「目黒駅」改札から徒歩1分,0120-934-505,https://zxy.work/location/meguro2/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,13名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/9/22
3102,ZXY八丁堀2,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131024,東京都,中央区,千代田・中央・港,104-0032,東京都中央区八丁堀4-9-9 八丁堀フロンティアビル5F,JR線、日比谷線「八丁堀駅」A2出口から徒歩1分,0120-934-505,https://zxy.work/location/hatchobori2/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,9名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/9/20
