,,非常に可能性がある  ,ある程度は可能性がある                  ,あまり可能性がない  ,可能性がない        ,無回答            ,ｎ
,今回調査（全体）,6,17.9,22.1,50.9,3.1,2348
,前回調査,7.1,18.6,22.1,49.2,3.1,2263
業種別,情報・コンテンツ業,8.8,22,27.5,40,1.7,640
業種別,専門サービス業,6.3,19.4,20.6,51.5,2.2,820
業種別,技術サービス業,2.4,17.1,20.9,54.4,5.3,340
業種別,事業サービス業,4.1,10.5,18.3,62.5,4.5,507
特定10業種,ソフトウェア業,8.7,21,28,40.6,1.7,286
特定10業種,インターネット附随サービス業,16.1,16.1,32.3,35.5,0,62
特定10業種,映像情報制作・配給業,7.4,27.9,36.8,26.5,1.5,68
特定10業種,出版業,5.5,23.6,21.8,47.3,1.8,55
特定10業種,税理士事務所,1.4,13.3,12.4,69.7,3.2,218
特定10業種,デザイン業,11.5,19.2,31.7,36.5,1,104
特定10業種,経営コンサルタント業,7.3,22.3,25.1,44.1,1.1,179
特定10業種,建築設計業,1.1,23.9,18.3,49.4,7.2,180
特定10業種,自動車整備業,3.7,1.9,11.1,74.1,9.3,54
特定10業種,建物サービス業,1.8,2.7,15.3,76.6,3.6,111
従業者規模別,1～2人,6.7,17.1,17.9,54.5,3.8,971
従業者規模別,3～5人,6.6,19.5,20.6,49.6,3.7,573
従業者規模別,6～9人,5.6,15.2,27.2,50.4,1.6,250
従業者規模別,10～29人,4.4,17.1,32,44.3,2.2,316
従業者規模別,30人以上,4.3,21.9,24.8,48.1,1,210
年間売上高増減別（３年前）,大幅(10％以上)増加,8.5,24.4,26.5,38.5,2.1,234
年間売上高増減別（３年前）,やや(10％未満)増加,8,19.3,26.5,45.4,0.8,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,4.4,14.5,18.4,59.5,3.2,662
年間売上高増減別（３年前）,やや(10％未満)減少,2.6,16.2,24,53.2,3.9,308
年間売上高増減別（３年前）,大幅(10％以上)減少,6.7,17.6,21.8,50.1,3.9,795
売上高経常利益率別,黒字,5.4,17.9,24.8,50.2,1.7,1409
売上高経常利益率別,赤字,7.9,18.5,18.6,50.9,4,693
経常損益の変化別（３年前）,増益,5.5,20.9,24.9,46.5,2.1,469
経常損益の変化別（３年前）,横ばい,4.7,13.9,21.3,56.1,4.1,765
経常損益の変化別（３年前）,減益,6.9,18.7,20.9,50.7,2.9,973
他企業との競争状況別（３年前）,かなり激化した,7.9,20.6,20.1,49.2,2.1,189
他企業との競争状況別（３年前）,やや激化した,7.5,20.2,26.2,44.4,1.7,466
他企業との競争状況別（３年前）,変わらない,4.9,16.6,21.1,54,3.4,1571
他企業との競争状況別（３年前）,やや緩和した,20.8,16.7,20.8,37.5,4.2,24
他企業との競争状況別（３年前）,かなり緩和した,14.3,28.6,14.3,28.6,14.3,7
