区分,集計企業数（社）,制度あり（社）,制度あり／利用者の有無／あり（社）,制度あり／利用者の有無／なし（社）,制度あり／利用者の有無／無回答（社）,制度あり／規定の整備状況／就業規則に記載済み／令和２年４月以降に導入（社）,制度あり／規定の整備状況／就業規則に記載済み／令和２年３月以前に導入（社）,制度あり／規定の整備状況／就業規則に記載していない／その他の社内規定に記載（社）,制度あり／規定の整備状況／就業規則に記載していない／今後記載する予定あり（社）,制度あり／規定の整備状況／就業規則に記載していない／記載するか未定（社）,制度あり／規定の整備状況／無回答（社）,制度あり／制度の内容／所定労働時間を短縮し、所定時間内賃金は減額しない（社）,制度あり／制度の内容／所定労働時間を短縮し、所定時間内賃金を減額する（社）,制度あり／制度の内容／所定労働時間は変更しない（社）,制度あり／制度の内容／その他（社）,制度あり／制度の内容／無回答（社）,制度なし（社）,無回答（社）
調査産業計,876,39,23,16,0,7,4,9,6,8,5,6,16,8,0,9,837,0
労組有,63,4,2,2,0,0,1,0,2,0,1,1,2,0,0,1,59,0
労組無,813,35,21,14,0,7,3,9,4,8,4,5,14,8,0,8,778,0
建設業,71,2,1,1,0,1,0,0,0,1,0,0,1,0,0,1,69,0
製造業,207,3,1,2,0,0,2,0,0,0,1,0,2,0,0,1,204,0
情報通信業,58,3,3,0,0,0,1,0,0,2,0,1,2,0,0,0,55,0
運輸業，郵便業,42,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,41,0
卸売業，小売業,180,12,5,7,0,2,0,3,3,2,2,2,4,2,0,4,168,0
金融業，保険業,27,2,0,2,0,1,0,0,0,0,1,0,0,1,0,1,25,0
不動産業，物品賃貸業,16,3,3,0,0,1,0,2,0,0,0,2,1,0,0,0,13,0
学術研究，専門・技術サービス業,57,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,56,0
宿泊業，飲食サービス業,43,3,1,2,0,1,0,0,1,1,0,0,1,2,0,0,40,0
生活関連サービス業，娯楽業,34,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,33,0
教育，学習支援業（学校教育を除く）,30,2,2,0,0,0,0,2,0,0,0,0,1,1,0,0,28,0
医療，福祉,57,4,4,0,0,1,0,2,0,1,0,0,3,1,0,0,53,0
サービス業（他に分類されないもの）,54,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,52,0
10～49人,585,29,17,12,0,5,2,8,5,5,4,4,12,6,0,7,556,0
50～99人,188,7,4,3,0,1,1,1,1,2,1,1,3,1,0,2,181,0
100～299人,103,3,2,1,0,1,1,0,0,1,0,1,1,1,0,0,100,0
