表側(年),期,黒字企業割合-赤字企業割合／全体(%),黒字企業割合-赤字企業割合／卸売業(%),黒字企業割合-赤字企業割合／小売業(%)
2014,Ⅰ,-3.4,8.3,-31.6
2014,Ⅱ,-10.9,-1.4,-42.7
2014,Ⅲ,-11.2,-3.7,-34.2
2014,Ⅳ,-11.1,-3.7,-38.7
2015,Ⅰ,-4.9,0.6,-27.3
2015,Ⅱ,-6.1,0.8,-31.5
2015,Ⅲ,-7.1,0.9,-32.5
2015,Ⅳ,-3.9,6.4,-24.4
2016,Ⅰ,-7.3,-0.3,-29.7
2016,Ⅱ,-10.1,-5.5,-31.2
2016,Ⅲ,-6.9,-0.6,-28.6
2016,Ⅳ,1.2,11.9,-23.8
2017,Ⅰ,-1.8,9.0,-25.8
2017,Ⅱ,0.2,7.6,-23.5
2017,Ⅲ,-0.9,13.5,-29.7
2017,Ⅳ,4.2,19.6,-24.3
2018,Ⅰ,1.2,17.0,-28.8
2018,Ⅱ,1.5,13.0,-27.3
2018,Ⅲ,-0.2,13.5,-30.9
2018,Ⅳ,3.5,18.3,-27.3
2019,Ⅰ,-2.5,12.0,-31.4
2019,Ⅱ,-4.5,4.6,-26.1
2019,Ⅲ,-4.1,11.2,-35.0
2019,Ⅳ,-3.5,7.3,-29.8
2020,Ⅰ,-22.5,-12.4,-48.8
2020,Ⅱ,-43.3,-38.0,-59.0
2020,Ⅲ,-37.6,-29.4,-47.9
2020,Ⅳ,-25.1,-16.6,-45.1
2021,Ⅰ,-27.9,-19.5,-46.1
2021,Ⅱ,-22.9,-13.6,-45.0
2021,Ⅲ,-24.9,-12.6,-44.2
2021,Ⅳ,-15.7,-0.9,-40.7
2022,Ⅰ,-18.0,-6.3,-42.9
2022,Ⅱ,-11.4,-0.3,-36.3
2022,Ⅲ,-14.7,-2.6,-43.0
2022,Ⅳ,-10.3,10.4,-38.5
2023,Ⅰ,-6.5,8.7,-30.4
2023,Ⅱ,-6.4,3.1,-31.3
2023,Ⅲ,-6.8,7.1,-31.1
2023,Ⅳ,-1.8,8.2,-21.0
