表側１,表側２,表側３,回答企業数(件),増加(%),横ばい(%),減少(%),いない(%),感染症発生時は未創業(%),無回答(%)
,,"今回調査
（全体）",543,8.8,44.9,8.5,33.0,0.0,4.8
業種別,,食料品卸売業,154,9.7,48.1,7.1,31.2,0.0,3.9
業種別,,生鮮食品卸売業,67,9.0,41.8,6.0,38.8,0.0,4.5
業種別,,加工食品等卸売業,87,10.3,52.9,8.0,25.3,0.0,3.4
業種別,,衣料品関連卸売業,83,7.2,45.8,12.0,32.5,0.0,2.4
業種別,,住関連卸売業,105,8.6,37.1,8.6,41.0,0.0,4.8
業種別,,その他卸売業,187,9.1,47.6,8.0,28.3,0.0,7.0
従業者規模別,,１～５人,206,4.4,38.8,5.8,44.2,0.0,6.8
従業者規模別,,６～９人,111,8.1,48.6,6.3,32.4,0.0,4.5
従業者規模別,,10～49人,187,11.8,49.2,9.6,25.7,0.0,3.7
従業者規模別,,50人以上,28,28.6,39.3,32.1,0.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,161,9.9,46.6,14.9,26.7,0.0,1.9
取引形態別,一次卸,他部門直取引卸,47,10.6,31.9,6.4,46.8,0.0,4.3
取引形態別,一次卸,元卸,104,8.7,57.7,5.8,22.1,0.0,5.8
取引形態別,二次卸,中間卸,59,3.4,40.7,6.8,40.7,0.0,8.5
取引形態別,二次卸,最終卸,97,9.3,39.2,6.2,38.1,0.0,7.2
取引形態別,その他,製造問屋,14,7.1,42.9,7.1,42.9,0.0,0.0
取引形態別,その他,その他卸,39,10.3,48.7,2.6,33.3,0.0,5.1
年間売上高増減別（3年前）,,大幅増加（10％以上）,101,16.8,50.5,6.9,22.8,0.0,3.0
年間売上高増減別（3年前）,,やや増加（10％未満）,88,10.2,38.6,8.0,37.5,0.0,5.7
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,108,9.3,44.4,2.8,38.0,0.0,5.6
年間売上高増減別（3年前）,,やや減少（10％未満）,81,8.6,45.7,11.1,29.6,0.0,4.9
年間売上高増減別（3年前）,,大幅減少（10％以上）,144,2.8,47.2,12.5,33.3,0.0,4.2
売上高経常利益率別,,黒字（プラス）,358,10.6,46.1,7.0,30.2,0.0,6.1
売上高経常利益率別,,赤字（マイナス）,161,5.0,44.1,12.4,36.6,0.0,1.9
経常損益の変化別（3年前）,,増益,159,9.4,44.0,11.9,30.8,0.0,3.8
経常損益の変化別（3年前）,,横ばい,161,10.6,43.5,6.2,32.9,0.0,6.8
経常損益の変化別（3年前）,,減益,204,7.4,47.1,7.8,33.8,0.0,3.9
