表側１,表側２,表側３,回答企業数(件),100未満(%),100～200未満(%),200～300未満(%),300～500未満(%),"500～1,000未満(%)","1,000～2,000未満(%)","2,000～3,000未満(%)","3,000以上(%)",無回答(%)
,,今回調査（全体）,2141,49.7,13.4,5.8,4.2,5.0,7.4,4.8,6.3,3.3
,,前回調査,2003,49.3,13.2,6.1,4.9,5.9,6.3,4.6,6.5,3.1
業種別,,総合商品小売業,189,0.0,0.0,4.2,5.3,5.3,16.4,33.3,33.3,2.1
業種別,,生鮮食品小売業,134,66.4,20.9,3.0,0.7,2.2,1.5,0.7,0.0,4.5
業種別,,食料品関連小売業,535,71.0,12.1,4.5,3.6,2.4,1.5,0.7,0.9,3.2
業種別,,衣料品関連小売業,298,54.7,19.8,7.7,4.7,4.0,3.4,0.3,1.0,4.4
業種別,,住関連小売業,167,52.1,19.8,5.4,3.6,4.2,4.8,0.6,5.4,4.2
業種別,,その他小売業,773,41.4,12.7,7.0,4.8,7.9,12.4,4.0,6.9,3.0
従業者規模別,,１～２人,1066,62.4,15.0,6.2,4.1,3.3,3.4,0.9,1.3,3.4
従業者規模別,,３～５人,486,48.6,15.6,6.8,4.7,6.4,6.6,2.1,4.9,4.3
従業者規模別,,６～19人,336,27.7,11.6,4.5,3.3,8.3,19.0,10.4,12.5,2.7
従業者規模別,,20人以上,170,15.3,1.2,2.9,3.5,5.9,11.8,27.6,30.0,1.8
チェーン等加盟状況別,,ボランタリーチェーンに加盟,42,9.5,7.1,4.8,11.9,14.3,28.6,11.9,11.9,0.0
チェーン等加盟状況別,,フランチャイズチェーンに加盟,211,10.9,0.9,0.9,4.7,5.2,14.2,30.3,30.8,1.9
チェーン等加盟状況別,,メーカー等の系列店,75,53.3,22.7,5.3,2.7,1.3,9.3,0.0,2.7,2.7
チェーン等加盟状況別,,加盟していない,1706,54.5,14.8,6.6,4.2,5.2,6.3,2.0,3.6,2.9
発注手段別,,電話,985,58.0,13.2,4.6,4.0,5.2,5.6,2.3,3.5,3.8
発注手段別,,ＦＡＸ,815,45.6,15.6,7.6,5.3,5.9,7.9,2.7,6.1,3.3
発注手段別,,ＥＯＳ,121,7.4,5.8,5.8,6.6,13.2,18.2,21.5,19.0,2.5
発注手段別,,電子メール,235,40.0,17.4,8.1,4.7,8.5,7.2,4.3,8.1,1.7
発注手段別,,インターネット,705,34.3,13.9,5.4,6.0,7.0,13.0,7.8,10.2,2.4
発注手段別,,展示会,119,40.3,21.0,8.4,0.8,12.6,5.9,3.4,4.2,3.4
発注手段別,,ＶＭＩ,9,22.2,0.0,0.0,11.1,22.2,33.3,11.1,0.0,0.0
発注手段別,,対面,437,56.8,16.7,6.6,4.1,4.8,3.4,0.9,3.2,3.4
発注手段別,,その他,100,35.0,12.0,3.0,2.0,2.0,8.0,16.0,19.0,3.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
